dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102842.185665,102859.678648,103642.784818,103370.885142,103229.305614,103135.744723
DW_trees_gs_mode,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100903.587398,106226.185876,105876.562241,105625.750418,109544.431515,107410.360179
DW_trees_prob_10,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116571.268109,117078.853307,116060.825927,117301.357756,117256.795865,115815.340317
DW_trees_prob_25,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104451.540309,104224.371143,104445.591781,104736.912403,105027.71227,104385.164021
DW_trees_prob_50,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84488.835758,87739.174689,91298.299372,89302.570578,86099.761897,86988.707469
ESA_trees,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102789.40261,101399.136326,
ESRI_2020_trees,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91001.323022,,
ESRI_annual_trees,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93793.962115,93834.574935,93383.272327,93447.551352,91925.113714,91925.113714
Hansen_GFC,AL,,,,,,,,,,,,,,,,78403.94569,76806.154644,75457.804594,74227.9774,72720.017429,71227.834291,69763.800132,68228.242936,66579.770023,65508.483878,64094.878445,62707.326146,61222.794493,60043.972931,58689.529783,57478.917839,56044.704687,54610.919113,53412.566281,52270.718434,51293.318462,50370.331245,
LCMAP_trees,AL,76266.620131,77009.926658,77657.082215,78307.78158,79213.160537,79704.679859,80236.972824,80464.980991,80621.335009,80685.687917,80447.847734,79882.213662,79185.534331,77898.613845,77275.405898,76555.449547,76692.345529,77058.031888,77379.804285,77441.297922,77030.801202,76662.079157,76505.998221,76725.469125,77130.965251,77268.476078,76992.887149,77226.334298,77217.879448,76877.549541,76614.951776,76259.080397,76233.884791,76432.15861,76816.709717,77173.712992,77384.826631,
LCMAP_trees_woodywet,AL,84573.891942,85380.261585,86082.025171,86770.972132,87701.057996,88201.038839,88749.150317,88985.372047,89143.347137,89211.551092,88970.634656,88395.977008,87681.994415,86361.50388,85715.430794,85007.740718,85179.064136,85548.235122,85857.231254,85882.734536,85410.187725,84937.613495,84642.910852,84774.72,85112.122245,85199.984982,84798.713594,84975.811048,84912.277824,84490.875952,84141.472739,83712.598016,83614.456584,83768.86092,84110.672092,84414.724729,84577.519856,
LCMS_all_trees_mixes,AL,97557.250867,99544.055759,100413.389089,101176.211608,102154.028336,102729.013948,103331.623563,103712.436229,104061.856503,104455.852016,104551.073865,104594.503344,104546.773196,104169.797594,103916.817787,103631.671355,104220.208309,104703.128625,105162.27343,105350.683891,105380.686408,104992.226555,104942.244829,105294.159825,105703.309288,105962.390689,106030.271827,106314.984324,106393.080469,106082.038867,106001.136525,105854.285728,105762.629802,105750.018907,105718.098585,105877.400096,106030.808767,105679.701529
