dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84281.208507,83800.356269,87159.227464,87554.059654,86379.916281,85320.050967
DW_trees_gs_mode,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90640.716158,86184.414722,90998.691621,90111.260977,89695.585098,87996.489652
DW_trees_prob_10,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100154.729267,99324.778342,103040.353864,102399.34823,100580.759612,98051.490372
DW_trees_prob_25,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86035.299042,85235.053145,87759.549418,88001.209073,86652.504251,85434.479501
DW_trees_prob_50,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63485.847157,61685.535095,70594.857994,71355.062784,64660.890045,62135.693623
ESA_trees,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84350.775348,83664.337367,
ESRI_2020_trees,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77665.208381,,
ESRI_annual_trees,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76975.995036,78332.667117,78449.245384,77726.411941,77172.77146,77172.77146
Hansen_GFC,AR,,,,,,,,,,,,,,,,65882.797448,64846.374066,64024.152147,63327.515397,62297.748399,61390.108202,60299.647666,59266.388586,58466.598952,57671.806419,56686.194445,55889.550526,55038.658569,54350.64677,53652.474745,53001.682303,52216.110868,51415.327715,50687.231035,50037.801204,49525.997414,49017.801528,
LCMAP_trees,AR,67151.68993,67483.065751,67583.017383,67781.775617,68131.946968,68375.898395,68600.186364,68697.612063,68735.202074,68738.066502,68668.505378,68460.256143,68106.452107,67598.253363,67129.466008,66565.57009,66153.028443,65973.444818,65756.989305,65620.736558,65287.097731,64975.611296,65004.171409,65139.190955,65374.549972,65384.016561,65060.881722,64923.372804,64907.252721,65043.100559,65017.633782,64939.688502,65037.210522,65046.947322,65215.370061,65383.874964,65350.92259,
LCMAP_trees_woodywet,AR,72998.897788,73362.062855,73475.233115,73686.511457,74045.494874,74293.402552,74521.636475,74619.897547,74650.307654,74655.818188,74587.345764,74377.440522,74020.709343,73495.206052,73012.917014,72456.503184,72034.676742,71821.710151,71571.079358,71399.815687,71033.884701,70656.171787,70645.389049,70735.526781,70941.786335,70906.647871,70527.969871,70351.978711,70292.334254,70390.109982,70331.240332,70206.02911,70262.823024,70226.06917,70360.458518,70503.054356,70451.279699,
LCMS_all_trees_mixes,AR,84856.015987,85637.637155,86084.944062,86510.347387,86951.079437,87269.118518,87565.688004,87833.945841,88051.077758,88243.077197,88336.082809,88361.398182,88247.646112,88012.120182,87695.145105,87409.182652,87331.998543,87496.126987,87706.992271,87890.31787,87796.696905,87765.898415,87924.266357,88004.409321,88133.998344,87969.795557,87631.873602,87616.030471,87905.343462,88238.435731,88249.484361,88256.604529,88236.088118,88066.666881,88203.962805,88239.739517,88229.043338,87948.741014
LCMS_forest,AR,84801.098262,86079.003282,86225.304984,86492.743185,86747.343024,86877.717776,87060.866647,87203.661695,87325.01515,87448.864944,87533.40307,87560.067702,87575.245397,87563.539168,87521.949575,87395.347482,87479.973836,87657.970828,87731.358119,87833.840689,87826.421707,87842.397885,88016.905863,88099.116359,88224.977029,88140.193976,87991.918852,88138.070519,88323.330935,88443.984522,88532.606562,88653.986721,88714.22725,88799.441816,89055.279176,89253.171797,89557.711475,90299.692394
LCMS_trees,AR,81979.972641,82660.261796,83115.012003,83578.672267,84042.179841,84406.657524,84733.38511,85016.324054,85267.217745,85441.585676,85523.508021,85493.260224,85307.579392,84983.594325,84477.323975,84034.06897,83744.957932,83726.090198,83784.946962,83870.559645,83669.054788,83518.588281,83598.984014,83645.426121,83801.053581,83657.349201,83285.39713,83098.867147,82897.587751,83186.080263,83233.196562,83210.337487,83346.512142,83357.565596,83524.267048,83745.082912,83948.303872,83998.028795
LCMS_trees_shrubs_mix,AR,81980.016741,82660.297796,83115.040803,83578.702867,84042.214941,84406.690824,84733.42111,85016.357354,85267.256445,85441.617176,85523.545821,85493.295324,85307.615392,84983.649225,84477.367175,84034.10857,83744.988532,83726.117198,83784.972162,83870.586645,83669.086288,83518.620681,83599.013714,83645.453121,83801.094081,83657.397801,83285.46193,83098.925647,82897.648051,83186.131563,83233.237962,83210.377987,83346.553542,83357.605196,83524.310248,83745.116212,83948.341672,83998.102595
MODIS_1_IGBP,AR,,,,,,,,,,,,,,,,,33123.865686,38535.407843,41021.07647,43640.319607,43221.766666,41096.229411,41466.815686,44783.216666,47207.370588,43801.12549,39374.373529,35855.918627,39417.403921,41732.95098,41662.637254,45175.154901,46893.011764,47908.307843,48262.138235,48257.72549,46954.511764,
MODIS_2_UMD,AR,,,,,,,,,,,,,,,,,33146.115686,38537.407843,41022.82647,43641.819607,43224.516666,41098.729411,41470.065686,44786.216666,47210.870588,43805.37549,39377.873529,35858.918627,39420.403921,41735.95098,41664.637254,45177.154901,46895.761764,47910.807843,48264.888235,48260.22549,46957.511764,
MODIS_3_LAI,AR,,,,,,,,,,,,,,,,,33146.115686,38537.407843,41022.82647,43641.819607,43224.516666,41098.729411,41470.065686,44786.216666,47210.870588,43805.37549,39377.873529,35858.918627,39420.403921,41735.95098,41664.637254,45177.154901,46895.761764,47910.807843,48264.888235,48260.22549,46957.511764,
MODIS_4_BGC,AR,,,,,,,,,,,,,,,,,97405.370588,97844.574509,97082.822549,96784.999999,95361.249019,94519.899999,95999.010784,97041.481372,97928.90098,96750.122549,95846.395098,95018.896078,95870.881372,96113.488235,96249.737254,97494.311764,98463.055882,98737.741176,99406.354901,100324.108823,100788.804901,
MODIS_5_PFT,AR,,,,,,,,,,,,,,,,,97398.120588,97830.574509,97076.322549,96784.249999,95359.999019,94517.649999,95995.260784,97035.731372,97928.90098,96749.872549,95846.395098,95018.896078,95870.881372,96113.488235,96249.737254,97494.311764,98463.055882,98737.741176,99406.104901,100323.858823,100788.804901,
NLCD_canopy_10,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,84436.424668,,,,,83869.67197,,,,,,
NLCD_canopy_20,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,81482.537343,,,,,80933.186728,,,,,,
NLCD_canopy_60,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,70021.721784,,,,,67965.813225,,,,,,
NLCD_canopy_80,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,57862.548585,,,,,54450.490761,,,,,,
NLCD_canopy_perc,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,58642.963975,,,,,56347.721889,,,,,,
NLCD_forest,AR,,,,,,,,,,,,,,,,,60067.923162,,,58991.102964,,58249.53157,,58161.290318,,,57957.215392,,58568.328652,,,57837.549324,,,58170.697778,,58233.539029,
NLCD_forest_woodywet,AR,,,,,,,,,,,,,,,,,74187.841792,,,73019.114601,,72287.724691,,72182.649225,,,71648.478229,,72599.958176,,,71799.565948,,,72129.727739,,72127.061756,
FIA_forest,AR,,,,,,,,,,,,,,,,,,,,,73965.173072761,74367.2420979676,74912.7757730007,75153.4655216035,75600.2710483816,75757.8088494819,75898.5559271652,76662.5674752225,76751.7395478671,76989.2010119036,77051.3977579411,76900.3399976546,76768.6590402663,76669.3972578961,76592.0794151817,76417.5054493266,,
FIA_forest_upper,AR,,,,,,,,,,,,,,,,,,,,,74400.0929422403,74806.96311224748,75354.90095611018,75598.38492702568,76043.50929191023,76201.56993306559,76341.17539278493,77107.51486005782,77195.26273498383,77397.75403414504,77460.23705438952,77308.2913648331,77175.94624042742,77078.14926518312,77003.8280516514,76830.79441782394,,
FIA_forest_lower,AR,,,,,,,,,,,,,,,,,,,,,73530.2532032817,73927.52108368771,74470.65058989121,74708.54611618133,75157.03280485298,75314.0477658982,75455.93646154547,76217.62009038718,76308.21636075036,76580.64798966216,76642.55846149268,76492.38863047611,76361.37184010517,76260.64525060907,76180.33077871198,76004.21648082927,,
FIA_timberland,AR,,,,,,,,,,,,,,,,,,,,,71573.3179890515,71955.8919257921,72474.398540821,72737.1331638384,73186.2324742947,73554.8704490297,73706.91937653,74449.1048310764,74628.5692140203,74819.0855459432,74836.1596329014,74664.7948794744,74576.389455733,74457.5895979857,74437.5615319411,74287.9376127108,,
FIA_timberland_upper,AR,,,,,,,,,,,,,,,,,,,,,72051.77119051717,72439.07340051295,72957.78844434104,73222.89232229657,73671.01479770945,74036.37286757032,74186.60793545046,74933.08107214568,75109.76646941947,75270.51653570535,75287.97644436559,75116.40732638206,75027.2074791779,74910.120273414,74891.84529295763,74742.97390407714,,
FIA_timberland_lower,AR,,,,,,,,,,,,,,,,,,,,,71094.86478758583,71472.71045107124,71991.00863730095,72251.37400538023,72701.45015087994,73073.36803048907,73227.23081760954,73965.12859000712,74147.37195862114,74367.65455618106,74384.34282143721,74213.18243256674,74125.57143228811,74005.05892255741,73983.27777092457,73832.90132134446,,
EPA_forested,AR,,,,,,78232.1,78186.0,78135.9,78085.7,78035.5,77985.3,77935.1,77889.3,77843.4,77797.6,77751.8,77705.9,77660.1,77599.3,77538.5,77477.8,77417.0,77356.2,77288.1,77220.0,77151.8,77083.7,77015.5,76937.1,76858.59999999999,76780.20000000001,76701.7,76623.3,76542.4,76461.3,,,
NRI_total,AR,,,59963.57749898826,,,,,60105.220558478344,,,,,60339.9433427762,,,,,60186.15944961554,,,,,60542.29057061918,,,,,60777.013354917035,,,,,60781.060299473895,,,,,
NRI_grazed,AR,,,7652.772157021448,,,,,7814.649939295831,,,,,7770.133549170376,,,,,7737.757992715499,,,,,8041.278834479967,,,,,7992.715499797652,,,,,8093.889113719141,,,,,
NRI_notgrazed,AR,,,52310.805341966814,,,,,52290.570619182516,,,,,52569.809793605826,,,,,52448.401456900036,,,,,52501.01173613921,,,,,52784.29785511938,,,,,52687.171185754756,,,,,
