dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24704.281674,16218.340914,18795.580594,19653.269904,20983.767686,19492.003403
DW_trees_gs_mode,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19172.552919,14650.613909,16259.22799,17462.585518,18841.096677,16417.026934
DW_trees_prob_10,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76701.332343,65566.12314,70225.402163,71981.955912,71747.537609,75017.065945
DW_trees_prob_25,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34905.290012,25592.895782,27103.500146,28954.587346,29232.011176,27750.702679
DW_trees_prob_50,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8944.24256,5155.611692,5102.234617,5953.338197,6223.707105,4755.3315
ESA_trees,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37796.4772,43688.917206,
ESRI_2020_trees,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18041.229458,,
ESRI_annual_trees,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15146.560112,13802.607458,16400.477236,14518.183394,12778.688834,12778.688834
Hansen_GFC,AZ,,,,,,,,,,,,,,,,8056.819216,8047.75274,7864.239195,7815.510071,7749.724187,7733.357395,7685.462856,7670.687787,7648.384438,7637.184822,7601.851642,7256.551478,7232.019918,7217.723576,7193.768776,7176.440715,7133.811846,7086.641202,7065.623237,7018.357606,6940.084821,6875.153918,
LCMAP_trees,AZ,47134.957097,47074.560116,47002.135845,46909.696482,46807.706477,46741.667992,46655.263697,46726.406996,46695.662375,46618.779896,46541.801971,46347.745782,46236.192952,46169.565441,46055.38087,45748.540196,45713.950923,44887.357005,44762.097476,44524.223576,44370.964274,44038.653995,43804.846669,43717.549588,43635.832683,43520.350867,43033.84717,42891.63589,42799.879729,42693.077142,42681.747543,42511.183383,42363.398047,42219.298821,42189.475048,41860.120944,41535.769454,
