dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122678.507595,115591.05083,115826.849222,119121.188886,106316.755943,102936.639075
DW_trees_gs_mode,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115682.832089,110139.075345,109676.518732,109958.740334,100953.304487,95180.509818
DW_trees_prob_10,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184288.719556,181558.224892,188592.580063,187023.59025,173844.538526,174388.411926
DW_trees_prob_25,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135971.514685,130164.439187,130355.425766,130883.733005,119879.408616,117145.683277
DW_trees_prob_50,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82427.444102,76713.313698,75184.55532,72036.289846,63137.392278,61084.642513
ESA_trees,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134276.823474,139391.595234,
ESRI_2020_trees,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89593.162042,,
ESRI_annual_trees,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90033.81239,90752.793496,88904.33858,80256.171553,75894.521278,75894.521278
Hansen_GFC,CA,,,,,,,,,,,,,,,,65353.640226,64970.308424,64531.492954,64153.56273,63712.950276,63379.167383,62817.685154,61929.222773,60357.85018,59569.054437,59297.499326,59051.076562,58626.047443,58301.662214,57564.527339,57047.884152,55980.369505,55001.711601,53856.088706,53017.447612,50885.590345,47719.195895,
LCMAP_trees,CA,100547.034645,100382.150604,100115.012089,99209.661367,99082.176317,99134.638312,99197.870248,99498.361588,99828.039225,100062.52621,100856.870491,101007.346718,100841.62171,101023.344017,100924.847957,100413.113276,100252.186196,99745.997308,99620.75095,99300.829934,99473.801777,99474.023848,98562.693878,97172.619921,96628.502696,96674.885163,96946.718428,97079.158598,96223.426065,95279.358977,94105.513457,93406.833292,93272.838709,92575.341963,91531.042641,91758.621811,86797.575607,
LCMAP_trees_woodywet,CA,100758.353699,100591.507612,100323.981285,99417.786448,99289.397396,99341.464514,99404.497249,99704.474816,100039.457601,100275.588832,101073.832115,101226.394111,101062.403156,101245.031251,101146.200649,100632.827664,100469.661772,99963.249928,99839.873075,99520.030542,99696.33367,99695.342841,98777.670391,97387.943032,96846.482089,96895.489521,97167.920608,97296.538415,96438.352108,95491.465249,94317.997087,93626.465075,93497.614012,92796.550362,91750.813002,91971.513772,87000.011241,
LCMS_all_trees_mixes,CA,173403.812802,174341.491535,174433.612348,174342.492324,174432.500911,174799.986172,175531.409382,176186.569764,177463.979788,178027.351076,179122.836974,179047.612552,179292.449742,179753.078145,178796.458108,178979.401136,178718.194651,178057.147687,178367.155941,178167.07309,178991.152489,178518.453296,177040.387821,177231.541432,178464.984218,179405.307321,179859.099663,179197.33729,178301.329789,178203.842516,178875.387042,178680.995685,178505.461824,177056.165611,177228.315218,177016.119508,175007.311496,172909.424375
LCMS_forest,CA,156546.465751,158099.886172,158467.011179,158598.400443,158942.771844,159485.668348,159972.278597,160386.775383,161375.448751,161816.905619,162698.542337,162710.972869,162785.557147,163191.828232,162531.437287,162451.174507,162129.351342,161563.910562,161746.301639,161272.865057,161727.449611,161741.535776,161032.024888,160915.270274,161558.727938,162032.584778,162783.806452,162436.009761,162194.791192,162026.876724,161711.230771,161052.268471,160762.123023,159683.803005,159803.014203,159335.362796,158149.170861,158663.503401
LCMS_trees,CA,139488.037161,139897.301015,140359.747069,140286.653872,140447.274705,140889.788396,141180.361009,141671.975647,142324.994763,142878.499302,143821.088152,144003.167989,143955.224516,144283.243641,143950.641067,143777.746235,143406.574711,142723.025099,142740.163718,141941.882498,142429.305052,142547.532081,141668.99742,140732.940264,141148.08973,141523.035811,142642.520385,142497.942381,141962.834357,141993.252748,141675.103309,140704.32966,140701.047338,139954.960545,139518.640101,139901.9997,137559.679658,135521.827972
