dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45385.870544,46932.723899,53120.107562,46245.183792,49598.002556,43831.697207
DW_trees_gs_mode,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50211.694887,47178.601587,54500.528376,47885.746063,51751.12672,49223.174253
DW_trees_prob_10,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93202.797832,86683.010231,92225.760847,87321.05329,90878.555122,84129.690558
DW_trees_prob_25,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49598.43219,51643.099647,55170.839349,49199.743318,52685.088233,45009.327419
DW_trees_prob_50,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11992.976399,18366.854782,17637.260189,13123.734083,15198.08697,10346.882498
ESA_trees,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72585.522956,76366.626611,
ESRI_2020_trees,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41264.73647,,
ESRI_annual_trees,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40154.856476,42730.635899,39073.912836,37390.014108,35757.775794,35757.775794
Hansen_GFC,CO,,,,,,,,,,,,,,,,27293.798367,27196.580547,26992.429945,26911.799437,26809.372517,26661.439173,26607.233119,26161.785635,25992.429951,25946.95983,25792.981823,25723.19155,25564.175519,25426.490241,25371.894653,25335.322415,25284.598969,25229.876073,25040.049371,24921.282668,24635.533098,24159.921833,
LCMAP_trees,CO,79873.032998,79854.369638,79781.911027,79665.055662,79528.698864,79478.994021,79495.101592,79590.352884,79690.880925,79702.878141,79953.022027,79864.108199,79842.972885,79808.784165,79771.782864,79657.623155,79476.030328,78800.102467,78686.083482,78721.020419,78788.217451,78566.051269,78529.334519,78445.362215,78377.388974,78266.283603,78157.297178,77995.451908,77766.402889,77713.273503,77730.764512,77586.458018,77383.375507,77078.343698,76759.994971,76542.414811,75587.549438,
LCMAP_trees_woodywet,CO,80821.99519,80803.327447,80730.608279,80613.318215,80475.970888,80426.114728,80441.91793,80537.490465,80638.892325,80651.385652,80902.75855,80813.924834,80792.818722,80758.879291,80721.806587,80607.640019,80425.408192,79751.368976,79636.601463,79672.207101,79740.108991,79519.415287,79483.432937,79398.88993,79330.197589,79217.742218,79106.59873,78943.852051,78713.810332,78660.429847,78677.73043,78532.005536,78327.320618,78019.00651,77699.002429,77479.402669,76520.939996,
LCMS_all_trees_mixes,CO,95942.506941,97114.943911,97164.51979,97133.019783,97073.017683,97115.920175,97216.607495,97295.722027,97309.455462,97448.172547,97916.606269,97629.457927,97589.138184,97523.348763,97482.11766,96839.668863,96547.724682,95337.26562,95626.778992,95807.608958,96084.39642,95976.629128,96151.033912,96197.180262,96402.694471,96613.386783,96678.714921,96601.208036,96752.1849,97180.09555,97431.781094,97270.184505,97040.392962,95854.968695,95961.778987,95848.344056,95502.761664,95950.430138
LCMS_forest,CO,92596.092854,95318.31103,95463.89845,95515.254603,95495.727681,95564.650612,95694.061259,95733.979252,95665.812942,95807.008909,96409.227328,96101.547257,96094.84494,96008.037702,95989.862361,95382.842103,95171.736412,94462.375665,94817.281948,94953.76854,95164.606482,95053.385435,95170.009432,95210.097416,95432.036565,95651.100511,95718.287707,95737.116112,96059.980641,96455.751674,96666.781203,96515.24124,96229.402012,95325.651112,95481.55357,95258.218842,95307.989498,96020.71459
LCMS_trees,CO,80578.20541,81422.51629,81479.750114,81552.016665,81545.685109,81613.421858,81720.273328,81787.671889,81688.488197,81836.405862,82119.91669,81861.905495,81658.413197,81473.136854,81329.995252,80637.354617,80257.702072,79031.658892,78952.663411,78944.505314,78986.848849,78849.064154,78818.96965,78736.477387,78766.085583,78775.716123,78692.120844,78404.350528,78227.447174,78308.578376,78415.10538,78231.843455,78074.925642,77136.820447,76706.295377,76509.624292,75673.914367,75853.940618
LCMS_trees_shrubs_mix,CO,83254.825235,84206.849703,84259.987958,84312.72877,84293.380383,84358.660376,84469.115703,84547.732535,84557.086785,84700.500218,84991.672496,84742.732552,84559.209017,84398.794761,84268.935914,83611.694407,83238.356452,81912.713717,81895.167031,81912.213614,81998.981992,81879.040471,81881.677457,81838.502265,81911.866012,81962.805518,81924.364831,81688.548882,81591.499545,81742.974532,81892.169145,81726.091722,81569.898571,80583.839784,80197.201496,80014.999422,79181.627594,79272.134325
MODIS_1_IGBP,CO,,,,,,,,,,,,,,,,,6971.664705,5393.979411,4516.622549,4478.598039,4817.062745,5002.861764,4781.274509,4972.896078,5081.086274,4721.223529,4829.37745,4227.255882,4017.50098,3819.871568,3745.169607,3679.37549,3642.159803,3093.873529,2621.029411,2190.8,2326.298039,
MODIS_2_UMD,CO,,,,,,,,,,,,,,,,,6972.664705,5393.979411,4516.622549,4478.598039,4817.062745,5002.861764,4781.274509,4972.896078,5081.086274,4721.223529,4829.37745,4227.255882,4017.50098,3819.871568,3745.169607,3679.37549,3642.159803,3093.873529,2621.029411,2190.8,2326.298039,
MODIS_3_LAI,CO,,,,,,,,,,,,,,,,,6972.664705,5393.979411,4516.622549,4478.598039,4817.062745,5002.861764,4781.274509,4972.896078,5081.086274,4721.223529,4829.37745,4227.255882,4017.50098,3819.871568,3745.169607,3679.37549,3642.159803,3093.873529,2621.029411,2190.8,2326.298039,
MODIS_4_BGC,CO,,,,,,,,,,,,,,,,,63756.502941,61821.07745,58680.418627,58833.70098,60774.25098,59514.611764,59637.554901,59056.888235,59602.012745,59006.512745,59435.962745,57025.399999,56617.659803,56218.506862,56751.463725,56174.15098,57345.319607,55108.703921,54691.886274,52042.42745,50989.860784,
MODIS_5_PFT,CO,,,,,,,,,,,,,,,,,63202.396078,60897.322549,57808.147058,58057.712745,59895.678431,58613.914705,58891.77745,58463.369607,59069.587254,58550.045098,58999.356862,56543.879411,56086.37549,55546.660784,56033.123529,55436.558823,56588.535294,54411.413725,54033.269607,51379.108823,50343.218627,
NLCD_canopy_10,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,87282.014904,,,,,87532.370742,,,,,,
NLCD_canopy_20,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,72027.520457,,,,,72158.116831,,,,,,
NLCD_canopy_60,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,611.236108,,,,,580.512476,,,,,,
NLCD_canopy_80,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202415,,,,,0.0054,,,,,,
NLCD_canopy_perc,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,12389.265801,,,,,12353.068556,,,,,,
NLCD_forest,CO,,,,,,,,,,,,,,,,,77005.901241,,,75934.539631,,75580.803645,,75367.014314,,,75130.815088,,74496.739803,,,74440.828651,,,73848.815512,,72107.01342,
NLCD_forest_woodywet,CO,,,,,,,,,,,,,,,,,79404.324543,,,78323.959231,,77973.281385,,77753.873816,,,77513.725729,,76923.21715,,,76861.472618,,,76367.601282,,74620.891722,
FIA_forest,CO,,,,,,,,,,,,,,,,,,,,,91156.7238364801,90641.2010459915,91273.9901587811,91805.8891229738,92239.3004329942,92431.3754754871,92442.8292348194,92618.5191654065,92663.7793985758,92820.7143092171,92312.0455609364,92532.4711333983,92646.6310821681,92828.2555436981,92754.5624781533,,,
FIA_forest_upper,CO,,,,,,,,,,,,,,,,,,,,,92301.14409294844,91654.72948489011,92177.57906067987,92637.66336761371,93021.11287533308,93166.52115682398,93142.6253754949,93319.97506501936,93365.73834505811,93521.2979724057,93011.6700763256,93232.40285423551,93343.43628733946,93524.20439675616,93448.5803418793,,,
FIA_forest_lower,CO,,,,,,,,,,,,,,,,,,,,,90012.30358001177,89627.6726070929,90370.40125688234,90974.11487833387,91457.48799065533,91696.22979415023,91743.03309414389,91917.06326579364,91961.8204520935,92120.13064602851,91612.4210455472,91832.53941256109,91949.82587699674,92132.30669064005,92060.5446144273,,,
FIA_timberland,CO,,,,,,,,,,,,,,,,,,,,,45852.0157613176,45103.6674750668,44784.9612446497,44894.0797568753,44344.1411844983,44115.38927877,43802.4383441142,43554.6008885919,43484.1991558312,43250.2849387009,42889.3606543575,42570.0493589336,42315.4035060151,42282.1339320403,42303.5938405336,,,
FIA_timberland_upper,CO,,,,,,,,,,,,,,,,,,,,,47022.698138024876,46145.12217164095,45723.921173418894,45767.984771282645,45157.97884578834,44885.21128333909,44531.85376681688,44284.51671975291,44215.885912041056,43983.73544094417,43621.98392824651,43300.834851230466,43045.19106893008,43012.69757981597,43034.184731438014,,,
FIA_timberland_lower,CO,,,,,,,,,,,,,,,,,,,,,44681.33338461032,44062.212778492656,43846.0013158805,44020.17474246795,43530.30352320826,43345.56727420091,43073.02292141152,42824.68505743089,42752.512399621344,42516.834436457626,42156.73738046849,41839.26386663673,41585.61594310012,41551.57028426463,41573.00294962918,,,
EPA_forested,CO,,,,,,71612.8,71713.90000000001,71815.0,71916.09999999999,72017.2,72118.3,72219.2,72323.0,72426.8,72530.6,72634.4,72738.2,72842.0,72945.8,73049.6,73153.4,73257.2,73364.0,73470.9,73577.70000000001,73684.5,73791.3,73898.1,74004.9,74111.7,74218.5,74246.9,74275.7,74304.5,74333.3,,,
NRI_total,CO,,,15572.642654795629,,,,,15014.164305949007,,,,,14876.568191015782,,,,,14556.859571023877,,,,,14484.014569000405,,,,,14407.122622420073,,,,,14350.465398624037,,,,,
NRI_grazed,CO,,,9607.446377984621,,,,,9154.188587616349,,,,,9125.859975718333,,,,,8130.311614730877,,,,,7919.87049777418,,,,,7895.588830433023,,,,,7757.992715499798,,,,,
NRI_notgrazed,CO,,,5965.196276811007,,,,,5859.975718332658,,,,,5750.70821529745,,,,,6426.547956292999,,,,,6564.144071226224,,,,,6511.53379198705,,,,,6592.472683124241,,,,,
