dataset_id,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2703171.7252169997,2611506.9425060004,2676080.974257,2663040.784682,2671098.0716979997,2612927.76246
DW_trees_gs_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730307.621106,2709856.992276,2790993.898333,2741272.801717,2800609.69519,2692897.173661
DW_trees_prob_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840778.595898999,3701930.325164,3808233.9168950003,3729828.501416,3726749.0175970006,3602328.0663090004
DW_trees_prob_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769876.3270740006,2688405.178647,2734118.047132,2733670.131136,2728128.7855279995,2668577.672765
DW_trees_prob_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754963.7177670004,1601002.465099,1698730.102942,1692647.2458699998,1588253.325407,1586809.4814130003
EPA_forested,,,,,,2515991.2000000007,2516248.3999999994,2516555.4000000004,2516865.3000000003,2517071.1999999997,2517206.9999999995,2517330.0,2517418.1999999997,2517507.8999999994,2517642.3,2517815.1999999997,2513686.1999999997,2513956.4999999995,2514203.000000001,2514438.1000000006,2514608.9000000004,2514676.8000000007,2514746.8000000003,2514805.5,2515070.0,2515427.3000000003,2515703.6,2515919.3000000003,2515732.7000000007,2515573.0999999996,2515641.200000001,2515410.9,2515454.7,2514793.1999999997,2513838.4000000004,,,
ESA_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2751114.34456,2799948.2737729996,
ESRI_2020_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2236657.0674490007,,
ESRI_annual_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219806.092077,2238944.1285139997,2225454.352109,2200973.606729,2184245.756538,2184245.756538
FIA_forest,,,,,,,,,,,,,,,,,,,898157.249391699,1117864.5754414806,1798006.5500082767,1838166.1419209796,2038182.1961046937,1983768.8988786612,2192891.3356205723,2494789.216166588,2338768.9744116296,2340918.490513322,2443084.506073656,2444463.2995919706,2437645.7126482017,2433018.6105082636,2769575.7244728385,2388607.628454778,2274890.5027927323,346134.08171334874,,
FIA_forest_lower,,,,,,,,,,,,,,,,,,,890645.0347778982,1105652.8404582567,1777003.1891064907,1821368.7127966497,2020252.03809592,1966687.0259946391,2175118.2162794555,2474682.5532501205,2319976.7573777745,2320955.661029261,2422984.202251398,2425217.3728583967,2418481.6889365553,2413989.386218091,2748931.82188217,2370669.080847612,2257820.552881296,344025.8682122914,,
FIA_forest_upper,,,,,,,,,,,,,,,,,,,905669.4640054998,1130076.3104247039,1819009.9109100616,1854963.5710453095,2056112.354113468,2000850.7717626828,2210664.4549616897,2514895.8790830565,2357561.191445485,2360881.3199973824,2463184.8098959136,2463709.2263255436,2456809.7363598477,2452047.834798436,2790219.6270635077,2406546.176061944,2291960.452704169,348242.295214406,,
FIA_timberland,,,,,,,,,,,,,,,,,,,864781.0695271969,1075833.3893604313,1488357.9562150447,1569946.3551555548,1573409.3025915625,1517386.8655681368,1713329.4043940469,1911303.2667492058,1822555.266503662,1774551.1271459584,1792224.09922624,1790702.3215076525,1787353.3841298746,1783077.409011422,2014244.5482749261,1839963.325056777,1750395.3879389672,339303.1971911053,,
FIA_timberland_lower,,,,,,,,,,,,,,,,,,,857007.6961213367,1063361.3913789738,1468271.3659570173,1552845.794324469,1556787.609890138,1501538.4548274176,1696599.6046843713,1892734.6558941354,1804975.2747978508,1756277.763423649,1774016.1996395206,1773246.4933033034,1770002.5460635792,1765805.6810602534,1995538.515322467,1822744.907764562,1734063.1354479487,337088.88102351973,,
FIA_timberland_upper,,,,,,,,,,,,,,,,,,,872554.4429330576,1088305.3873418889,1508444.5464730714,1587046.91598664,1590030.9952929867,1533235.2763088567,1730059.204103722,1929871.8776042748,1840135.2582094723,1792824.4908682683,1810431.99881296,1808158.1497120017,1804704.2221961692,1800349.1369625914,2032950.581227384,1857181.7423489918,1766727.6404299873,341517.51335869083,,
