dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10035.722537,9534.617867,9855.14107,9465.970179,9689.684154,9201.878137
DW_trees_gs_mode,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10166.970492,9927.548588,10295.803756,9906.446641,10291.308919,10027.145032
DW_trees_prob_10,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11478.500726,11387.473437,11339.839773,11239.262179,11337.932626,11081.850234
DW_trees_prob_25,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10204.469059,9842.71392,9906.953672,9806.937897,9792.958329,9435.878411
DW_trees_prob_50,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7601.735606,6326.033998,4146.106042,6627.021868,4118.981506,3523.215018
ESA_trees,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10357.135335,10309.288574,
ESRI_2020_trees,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7380.913151,,
ESRI_annual_trees,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7563.328047,7617.086277,7301.573185,7412.990018,7441.513693,7441.513693
Hansen_GFC,CT,,,,,,,,,,,,,,,,8415.846,8408.196701,8398.769962,8392.475408,8382.286714,8370.829196,8358.497701,8349.408262,8340.697729,8335.125423,8326.432707,8321.697767,8314.553878,8309.191781,8302.206343,8294.848234,8278.343853,8258.461106,8245.688887,8233.895743,8222.555185,8212.183919,
LCMAP_trees,CT,7410.666165,7420.493347,7426.712601,7427.133275,7427.19445,7428.205549,7426.907032,7426.894994,7425.167682,7424.01792,7422.888261,7422.115821,7420.180775,7417.982781,7408.845568,7401.883478,7392.987141,7380.686975,7372.95907,7361.961402,7348.805763,7335.289154,7324.491561,7317.454397,7314.563594,7308.512798,7303.351955,7301.580105,7297.029772,7289.681054,7281.003511,7264.871322,7255.73605,7251.747116,7248.554498,7242.824692,7237.443176,
LCMAP_trees_woodywet,CT,8010.614791,8021.609883,8029.581014,8030.354636,8030.529211,8031.79051,8030.989708,8031.356569,8029.787936,8028.706627,8027.701168,8027.033117,8025.268171,8023.093754,8013.926555,8006.783576,7997.549654,7984.691943,7976.513763,7964.895095,7951.07401,7936.639362,7924.905769,7917.320862,7914.268058,7907.788863,7901.97912,7899.80497,7894.64725,7886.523631,7876.824825,7859.146044,7849.271594,7844.872909,7841.141287,7834.929014,7829.568808,
LCMS_all_trees_mixes,CT,10612.151657,10634.491161,10664.445268,10691.88955,10734.032325,10773.931316,10797.51937,10817.420435,10817.491958,10839.311378,10856.050415,10873.127664,10884.767964,10891.528235,10895.083252,10895.847363,10895.456777,10900.123168,10857.476834,10847.41909,10846.511883,10853.258385,10862.437104,10868.183876,10871.147996,10864.551949,10862.884768,10860.42402,10848.901097,10817.384043,10788.513084,10749.60583,10723.249104,10703.389147,10697.955797,10677.707205,10677.789628,10662.746647
LCMS_forest,CT,9420.260516,10087.182352,10028.174802,10005.614498,10002.747007,10001.88745,9993.60079,9981.916997,9960.665474,9955.430262,9949.598731,9946.84645,9942.663832,9936.167883,9918.801151,9895.65817,9881.303371,9864.648642,9713.004151,9663.16032,9648.770163,9645.50448,9644.04084,9636.08994,9629.078244,9618.936215,9615.113152,9611.461972,9602.953602,9580.141408,9568.613202,9553.757802,9541.159612,9532.766198,9530.976935,9523.205904,9523.403855,9533.824761
LCMS_trees,CT,10447.38612,10466.020097,10496.428485,10521.555963,10564.321051,10605.377827,10630.780108,10648.714231,10643.592695,10661.569658,10675.943036,10690.380342,10700.071757,10702.485335,10701.548901,10694.776507,10694.902725,10696.404589,10625.607388,10615.041875,10613.382522,10619.074658,10627.973463,10632.866287,10635.818018,10626.66475,10621.300348,10616.129908,10602.365382,10570.181138,10536.465391,10490.65159,10459.104483,10437.099303,10431.43789,10416.681091,10420.377942,10411.392861
LCMS_trees_shrubs_mix,CT,10447.38972,10466.022797,10496.430285,10521.561363,10564.326451,10605.383227,10630.782808,10648.716931,10643.594495,10661.569658,10675.943936,10690.381242,10700.074457,10702.488935,10701.552501,10694.779207,10694.906325,10696.408189,10625.610088,10615.044575,10613.385222,10619.078258,10627.975263,10632.868987,10635.819818,10626.66745,10621.303048,10616.132608,10602.368082,10570.183838,10536.468091,10490.65429,10459.108083,10437.106503,10431.43969,10416.683791,10420.381542,10411.400061
MODIS_1_IGBP,CT,,,,,,,,,,,,,,,,,8129.32745,8540.670588,8289.470588,8302.171568,7909.935294,8164.945098,8128.747058,8223.653921,8268.195098,8218.648039,8155.155882,8258.654901,8076.75098,7820.382352,7496.243137,7518.612745,7300.420588,7615.338235,7585.908823,7629.993137,7851.168627,
MODIS_2_UMD,CT,,,,,,,,,,,,,,,,,8143.07745,8544.420588,8294.470588,8307.671568,7915.935294,8170.695098,8134.747058,8230.153921,8273.695098,8224.898039,8160.905882,8266.154901,8082.75098,7826.382352,7501.493137,7522.612745,7305.920588,7621.088235,7590.408823,7633.993137,7856.168627,
MODIS_3_LAI,CT,,,,,,,,,,,,,,,,,8143.07745,8544.420588,8294.470588,8307.671568,7915.935294,8170.695098,8134.747058,8230.153921,8273.695098,8224.898039,8160.905882,8266.154901,8082.75098,7826.382352,7501.493137,7522.612745,7305.920588,7621.088235,7590.408823,7633.993137,7856.168627,
MODIS_4_BGC,CT,,,,,,,,,,,,,,,,,10903.146078,10874.743137,10882.265686,10883.944117,10881.980392,10884.049019,10854.17647,10830.354901,10841.791176,10848.154901,10868.715686,10853.131372,10813.482352,10808.462745,10830.435294,10833.685294,10826.552941,10825.020588,10814.90196,10809.931372,10821.72647,
MODIS_5_PFT,CT,,,,,,,,,,,,,,,,,10903.146078,10874.743137,10882.265686,10883.944117,10881.980392,10884.049019,10854.17647,10830.354901,10841.791176,10848.154901,10868.715686,10853.131372,10812.982352,10807.962745,10830.435294,10833.685294,10826.552941,10825.020588,10814.90196,10809.931372,10821.72647,
NLCD_canopy_10,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,10773.956717,,,,,10719.287978,,,,,,
NLCD_canopy_20,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,10277.197125,,,,,10222.621987,,,,,,
NLCD_canopy_60,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,8142.264596,,,,,7999.563165,,,,,,
NLCD_canopy_80,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,5761.301435,,,,,5579.769949,,,,,,
NLCD_canopy_perc,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,6015.942612,,,,,5910.550742,,,,,,
NLCD_forest,CT,,,,,,,,,,,,,,,,,7292.413725,,,7256.634211,,7194.127951,,7186.999249,,,7138.482356,,7124.858632,,,7103.784928,,,7089.766231,,7087.849987,
NLCD_forest_woodywet,CT,,,,,,,,,,,,,,,,,8369.667949,,,8329.956949,,8266.255768,,8265.458177,,,8215.381563,,8208.748665,,,8187.735614,,,8173.599017,,8171.660442,
FIA_forest,CT,,,,,,,,,,,,,,,,,,,,,7260.4878917042,7066.90165553315,6893.73496025883,6978.29626003659,6825.30979517193,6828.38877920342,6927.20392128891,7024.95852989681,7281.68344934054,7160.07286981585,7315.67617585899,7284.11070941433,7244.28354139909,7242.30524464791,7136.47422443874,,,
FIA_forest_upper,CT,,,,,,,,,,,,,,,,,,,,,7629.656847128976,7277.908484624647,7071.862745210715,7158.943863256333,7010.861766063752,7014.427599014241,7110.853443840705,7206.201147237111,7447.0666744733735,7316.7709509411025,7480.495234593344,7450.125548653285,7409.290529667415,7408.43176013904,7308.25889443464,,,
FIA_forest_lower,CT,,,,,,,,,,,,,,,,,,,,,6891.318936279424,6855.894826441653,6715.6071753069455,6797.648656816847,6639.757824280108,6642.349959392599,6743.554398737116,6843.7159125565095,7116.300224207707,7003.374788690598,7150.857117124636,7118.095870175375,7079.276553130764,7076.178729156779,6964.68955444284,,,
FIA_timberland,CT,,,,,,,,,,,,,,,,,,,,,7070.19052239406,6898.10947152057,6686.21465997613,6804.63138960766,6656.96961973722,6705.72589950096,6802.43501086167,6924.92787241389,7154.86295162602,7032.99742512794,7191.39526315919,7162.44133510536,7122.02723684065,7119.8981541414,7033.35483965279,,,
FIA_timberland_upper,CT,,,,,,,,,,,,,,,,,,,,,7440.304376688212,7112.719218426947,6870.855476804017,6991.032135056359,6847.42759508775,6896.9991474531225,6991.667148744981,7111.666393294428,7326.563942009432,7197.727639371185,7362.353689180389,7334.140557571495,7292.639069992217,7291.571393454163,7210.249591313515,,,
FIA_timberland_lower,CT,,,,,,,,,,,,,,,,,,,,,6700.076668099909,6683.499724614193,6501.573843148243,6618.230644158961,6466.511644386689,6514.452651548797,6613.202872978359,6738.189351533352,6983.1619612426075,6868.267210884695,7020.4368371379915,6990.742112639225,6951.415403689084,6948.224914828636,6856.460087992065,,,
EPA_forested,CT,,,,,,6586.4,6605.900000000001,6625.4,6644.8,6662.1,6679.400000000001,6696.7,6714.0,6731.3,6748.6,6767.200000000001,6785.8,6804.400000000001,6823.0,6841.599999999999,6860.2,6884.2,6908.3,6932.4,6956.4,6980.5,7001.0,7021.5,7042.1,7062.6,7083.099999999999,7103.6,7118.8,7133.9,7149.099999999999,,,
