dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325.96909,2181.69782,2261.542269,2227.418489,2288.182085,2198.052616
DW_trees_gs_mode,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475.653376,2372.181001,2424.637746,2333.836684,2617.582847,2343.553618
DW_trees_prob_10,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3230.3157,3016.093246,3156.132202,3161.309296,3229.935558,3003.760614
DW_trees_prob_25,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2349.064248,2192.7946,2285.600986,2273.998222,2313.042744,2211.222839
DW_trees_prob_50,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681.424209,1443.846178,1611.974397,1569.505492,1561.202669,1504.411423
ESA_trees,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275.621747,2235.109587,
ESRI_2020_trees,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705.619067,,
ESRI_annual_trees,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683.732441,1688.462138,1685.36078,1702.717982,1669.441698,1669.441698
Hansen_GFC,DE,,,,,,,,,,,,,,,,1304.337503,1294.024776,1288.45891,1284.962688,1275.334853,1267.699774,1260.777246,1252.683132,1248.029985,1243.492593,1238.250758,1234.990887,1228.924798,1225.142068,1219.756821,1214.377225,1207.032742,1201.069566,1196.133683,1189.192783,1184.149674,1178.811863,
LCMAP_trees,DE,667.861108,664.962169,662.733896,660.066885,659.90863,656.86698,652.633581,648.254678,643.817604,640.289544,638.297227,637.08444,630.091874,626.469412,621.196531,616.498097,612.72199,612.221036,611.132745,605.200574,603.408028,600.065336,595.895417,598.919368,602.110111,604.404652,609.52693,614.886367,617.341309,618.051038,618.563989,618.513342,619.043368,618.661517,618.408536,620.910787,620.588629,
LCMAP_trees_woodywet,DE,1379.843382,1375.495443,1373.082995,1370.35399,1371.647858,1368.581008,1362.659834,1356.122403,1349.069929,1344.504945,1341.257128,1338.363903,1329.928962,1324.565431,1316.450562,1310.822082,1305.748785,1302.458018,1300.525934,1292.173348,1288.72032,1282.235474,1275.459504,1275.247552,1277.15208,1277.622374,1280.207145,1283.673162,1283.790804,1282.810538,1282.288489,1280.749235,1279.617172,1277.584376,1276.267856,1277.334261,1275.557703,
LCMS_all_trees_mixes,DE,1856.52954,1846.78825,1852.188981,1858.748022,1870.182017,1873.170945,1875.408515,1880.435452,1888.319223,1899.441494,1913.298109,1927.314984,1929.576261,1934.62885,1937.292455,1946.674648,1952.80489,1961.829917,1976.855068,1983.906652,1994.609749,2005.383667,2014.764564,2032.343551,2050.762937,2068.154664,2085.271828,2103.614989,2117.516848,2131.331128,2145.304761,2160.23166,2176.641455,2185.360249,2204.77279,2224.902028,2247.819765,2270.10054
LCMS_forest,DE,1719.937507,1715.798191,1704.819518,1703.971397,1707.544432,1705.563307,1704.248583,1705.903676,1709.873777,1715.582692,1722.249038,1727.65825,1727.103575,1727.184511,1722.846582,1727.499067,1728.92839,1732.32552,1738.740797,1738.698243,1741.044688,1743.848272,1746.732525,1753.388611,1759.459828,1767.422767,1775.793229,1784.952847,1790.297269,1797.678148,1806.162324,1815.724821,1825.541223,1832.193582,1846.215642,1860.847951,1879.217057,1917.587022
LCMS_trees,DE,1796.048177,1784.164549,1785.296918,1789.104564,1796.891294,1797.233145,1796.630082,1798.587441,1803.098735,1810.240249,1820.285657,1830.759667,1829.440521,1828.911737,1827.904817,1833.820821,1837.819447,1843.562929,1853.656447,1856.996449,1863.292662,1869.065834,1873.679191,1885.800095,1902.363755,1917.43279,1931.432629,1947.240635,1959.589651,1973.922511,1987.707892,2002.455345,2020.64977,2032.416282,2053.895897,2077.972415,2105.512958,2135.164432
LCMS_trees_shrubs_mix,DE,1796.048177,1784.164549,1785.296918,1789.104564,1796.891294,1797.233145,1796.630082,1798.587441,1803.098735,1810.240249,1820.285657,1830.759667,1829.440521,1828.911737,1827.904817,1833.820821,1837.819447,1843.562929,1853.656447,1856.996449,1863.292662,1869.065834,1873.679191,1885.800095,1902.363755,1917.43279,1931.432629,1947.240635,1959.589651,1973.922511,1987.707892,2002.456245,2020.64977,2032.417182,2053.895897,2077.972415,2105.512958,2135.164432
MODIS_1_IGBP,DE,,,,,,,,,,,,,,,,,343.458823,307.563725,286.25,340.82549,353.411764,389.209803,380.863725,378.831372,399.143137,315.198039,332.353921,337.873529,372.964705,375.959803,368.30098,380.215686,402.853921,418.397058,413.318627,427.012745,449.619607,
MODIS_2_UMD,DE,,,,,,,,,,,,,,,,,344.458823,307.563725,286.5,340.82549,353.411764,389.209803,380.863725,378.831372,399.143137,315.198039,332.353921,337.873529,372.964705,375.959803,368.30098,380.215686,402.853921,418.397058,413.318627,427.012745,449.869607,
MODIS_3_LAI,DE,,,,,,,,,,,,,,,,,344.458823,307.563725,286.5,340.82549,353.411764,389.209803,380.863725,378.831372,399.143137,315.198039,332.353921,337.873529,372.964705,375.959803,368.30098,380.215686,402.853921,418.397058,413.318627,427.012745,449.869607,
MODIS_4_BGC,DE,,,,,,,,,,,,,,,,,2182.648039,2591.065686,2436.835294,2501.75098,2450.272549,2459.437254,2582.486274,2665.173529,2655.190196,2544.72647,2611.436274,2674.236274,2594.62745,2549.648039,2561.67745,2583.153921,2571.930392,2676.999999,2646.734313,2678.633333,2584.312745,
MODIS_5_PFT,DE,,,,,,,,,,,,,,,,,2182.648039,2591.065686,2436.835294,2501.75098,2450.272549,2459.437254,2582.486274,2665.173529,2655.190196,2544.72647,2611.436274,2674.236274,2594.62745,2549.648039,2561.67745,2583.153921,2571.930392,2676.999999,2646.734313,2678.633333,2584.312745,
NLCD_canopy_10,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,2042.762714,,,,,2035.274837,,,,,,
NLCD_canopy_20,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,1842.793108,,,,,1835.325031,,,,,,
NLCD_canopy_60,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.181103,,,,,1298.664914,,,,,,
NLCD_canopy_80,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,865.722158,,,,,821.365284,,,,,,
NLCD_canopy_perc,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,990.560388,,,,,961.924315,,,,,,
NLCD_forest,DE,,,,,,,,,,,,,,,,,591.540956,,,586.760223,,573.770696,,577.951118,,,586.815547,,609.330638,,,613.580378,,,612.470262,,611.447643,
NLCD_forest_woodywet,DE,,,,,,,,,,,,,,,,,1521.44107,,,1519.70305,,1505.503175,,1509.836982,,,1524.103263,,1555.509709,,,1560.288434,,,1556.764012,,1556.718285,
FIA_forest,DE,,,,,,,,,,,,,,,,,,,,1631.53661111059,1720.91779024398,1477.50544288077,1420.57077495663,1425.16506612084,1397.41394275018,1378.22702215063,1373.98850363905,1406.4990832453,1465.42744158373,1452.11849573223,1459.26365535052,1435.72666594295,1440.94016342359,1452.24389371901,1436.33165037777,,,
FIA_forest_upper,DE,,,,,,,,,,,,,,,,,,,,1873.462548892283,1894.566438652113,1557.876641965576,1486.4461363582066,1485.0067871566816,1456.526220977754,1439.3748352706896,1436.2316329245346,1469.9722254952521,1519.5191501865718,1508.214948641073,1515.828201317521,1489.99883449175,1495.6811790539275,1506.8820787431862,1491.8697538869123,,,
FIA_forest_lower,DE,,,,,,,,,,,,,,,,,,,,1389.610673328897,1547.2691418358472,1397.134243795964,1354.6954135550534,1365.3233450849984,1338.301664522606,1317.0792090305706,1311.7453743535652,1343.0259409953478,1411.335732980888,1396.022042823387,1402.6991093835188,1381.45449739415,1386.1991477932527,1397.6057086948338,1380.7935468686278,,,
FIA_timberland,DE,,,,,,,,,,,,,,,,,,,,1443.5776553244,1623.46297571965,1420.4387588828,1374.60109590241,1366.94321690743,1343.73109679167,1323.40545578869,1317.55339737276,1346.9249454845,1406.31220353025,1395.22443965927,1402.59352496826,1379.0558473513,1387.25656032827,1399.11360378668,1375.19473114779,,,
FIA_timberland_upper,DE,,,,,,,,,,,,,,,,,,,,1674.557474530368,1793.193712202968,1504.4525812786924,1444.027081754855,1430.2171652037462,1406.036067607342,1388.1025840613122,1383.4146143156395,1414.2885640065952,1463.7100521428567,1454.0996646991487,1461.9635040518472,1436.2014060313347,1444.8748054886316,1456.657393072292,1432.5433714658516,,,
FIA_timberland_lower,DE,,,,,,,,,,,,,,,,,,,,1212.597836118432,1453.7322392363321,1336.4249364869074,1305.1751100499648,1303.669268611114,1281.4261259759983,1258.7083275160678,1251.6921804298804,1279.561326962405,1348.914354917643,1336.3492146193914,1343.2235458846728,1321.910288671265,1329.6383151679086,1341.5698145010679,1317.8460908297284,,,
EPA_forested,DE,,,,,,1565.6,1560.3,1555.1,1549.8,1544.4,1539.0,1533.6000000000001,1528.1999999999998,1522.8,1517.4,1511.9,1506.5,1501.0,1495.6,1490.1,1484.6000000000001,1478.1999999999998,1471.6999999999998,1465.2,1458.7,1452.2,1445.5,1438.7,1432.0,1425.2,1418.5,1411.8000000000002,1405.2,1398.6000000000001,1392.0,,,
NRI_total,DE,,,1501.4164305949007,,,,,1477.1347632537434,,,,,1456.9000404694455,,,,,1416.4305949008499,,,,,1396.195872116552,,,,,1408.3367057871305,,,,,1420.4775394577093,,,,,
NRI_grazed,DE,,,12.140833670578713,,,,,12.140833670578713,,,,,12.140833670578713,,,,,4.046944556859571,,,,,12.140833670578713,,,,,8.093889113719142,,,,,4.046944556859571,,,,,
NRI_notgrazed,DE,,,1489.2755969243221,,,,,1464.9939295831646,,,,,1444.759206798867,,,,,1412.3836503439902,,,,,1384.0550384459732,,,,,1400.2428166734114,,,,,1416.4305949008499,,,,,
