dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88700.71997,80950.44948,82468.76368,82177.448818,83956.575921,83205.109401
DW_trees_gs_mode,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75058.818874,76996.267575,78140.658777,77701.891679,80787.229037,81814.929941
DW_trees_prob_10,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111049.061373,106954.323305,107152.916145,108685.876003,108459.481692,108110.356702
DW_trees_prob_25,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89895.222754,83893.338486,84833.72403,85469.731287,86697.688219,85593.160393
DW_trees_prob_50,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66316.479039,61121.04594,62300.622729,61799.707453,63102.028755,62661.944329
ESA_trees,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79401.275133,79962.575724,
ESRI_2020_trees,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58720.29333,,
ESRI_annual_trees,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59090.103325,58794.571384,59132.843354,59201.946082,58465.846946,58465.846946
Hansen_GFC,FL,,,,,,,,,,,,,,,,51189.249596,50315.414472,49575.338207,48826.5753,47909.364377,47064.335457,46129.690053,45241.902704,44421.445215,43716.975939,42925.4794,42182.270124,41235.752,40605.908609,40038.122114,39500.453054,38842.184783,37977.127804,37104.419415,36321.908524,35836.284493,35457.802958,
LCMAP_trees,FL,27878.202077,28088.623732,28287.181461,28384.449921,28570.309934,28788.762991,29165.969558,29439.140054,29760.843988,30203.810855,30472.795609,30581.16331,30543.618532,29978.094871,29750.017535,29390.195082,29454.240688,29717.832144,30022.52989,29948.74393,29585.767842,29091.435317,28593.393935,28636.19029,28814.037575,28889.524651,28666.595883,28715.32219,28635.272223,28444.357249,28123.043576,27678.076369,27247.439364,27074.956679,26149.751308,26051.345639,26220.55903,
LCMAP_trees_woodywet,FL,45198.697764,45658.803014,46011.694439,46230.617925,46480.325848,46737.545015,47142.857678,47475.199729,47860.01011,48327.816289,48641.472282,48752.126809,48665.074058,48004.503532,47741.353708,47525.043148,47688.129497,47985.379334,48334.555807,48151.988219,47607.794375,46820.935199,46023.192942,45989.118017,46091.348939,46033.757915,45541.028167,45458.26783,45298.009069,45060.936656,44618.052885,44045.285389,43450.286354,43065.632728,41803.989134,41543.197429,41552.554768,
LCMS_all_trees_mixes,FL,78809.885827,80289.485107,81020.690265,81585.517651,81980.105929,82433.446394,83179.151975,83556.199881,84191.635231,85196.090996,86014.506455,86414.579382,86476.769802,86044.861528,85827.220235,84919.69999,84907.200377,85890.630952,86648.419888,86626.708298,86444.911408,85596.228787,85157.959034,85695.987257,86079.304147,86672.322067,86843.512877,87607.53757,88227.351345,88645.750835,88829.406098,88766.989563,88173.742983,87955.599928,87997.423485,88302.30594,88652.204717,88427.693142
LCMS_forest,FL,84961.600118,87539.929658,87323.417043,87422.800443,87188.33658,87025.023398,87208.990549,87138.28417,87368.280885,87951.357222,88329.934161,88397.584147,88321.865738,88054.420979,88037.189827,87332.766575,87211.686462,87550.668465,87701.019247,87467.216516,87301.493883,86704.922488,86497.522581,86652.126847,86730.210342,87013.400357,87222.209759,87632.787677,87864.244076,88058.740609,88136.524891,88167.729578,87835.378637,87607.498955,87843.33121,88135.398098,88513.857776,88945.075267
LCMS_trees,FL,76272.231225,77560.003055,78135.221167,78604.915528,78911.971641,79354.242314,80108.226899,80523.769242,81133.419381,82095.262175,82867.423383,83211.257371,83213.455461,82682.414527,82289.745476,81290.030855,81142.768987,82042.468598,82788.381141,82749.150225,82509.555705,81581.138569,81008.145511,81450.99973,81785.646811,82340.166014,82469.203221,83126.304479,83622.070009,84049.298664,84270.877065,84283.401225,83848.637975,83735.513992,83866.761123,84330.483275,84900.024988,84934.996012
LCMS_trees_shrubs_mix,FL,76272.364425,77560.161455,78135.371467,78605.058628,78912.107541,79354.374614,80108.350199,80523.890742,81133.555281,82095.396275,82867.556583,83211.389671,83213.601261,82682.581927,82289.909276,81290.209955,81142.930987,82042.614398,82788.514341,82749.277125,82509.670905,81581.258269,81008.266111,81451.12753,81785.788111,82340.319014,82469.328321,83126.430479,83622.185209,84049.394064,84270.967065,84283.500225,83848.747775,83735.642692,83866.870923,84330.571475,84900.105988,84935.086012
MODIS_1_IGBP,FL,,,,,,,,,,,,,,,,,20981.354901,24287.119607,25153.072549,25112.545098,24994.77549,23073.491176,21985.65098,21872.590196,22769.230392,22952.8,22182.132352,22239.490196,24625.141176,25602.438235,25407.483333,24379.788235,23289.397058,23765.836274,22221.081372,21113.321568,20654.329411,
MODIS_2_UMD,FL,,,,,,,,,,,,,,,,,23067.164705,26287.708823,27274.661764,27187.215686,27062.446078,25078.514705,24002.414705,23894.510784,24792.902941,24952.823529,24066.564705,24131.079411,26593.980392,27619.845098,27460.140196,26476.788235,25368.803921,25787.336274,24281.831372,23187.571568,22719.329411,
MODIS_3_LAI,FL,,,,,,,,,,,,,,,,,23067.164705,26287.708823,27274.661764,27187.215686,27062.446078,25078.514705,24002.414705,23894.510784,24792.902941,24952.823529,24066.564705,24131.079411,26593.980392,27619.845098,27460.140196,26476.788235,25368.803921,25787.336274,24281.831372,23187.571568,22719.329411,
MODIS_4_BGC,FL,,,,,,,,,,,,,,,,,120888.293137,120769.390196,119527.449019,119113.123529,118855.170588,118923.936274,119425.195098,118496.958823,118257.061764,117081.394117,118331.824509,117981.922549,117670.373529,117385.369607,118865.596078,118002.588235,117059.303921,116788.444117,116908.414705,117670.469607,118645.846078,
MODIS_5_PFT,FL,,,,,,,,,,,,,,,,,119675.103921,119886.581372,118920.449019,118541.373529,118359.420588,118431.986274,118921.745098,117995.708823,117826.316666,116624.15,117907.080392,117599.178431,117301.820588,117089.816666,118642.293137,117795.535294,116820.803921,116556.694117,116661.230392,117426.785294,118452.846078,
NLCD_canopy_10,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,82575.556351,,,,,81832.869868,,,,,,
NLCD_canopy_20,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,75849.323272,,,,,75112.421989,,,,,,
NLCD_canopy_60,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,52546.448459,,,,,50401.728127,,,,,,
NLCD_canopy_80,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,32013.767177,,,,,28716.749675,,,,,,
NLCD_canopy_perc,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,41004.692807,,,,,39161.832068,,,,,,
NLCD_forest,FL,,,,,,,,,,,,,,,,,28445.075685,,,27562.696891,,26833.407822,,26988.271051,,,26918.229984,,27581.046561,,,26594.823345,,,27304.651051,,27779.509517,
NLCD_forest_woodywet,FL,,,,,,,,,,,,,,,,,66472.457364,,,64236.917703,,63900.840218,,64608.811552,,,64808.736536,,66100.217255,,,65113.268191,,,65930.352501,,66382.493114,
FIA_forest,FL,,,,,,,,,,,,,,,,,,,,65580.6325043088,,,68380.3665801514,,69504.9307310579,70181.7491852238,70662.0717289206,70559.7422675029,69896.5347752191,69820.6578915182,69429.5314151483,69009.346898259,68677.0937569633,,,,,
FIA_forest_upper,FL,,,,,,,,,,,,,,,,,,,,66264.11946731117,,,68965.32561521204,,70101.53613413886,70776.44980111551,71251.6621962719,71148.825937657,70482.66746937009,70409.01099531844,70017.39272053643,69597.05110840614,69266.97514657224,,,,,
FIA_forest_lower,FL,,,,,,,,,,,,,,,,,,,,64897.145541306425,,,67795.40754509075,,68908.32532797694,69587.0485693321,70072.4812615693,69970.65859734878,69310.40208106811,69232.30478771796,68841.67010976018,68421.64268811185,68087.21236735435,,,,,
FIA_timberland,FL,,,,,,,,,,,,,,,,,,,,62040.4936612177,,,63105.2434979268,,62957.6182261512,63060.7905666903,63021.0417384968,62643.5394634593,62098.7894483346,62313.8387579378,61802.6862478303,61189.2070335858,60674.6593558382,,,,,
FIA_timberland_upper,FL,,,,,,,,,,,,,,,,,,,,62731.93553582815,,,63696.20741408079,,63549.91978090021,63654.62617957886,63613.5108723794,63238.94445625779,62688.37406457323,62897.38675982068,62387.59187873219,61775.37547569059,61262.39500192397,,,,,
FIA_timberland_lower,FL,,,,,,,,,,,,,,,,,,,,61349.05178660725,,,62514.27958177281,,62365.31667140219,62466.954953801745,62428.57260461421,62048.134470660814,61509.20483209597,61730.29075605493,61217.78061692841,60603.03859148101,60086.92370975243,,,,,
EPA_forested,FL,,,,,,75609.9,75389.6,75169.3,74949.1,74662.9,74376.7,74090.5,73804.4,73518.2,73257.8,72997.4,72737.0,72476.6,72216.2,71955.8,71662.2,71368.59999999999,71075.0,70781.5,70487.9,70194.3,69751.40000000001,69308.4,68865.5,68422.5,67979.6,67659.9,67340.3,67020.7,66701.09999999999,,,
NRI_total,FL,,,54326.18373128288,,,,,54172.39983812221,,,,,53872.92594091461,,,,,54095.507891541885,,,,,53617.96843383245,,,,,53460.13759611493,,,,,53512.74787535411,,,,,
NRI_grazed,FL,,,7531.3638203156615,,,,,7260.21853500607,,,,,6535.815459328207,,,,,4917.037636584379,,,,,3367.057871307163,,,,,3116.1473087818695,,,,,3067.583974099555,,,,,
NRI_notgrazed,FL,,,46794.81991096722,,,,,46912.181303116144,,,,,47337.1104815864,,,,,49178.4702549575,,,,,50250.91056252529,,,,,50343.990287333065,,,,,50445.16390125455,,,,,
