dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111264.710698,111037.733115,111285.919485,110989.339809,109579.622871,108328.903895
DW_trees_gs_mode,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109499.014522,116436.022751,113475.243192,112869.033259,119221.836976,114600.648808
DW_trees_prob_10,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127823.883982,129609.758047,128228.621157,129292.721716,129588.455115,127446.270647
DW_trees_prob_25,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112470.821397,112719.968454,112346.478016,113007.578714,112548.837671,111042.073067
DW_trees_prob_50,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90370.694194,91051.332723,94867.8169,92734.473094,87077.286812,86719.026646
ESA_trees,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111332.131443,109174.719474,
ESRI_2020_trees,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94350.579535,,
ESRI_annual_trees,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96029.12091,95070.963966,95529.692023,94950.813434,93290.357587,93290.357587
Hansen_GFC,GA,,,,,,,,,,,,,,,,80432.451745,79022.265189,77658.813705,76489.290211,75042.165751,73641.224493,72131.966394,70477.816364,69050.93368,67945.839208,66512.06442,64925.063353,63228.107999,61998.511628,60669.841032,59481.481571,58073.547405,56300.594772,55070.103404,53869.734819,52871.384317,51942.717429,
LCMAP_trees,GA,68744.965856,68998.161236,69427.926656,69978.999229,70904.820148,71623.140328,72524.911055,73121.138936,73573.039411,74180.624957,74290.406452,74083.209924,73832.381784,73147.598876,72657.802217,72156.080745,72361.444976,72696.94195,73163.705251,73267.659398,73132.411877,72625.145495,71954.206778,71988.163965,72279.144822,72373.434511,72015.250432,71967.044569,71645.956369,71073.079115,70519.854391,69850.475957,69151.024824,68909.043868,68609.597057,68632.926878,68880.922669,
LCMAP_trees_woodywet,GA,85580.922271,86098.431568,86680.557317,87326.673497,88333.565823,89083.143578,90044.25756,90656.795555,91105.722815,91727.831255,91820.752104,91548.606794,91266.382245,90534.900197,90018.802351,89642.648805,89888.282954,90308.356574,90844.576245,90873.858716,90646.012514,89967.969077,88850.678788,88786.127124,88954.299892,88891.874675,88024.079661,87830.707792,87391.680487,86704.086822,85991.539754,85164.286962,84300.019958,83972.960636,83383.751657,83145.287742,83180.318717,
LCMS_all_trees_mixes,GA,106445.809207,106841.341729,107626.914529,108391.545959,109611.259736,110613.638745,111697.059917,112181.996791,112535.643885,113163.69865,113424.86587,113485.381545,113395.532767,113020.800525,112674.167957,112284.748365,112714.113709,113134.921072,113875.372256,114092.191507,114143.797838,113725.322763,113187.925221,113564.462897,114070.056084,114355.348835,113840.991917,114047.607589,114204.501751,113951.849975,113702.135897,113323.741482,113035.142749,113188.646618,113121.993716,113329.395455,113589.702734,113168.47861
LCMS_forest,GA,108292.923137,110687.54329,111279.790852,111805.22952,112490.454225,112810.008451,113309.760374,113461.008709,113696.762107,114029.202134,113987.278023,113988.296576,113950.256244,113807.612714,113714.55162,113521.078602,113701.370925,113819.481109,114079.505795,114107.715871,114155.874511,113989.425945,113872.990701,114005.174851,114232.565738,114413.599588,114192.829471,114250.471044,114298.545691,114294.185347,114310.86283,114277.744792,114127.567436,114226.847844,114294.175101,114409.953571,114670.832717,115436.6877
LCMS_trees,GA,102405.194689,102477.032523,102861.326721,103415.157501,104419.710317,105421.577421,106603.063485,107377.10203,107912.313271,108519.310454,108720.242368,108697.764123,108503.891512,108030.754577,107579.090851,107084.223095,107371.285482,107763.393222,108489.084052,108801.450716,108930.789292,108547.369069,107893.871618,108121.3401,108607.103802,108959.73277,108441.856768,108484.96842,108484.059575,108251.582032,107975.942421,107589.698618,107206.638268,107448.10752,107609.117932,108021.610178,108571.123711,108427.990274
LCMS_trees_shrubs_mix,GA,102405.263392,102477.102723,102861.402321,103415.226801,104419.787717,105421.656621,106603.121985,107377.18123,107912.398771,108519.392354,108720.316168,108697.835223,108503.967112,108030.837377,107579.176351,107084.305895,107371.370082,107763.481422,108489.169552,108801.544316,108930.888292,108547.474369,107893.967918,108121.4319,108607.189302,108959.82907,108441.967468,108485.066519,108484.138775,108251.679232,107976.038721,107589.804818,107206.737268,107448.207419,107609.239432,108021.723578,108571.220011,108428.170274
MODIS_1_IGBP,GA,,,,,,,,,,,,,,,,,40208.458823,40787.486274,43018.149999,46003.210784,48069.533333,45020.135294,41351.881372,40159.291176,41941.603921,41071.789215,37303.406862,36017.465686,41139.670588,41295.087254,41910.821568,38650.15098,39586.332352,42740.596078,39426.17647,40183.899019,41606.349019,
MODIS_2_UMD,GA,,,,,,,,,,,,,,,,,40449.378431,40912.145098,43149.308823,46125.037254,48197.359803,45144.610784,41469.079411,40280.117647,42068.179411,41200.764705,37421.723529,36130.124509,41252.079411,41403.929411,42027.163725,38771.40098,39703.424509,42857.096078,39541.67647,40300.649019,41722.099019,
MODIS_3_LAI,GA,,,,,,,,,,,,,,,,,40449.378431,40912.145098,43149.308823,46125.037254,48197.359803,45144.610784,41469.079411,40280.117647,42068.179411,41200.764705,37421.723529,36130.124509,41252.079411,41403.929411,42027.163725,38771.40098,39703.424509,42857.096078,39541.67647,40300.649019,41722.099019,
MODIS_4_BGC,GA,,,,,,,,,,,,,,,,,132598.474509,134493.718627,133434.544117,133635.845098,132840.245098,131986.45098,132202.745098,131917.684313,132786.536274,132590.759803,132243.631372,132314.764705,132840.70196,132392.510784,132343.248039,130809.571568,130615.916666,131456.416666,131892.545098,133078.313725,133992.172549,
MODIS_5_PFT,GA,,,,,,,,,,,,,,,,,132595.664705,134492.529411,133434.294117,133634.595098,132839.995098,131986.40196,132202.446078,131917.434313,132786.531372,132588.755882,132241.62745,132313.010784,132838.255882,132391.064705,132341.80196,130808.12549,130615.416666,131447.166666,131891.980392,133077.499019,133991.672549,
NLCD_canopy_10,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,114833.180841,,,,,111978.674152,,,,,,
NLCD_canopy_20,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,110009.869503,,,,,107159.688215,,,,,,
NLCD_canopy_60,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,89668.247756,,,,,84941.521694,,,,,,
NLCD_canopy_80,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,64701.995548,,,,,57526.622922,,,,,,
NLCD_canopy_perc,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,72816.281903,,,,,68055.20406,,,,,,
NLCD_forest,GA,,,,,,,,,,,,,,,,,67512.343175,,,66759.318084,,66275.003908,,65966.901165,,,65714.912212,,66661.652625,,,64432.526121,,,64057.133742,,64554.70927,
NLCD_forest_woodywet,GA,,,,,,,,,,,,,,,,,92109.978794,,,91263.163348,,90754.710134,,90491.994144,,,89889.370747,,91318.749098,,,88779.797791,,,88394.25373,,88919.422284,
FIA_forest,GA,,,,,,,,,,,,,,,,,,,100936.225233257,101240.190124612,101259.807917483,100871.785097985,100802.687652992,100529.894303762,100379.024555491,100302.742798842,100233.577725672,100166.271536899,100138.509716511,100072.530198199,99693.9358201428,99410.1509659974,99230.9494139548,99003.2697052493,98817.2337825165,,,
FIA_forest_upper,GA,,,,,,,,,,,,,,,,,,,101509.94753485377,101815.31704188588,101839.85384996881,101453.4515734938,101389.0834046602,101119.42982946176,100971.89286992521,100896.62247867133,100827.85674698827,100722.08989474461,100693.42915686266,100578.08786562001,100203.94166585305,99926.5641950853,99750.5461106683,99527.06099927607,99345.34157888903,,,
FIA_forest_lower,GA,,,,,,,,,,,,,,,,,,,100362.50293166024,100665.06320733811,100679.7619849972,100290.1186224762,100216.2919013238,99940.35877806225,99786.1562410568,99708.86311901266,99639.29870435574,99610.4531790534,99583.59027615935,99566.972530778,99183.92997443254,98893.73773690949,98711.3527172413,98479.47841122253,98289.12598614398,,,
FIA_timberland,GA,,,,,,,,,,,,,,,,,,,98679.8960815916,98802.6314624392,98791.5212779189,98472.0102302097,98391.1650798979,98258.2220178751,98165.2281998587,98061.4101112083,97914.0033203542,97891.7686028453,97789.1505541693,97764.0294303672,97371.683004326,97087.5131258934,96858.6454230133,96613.9947216437,96433.0606487957,,,
FIA_timberland_upper,GA,,,,,,,,,,,,,,,,,,,99273.98163152146,99397.53550989523,99390.9945290133,99072.51030827855,98996.73037693964,98865.14368028758,98777.08828976657,98672.29449015556,98527.05831708811,98467.73832541947,98362.81140317165,98282.06843162108,97893.39289972206,97615.43363693396,97389.46891659107,97149.03727103962,96972.20883390999,,,
FIA_timberland_lower,GA,,,,,,,,,,,,,,,,,,,98085.81053166176,98207.72741498316,98192.0480268245,97871.51015214084,97785.59978285615,97651.30035546262,97553.36810995082,97450.52573226104,97300.94832362028,97315.79888027113,97215.48970516695,97245.99042911331,96849.97310892993,96559.59261485284,96327.82192943552,96078.95217224778,95893.91246368141,,,
EPA_forested,GA,,,,,,104015.1,103871.0,103726.8,103582.70000000001,103438.5,103247.70000000001,103057.0,102866.20000000001,102675.5,102484.7,102309.2,102133.6,101958.09999999999,101782.6,101607.09999999999,101431.5,101238.9,101046.20000000001,100853.5,100660.8,100468.09999999999,100275.40000000001,100019.40000000001,99763.5,99507.5,99251.6,98995.59999999999,98786.6,98577.5,98368.4,,,
NRI_total,GA,,,89858.35694050991,,,,,89348.44192634561,,,,,88445.97329016592,,,,,89073.24969647915,,,,,88745.44718737353,,,,,88535.00607041683,,,,,88057.4666127074,,,,,
NRI_grazed,GA,,,1845.4067179279643,,,,,1695.6697693241601,,,,,1335.4917037636583,,,,,1019.8300283286119,,,,,1011.7361392148927,,,,,1076.487252124646,,,,,1141.238365034399,,,,,
NRI_notgrazed,GA,,,88012.95022258195,,,,,87652.77215702145,,,,,87110.48158640227,,,,,88053.41966815054,,,,,87733.71104815864,,,,,87458.51881829218,,,,,86916.228247673,,,,,
