dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19729.286492,18135.778474,19093.225516,18893.833943,20427.230196,18842.032281
DW_trees_gs_mode,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23779.458307,21019.58582,24296.904156,21356.103182,22892.764416,21031.313435
DW_trees_prob_10,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49804.240781,34960.840325,36196.695102,35613.887003,41550.661563,32500.690355
DW_trees_prob_25,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18433.513862,16079.385129,16465.155518,17287.941324,18291.81473,16725.372491
DW_trees_prob_50,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8679.055561,4357.449972,3050.590229,6510.42859,7178.815496,5901.500782
ESA_trees,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16456.844507,18151.577837,
ESRI_2020_trees,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13124.189312,,
ESRI_annual_trees,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12101.680833,12770.572298,12669.082522,13196.483578,12721.796723,12721.796723
Hansen_GFC,IA,,,,,,,,,,,,,,,,8079.735139,8077.413273,8076.262754,8075.371648,8073.324912,8071.75953,8069.701405,8067.429338,8065.398492,8063.548464,8061.446823,8058.591531,8054.150177,8048.812403,8042.578734,8040.679972,8037.641744,8031.759783,8024.616838,8020.601907,8004.081719,8000.005154,
LCMAP_trees,IA,9904.768972,9927.554121,9955.474545,9993.618931,10013.781458,10038.548318,10059.946849,10080.244644,10099.654503,10117.528775,10135.641282,10152.566364,10170.790623,10189.650882,10207.021665,10224.013058,10240.4592,10254.74694,10271.200129,10286.04781,10297.508936,10308.623604,10317.798402,10330.238692,10341.26778,10354.343092,10360.60747,10365.511362,10369.889541,10371.72505,10376.90947,10382.851549,10372.06843,10372.585962,10375.555327,10376.863602,10372.409569,
LCMAP_trees_woodywet,IA,10887.391567,10911.663455,10942.409869,10982.591061,11003.390445,11031.058538,11056.856322,11078.606417,11101.065921,11120.139338,11138.795936,11156.294961,11175.002534,11194.370085,11212.170815,11230.975012,11248.346544,11263.983423,11280.638604,11295.7431,11307.369755,11318.25361,11327.032016,11339.025437,11349.413174,11361.343171,11365.249196,11368.357182,11371.302169,11371.446977,11376.0825,11380.8663,11368.153344,11366.247652,11364.47316,11360.673843,11351.871137,
