dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73306.138711,70744.760321,67712.31082,71439.285739,70311.844521,72743.364354
DW_trees_gs_mode,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74547.992024,71973.092787,71219.571568,72998.182656,71986.587562,72451.367323
DW_trees_prob_10,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103986.73542,100714.247504,98199.836802,99780.985892,97540.273281,99764.715865
DW_trees_prob_25,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74009.02116,72082.644003,68175.553876,70082.243639,69806.604173,71745.129403
DW_trees_prob_50,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45787.612827,43856.786712,39820.127048,36696.324782,38396.739859,44636.407374
ESA_trees,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75514.315263,77116.72079,
ESRI_2020_trees,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62266.961723,,
ESRI_annual_trees,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60108.820007,60148.615337,60633.050017,58102.3364,59521.097247,59521.097247
Hansen_GFC,ID,,,,,,,,,,,,,,,,52542.392691,52015.136505,51785.833826,51525.074763,51105.817787,50826.302992,50369.750392,49341.811097,48421.336364,48220.474736,47953.840543,47675.264649,46930.569008,46317.779585,45900.827443,45531.769181,44754.91999,44134.863947,43645.780092,43290.098107,42983.961309,42552.93434,
LCMAP_trees,ID,76076.144043,76017.453938,75904.303563,75743.755295,75450.788971,75321.76044,75259.091131,75145.451763,75093.047022,75069.94602,74858.308457,74754.391182,74642.164499,74578.199784,74487.109154,74386.485603,73867.250054,73809.933109,73736.122044,73527.048423,73482.242244,73208.356672,72808.1046,71849.127275,71689.664805,71599.965741,71507.470934,71317.586297,70433.932051,70055.208067,69933.77947,69573.272883,69430.742099,69234.779022,69158.064945,69229.147316,69022.507016,
LCMAP_trees_woodywet,ID,76372.394714,76312.526834,76196.80219,76032.873035,75738.032011,75608.533662,75545.439755,75431.653478,75383.14074,75360.402437,75149.627975,75046.518,74935.208417,74871.115002,74779.443871,74675.580342,74154.082281,74096.309149,74022.252384,73813.130163,73768.83145,73495.741478,73094.21244,72134.485415,71975.211045,71885.289907,71792.683821,71602.132616,70718.92422,70340.640254,70220.864957,69860.285788,69718.775982,69523.370869,69446.82271,69518.470037,69312.186112,
