dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31159.827104,31279.286989,32209.325784,31300.203281,32093.916711,31546.039172
DW_trees_gs_mode,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33475.342094,34032.141688,34758.705854,35796.065081,36747.799687,33653.666847
DW_trees_prob_10,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49000.755555,47558.56632,53013.108867,51845.064944,48621.377683,46938.146159
DW_trees_prob_25,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31095.07103,31147.569903,31847.501919,31323.994996,31007.933127,31077.310993
DW_trees_prob_50,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19538.634061,18789.555052,19512.386505,18474.054787,16816.018296,18158.020374
ESA_trees,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31561.781177,32935.166262,
ESRI_2020_trees,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24697.871386,,
ESRI_annual_trees,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24034.061012,24354.008243,24301.074956,24542.384265,24873.427429,24873.427429
Hansen_GFC,IL,,,,,,,,,,,,,,,,16866.119688,16857.572038,16852.060972,16847.176184,16842.761129,16836.924077,16831.847868,16825.936453,16820.218239,16810.131841,16805.304196,16799.568262,16788.794015,16773.623961,16766.196981,16759.865462,16749.023689,16727.167828,16711.515435,16703.409558,16693.930848,16685.323876,
LCMAP_trees,IL,22248.62017,22269.455234,22301.199222,22347.60451,22390.691989,22424.865014,22453.350063,22476.905781,22514.427084,22531.587928,22561.803405,22574.715529,22590.259528,22602.952196,22612.065296,22648.101794,22662.93955,22677.184408,22695.046796,22700.870431,22698.611618,22697.200559,22692.549952,22693.585934,22702.375387,22710.732592,22698.99955,22691.424811,22690.446864,22681.37994,22673.188443,22653.652108,22633.004438,22620.511927,22617.426667,22605.218703,22589.128485,
LCMAP_trees_woodywet,IL,23913.701417,23937.29983,23973.595888,24023.137101,24068.093692,24104.352275,24135.609868,24160.31124,24207.82434,24227.646462,24260.626535,24274.618538,24291.243949,24303.768571,24313.679809,24358.713158,24374.505088,24390.427372,24416.536101,24422.200729,24419.099996,24416.856102,24411.142397,24409.939034,24417.784807,24424.538145,24410.944732,24403.789203,24401.354445,24390.477525,24380.975301,24359.997832,24336.618663,24320.971002,24309.725421,24292.264182,24274.184643,
