dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28722.895103,29090.394125,29849.326644,29271.436999,30367.35087,29274.39526
DW_trees_gs_mode,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33639.851871,32939.948863,31998.070464,32489.205124,34072.242083,32534.991706
DW_trees_prob_10,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43940.708097,41501.230532,42359.598191,44513.098441,44199.721204,40444.403595
DW_trees_prob_25,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28999.19229,28441.676204,29149.866311,29688.489539,30092.322345,28976.780075
DW_trees_prob_50,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18094.431063,16578.458164,18866.246787,19788.255316,19756.890094,17798.148178
ESA_trees,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29291.309926,30189.362386,
ESRI_2020_trees,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24169.560735,,
ESRI_annual_trees,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23365.574864,24124.777972,23635.060145,23986.219775,23977.860878,23977.860878
Hansen_GFC,IN,,,,,,,,,,,,,,,,16857.090814,16852.313968,16848.795482,16845.138096,16836.981601,16829.953095,16821.792197,16811.991768,16802.276041,16793.113968,16786.23175,16775.152693,16759.103377,16741.579081,16729.954729,16718.148475,16696.58997,16669.678239,16652.500221,16637.606404,16621.979672,16606.473426,
LCMAP_trees,IN,21830.624643,21862.045528,21883.155187,21911.680115,21951.978303,21996.673238,22013.062965,22032.191385,22045.419529,22057.147027,22071.514902,22081.393658,22090.235022,22096.279838,22096.823611,22128.996483,22144.762842,22153.183634,22163.450347,22166.945509,22166.487645,22157.090403,22150.655142,22150.543545,22150.609612,22151.085603,22125.954963,22124.912008,22121.06119,22112.248415,22106.062581,22098.343616,22082.701672,22067.564749,22058.101196,22046.220444,22030.29661,
LCMAP_trees_woodywet,IN,22608.35316,22640.25655,22661.846805,22690.90261,22732.461878,22778.406624,22795.963651,22815.75505,22829.294594,22841.268688,22855.875377,22865.939481,22874.942844,22881.164784,22881.875057,22915.893543,22932.225102,22940.700441,22952.094303,22955.655289,22954.890441,22944.726698,22937.252883,22936.31509,22935.028023,22934.742614,22908.389043,22906.875917,22902.322062,22892.239436,22885.249115,22876.357687,22859.317143,22842.690469,22831.883879,22818.789028,22801.477665,
LCMS_all_trees_mixes,IN,25422.874637,25615.690542,25712.025084,25811.203736,26028.815696,26208.757341,26358.176318,26546.41321,26692.102997,26821.36255,26943.41413,27030.2676,27137.873869,27225.2262,27292.072828,27397.67832,27543.00781,27678.307591,27769.966581,27864.04681,27957.452968,28052.595031,28120.866476,28228.32325,28316.828163,28381.613788,28376.299334,28403.001564,28472.712547,28508.354703,28583.54382,28593.924225,28584.060751,28639.915238,28749.815435,28932.312472,29097.552476,29416.79401
LCMS_forest,IN,24282.152435,24669.284163,24606.206929,24602.333509,24739.925781,24835.475382,24911.648572,25049.237777,25117.842667,25191.059467,25254.007972,25285.939443,25360.624948,25399.775124,25448.874801,25505.808285,25595.050492,25663.819214,25727.760148,25771.130781,25833.971103,25893.352849,25952.816862,26039.688165,26101.134561,26160.106958,26162.488471,26213.222767,26291.009904,26331.030568,26430.061157,26493.820743,26534.855587,26645.887715,26790.378582,26990.168749,27223.28826,27944.568592
LCMS_trees,IN,24331.56427,24479.055963,24551.943208,24623.502617,24813.004771,24976.44553,25112.523074,25292.815867,25424.293164,25529.202105,25622.127875,25674.838711,25749.348719,25804.008815,25829.99905,25894.336909,25993.169791,26090.131171,26166.745768,26235.075705,26300.455309,26367.414137,26412.597349,26481.429818,26539.581928,26574.337951,26541.179099,26521.742442,26530.128829,26553.209417,26615.026718,26611.61131,26587.809825,26640.898203,26750.552301,26944.842158,27143.264922,27512.981717
LCMS_trees_shrubs_mix,IN,24331.57327,24479.058663,24551.944108,24623.503517,24813.005671,24976.44643,25112.523974,25292.817667,25424.294064,25529.204805,25622.129675,25674.840511,25749.351419,25804.012415,25830.00085,25894.340509,25993.172491,26090.132971,26166.745768,26235.076605,26300.455309,26367.415937,26412.598249,26481.430718,26539.582828,26574.338851,26541.179099,26521.744242,26530.128829,26553.212117,26615.032118,26611.61671,26587.815225,26640.904503,26750.561301,26944.850258,27143.275722,27512.995217
MODIS_1_IGBP,IN,,,,,,,,,,,,,,,,,10278.562745,9630.318627,9526.270588,9858.368627,10220.007843,10608.62647,9724.922549,9651.981372,9809.788235,8960.716666,9062.518627,8237.122549,8454.872549,8232.399999,7752.515686,8292.47745,8560.379411,9093.649019,9236.256862,9482.060784,9710.821568,
MODIS_2_UMD,IN,,,,,,,,,,,,,,,,,10286.062745,9631.068627,9526.520588,9858.368627,10220.007843,10608.62647,9724.922549,9651.981372,9810.038235,8960.966666,9062.518627,8237.122549,8454.872549,8232.399999,7752.515686,8292.47745,8560.379411,9093.649019,9236.256862,9482.060784,9710.821568,
MODIS_3_LAI,IN,,,,,,,,,,,,,,,,,10286.062745,9631.068627,9526.520588,9858.368627,10220.007843,10608.62647,9724.922549,9651.981372,9810.038235,8960.966666,9062.518627,8237.122549,8454.872549,8232.399999,7752.515686,8292.47745,8560.379411,9093.649019,9236.256862,9482.060784,9710.821568,
MODIS_4_BGC,IN,,,,,,,,,,,,,,,,,25424.804901,24000.682352,23310.273529,22924.495098,23379.048039,23438.989215,23378.833333,23021.679411,23569.684313,23089.07647,23190.793137,23265.364705,23008.728431,22407.369607,22191.132352,22714.784313,23380.795098,24096.437254,24023.054901,23670.596078,23817.930392,
MODIS_5_PFT,IN,,,,,,,,,,,,,,,,,25424.804901,24000.682352,23310.273529,22924.495098,23379.048039,23438.989215,23378.833333,23021.679411,23569.684313,23089.07647,23190.793137,23265.364705,23008.728431,22407.369607,22191.132352,22714.784313,23380.795098,24096.437254,24023.054901,23670.596078,23817.930392,
