dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17758.962525,16391.936606,19396.882319,17826.746652,18644.302337,16434.386227
DW_trees_gs_mode,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20332.831368,17623.664043,21795.162922,20232.680445,21934.169341,17124.216901
DW_trees_prob_10,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41997.11275,36573.308605,44844.054322,40750.469245,40339.089019,29719.293389
DW_trees_prob_25,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16486.20563,15104.534372,17526.212449,16654.359221,16937.178871,15138.452956
DW_trees_prob_50,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6491.430481,5544.0939,6830.5746,6698.479567,6661.634684,5723.862401
ESA_trees,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16190.317325,18464.115461,
ESRI_2020_trees,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10886.447112,,
ESRI_annual_trees,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9304.487392,10508.579748,10113.63484,10280.157261,9667.806911,9667.806911
Hansen_GFC,KS,,,,,,,,,,,,,,,,5227.1922,5221.732455,5218.465767,5216.47205,5212.237214,5208.735489,5205.550425,5200.581187,5195.843069,5192.883364,5190.275609,5187.015459,5183.029417,5175.0303,5167.36739,5164.356935,5158.729619,5152.971319,5148.750014,5145.71121,5139.183308,5136.519644,
LCMAP_trees,KS,7046.774516,7065.09396,7084.264175,7117.05852,7153.396478,7177.538749,7198.724763,7226.545835,7248.283397,7263.726423,7283.825474,7291.298308,7309.061498,7323.976842,7341.161851,7348.859297,7358.010907,7363.234517,7378.971208,7400.292444,7412.622536,7406.600834,7425.00625,7438.59343,7456.379795,7469.127363,7437.91555,7432.626511,7447.396757,7472.34246,7504.72896,7518.074107,7533.799383,7549.528884,7572.103874,7580.96761,7603.355537,
LCMAP_trees_woodywet,KS,7624.107787,7643.28493,7664.328045,7701.395802,7741.046661,7765.836931,7788.005601,7816.497172,7838.840435,7854.021561,7874.486011,7882.187244,7900.359035,7915.463378,7933.038988,7941.799334,7951.208544,7956.424461,7972.116151,7993.20516,8005.182744,7998.157094,8015.746171,8028.245223,8045.518588,8057.809856,8023.530176,8016.716103,8030.281249,8053.377222,8084.975054,8097.569601,8112.335555,8126.590521,8144.96791,8152.736248,8174.266475,
LCMS_all_trees_mixes,KS,13768.373555,14064.656985,14362.236836,14510.183195,14790.451718,15072.608304,15201.194929,15514.810704,15836.296644,16003.226819,16225.508357,16334.142398,16479.175877,16575.244958,16703.309936,16647.744081,16731.416516,16760.742998,16935.587205,17200.582108,17400.630642,17373.857897,17539.482024,17736.098908,17906.785002,17994.379757,17770.293084,17537.389503,17669.960982,17854.880996,18099.616732,18266.21046,18255.126494,18194.180039,18392.99641,18460.042221,18613.255217,19135.566077
