dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61779.023544,65124.268632,65271.418332,66741.840174,64593.845655,63847.068004
DW_trees_gs_mode,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69211.630639,70018.82881,69297.403502,71880.763203,72820.730521,70134.077973
DW_trees_prob_10,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80476.878134,82379.571124,79672.607433,84751.873603,82154.355548,78851.92581
DW_trees_prob_25,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64651.635345,65740.731449,65288.885057,67700.080716,66068.597945,64694.327523
DW_trees_prob_50,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38375.575883,43129.319707,48476.970005,48376.672182,37333.56315,38624.822414
ESA_trees,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63233.038945,63233.721505,
ESRI_2020_trees,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58711.875887,,
ESRI_annual_trees,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59123.054914,59282.50436,59030.104534,58964.939187,58791.387856,58791.387856
Hansen_GFC,KY,,,,,,,,,,,,,,,,47177.285231,47062.211185,46985.999409,46903.128012,46777.958838,46637.169946,46507.477989,46342.686036,46180.778274,46068.997903,45938.577896,45849.670573,45728.989732,45658.765148,45573.945419,45476.427314,45299.922548,45141.996665,45048.222575,44971.328384,44894.086595,44824.357352,
LCMAP_trees,KY,56578.87818,56634.187588,56654.616134,56682.623227,56755.111224,56778.984204,56780.470256,56775.777367,56762.820695,56738.510417,56719.548864,56696.650754,56673.028627,56634.530654,56538.782519,56594.374637,56572.085195,56534.219869,56504.928105,56462.248531,56382.63295,56303.708248,56171.986577,56092.700474,56043.067538,55992.045508,55889.538956,55890.443428,55875.119096,55795.309955,55765.623119,55742.380277,55709.945276,55668.713862,55650.397785,55605.269121,55551.79717,
LCMAP_trees_woodywet,KY,57390.59059,57447.897307,57469.166251,57499.168644,57575.709832,57601.389377,57604.69788,57601.216902,57588.80203,57565.561814,57547.511061,57525.05755,57501.830523,57463.754569,57368.387047,57428.663939,57408.098897,57371.200687,57338.609255,57295.717383,57215.910899,57135.27666,57001.126814,56919.986078,56867.911284,56814.567638,56707.273524,56706.77707,56688.995791,56605.05565,56572.590515,56546.059079,56507.999438,56463.998724,56442.301824,56395.56925,56340.332456,
LCMS_all_trees_mixes,KY,63600.343655,63830.783392,64077.874644,64352.642812,64787.207209,65078.275235,65320.384041,65533.208389,65699.800563,65899.656543,66103.649477,66262.880865,66363.893834,66414.913856,65822.406938,65917.545268,66183.932138,66354.259849,66553.561372,66737.684922,66831.651705,66960.237564,66923.149662,67081.910777,67232.864234,67322.653341,67407.36756,67561.642069,67696.556216,67701.273564,67871.836076,67990.052604,68025.708501,68154.031905,68347.816295,68551.963796,68814.874009,69142.25245
LCMS_forest,KY,61596.130916,62017.030277,62063.203277,62096.801862,62396.507322,62517.094468,62635.784735,62742.360264,62764.449885,62918.167369,63074.432879,63175.525792,63235.980487,63282.467943,62839.881098,62914.929204,62991.655672,63036.496171,63194.234809,63303.338851,63367.10161,63480.563844,63535.567662,63721.308398,63861.518516,63993.297832,64132.381312,64318.481756,64467.108649,64455.322009,64723.316004,64921.232929,65086.842345,65376.477755,65714.010942,66044.863143,66510.714144,67359.697164
LCMS_trees,KY,59387.207834,59500.211788,59663.883974,59810.735223,60129.591014,60370.490752,60587.975357,60787.048965,60914.843728,61044.685207,61152.454969,61184.014718,61141.034308,61058.987371,60520.081478,60451.53493,60495.813472,60545.203732,60663.518587,60757.293,60754.101363,60756.84906,60649.631678,60639.440678,60667.099609,60654.672303,60613.217798,60610.856438,60527.713768,60444.700549,60552.700337,60611.001352,60653.510025,60803.638704,61027.214527,61312.749074,61711.339316,62225.70769
LCMS_trees_shrubs_mix,KY,59387.264534,59500.225288,59663.902739,59810.747823,60129.599114,60370.505152,60587.987957,60787.062465,60914.855428,61044.695107,61152.464869,61184.027318,61141.047808,61059.010771,60520.121978,60451.57993,60495.849472,60545.242432,60663.539287,60757.32,60754.127463,60756.88776,60649.669478,60639.482978,60667.150909,60654.711003,60613.263698,60610.904138,60527.758768,60444.737449,60552.740837,60611.047252,60653.577525,60803.730504,61027.291927,61312.832774,61711.424816,62225.92909
MODIS_1_IGBP,KY,,,,,,,,,,,,,,,,,41173.009803,41099.397058,41528.333333,43155.948039,43127.559803,43703.888235,41283.688235,40027.299019,42484.334313,41541.011764,40784.162745,38990.528431,40747.049019,39639.719607,37317.389215,38088.07745,38906.414705,39761.043137,40246.390196,40958.183333,41687.182352,
MODIS_2_UMD,KY,,,,,,,,,,,,,,,,,41238.312745,41111.897058,41535.833333,43163.198039,43134.309803,43710.138235,41288.938235,40033.549019,42489.334313,41546.261764,40788.412745,38994.778431,40751.549019,39644.219607,37321.357843,38093.07745,38913.914705,39766.793137,40250.140196,40961.433333,41688.932352,
MODIS_3_LAI,KY,,,,,,,,,,,,,,,,,41238.312745,41111.897058,41535.833333,43163.198039,43134.309803,43710.138235,41288.938235,40033.549019,42489.334313,41546.261764,40788.412745,38994.778431,40751.549019,39644.219607,37321.357843,38093.07745,38913.914705,39766.793137,40250.140196,40961.433333,41688.932352,
