dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72413.206231,71130.691978,71745.385194,71868.464932,71430.000719,70110.190761
DW_trees_gs_mode,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73919.152651,71081.939247,74138.312356,73910.041359,75364.782523,73618.179565
DW_trees_prob_10,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89219.688087,88344.601063,89652.780843,88913.526668,88829.541616,85915.342521
DW_trees_prob_25,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72969.20904,71848.133214,72684.807643,72265.048174,71928.137195,70522.748036
DW_trees_prob_50,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58825.369195,56718.958307,57605.269977,58845.099427,56427.446436,56035.828099
ESA_trees,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66370.215744,66341.455149,
ESRI_2020_trees,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58422.045485,,
ESRI_annual_trees,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59614.559433,59182.102251,59879.319379,60013.747705,59165.238876,59165.238876
Hansen_GFC,LA,,,,,,,,,,,,,,,,52569.265586,51650.313844,50789.728132,50010.961609,48998.078039,47907.314927,46869.271763,45858.86727,44929.056441,44108.501267,43141.925616,42298.343786,41386.860906,40660.289288,39888.859915,39189.59844,38461.941564,37694.733909,37019.480206,36409.954896,35806.620596,35328.880405,
LCMAP_trees,LA,29375.602641,29328.519938,29223.850256,29260.750122,29523.397591,29718.18241,30086.470976,30329.129082,30483.625747,30660.118817,30688.376463,30594.304898,30292.785772,29679.512791,29274.614301,28715.842888,28661.077101,28615.861602,28625.265176,28664.939258,28558.499622,28048.317374,28226.629732,28371.930878,28649.610081,28787.664843,28585.737797,28660.647589,28721.796268,28817.491401,28696.924238,28563.724725,28803.598369,28972.54429,29262.592683,29682.842738,29607.436958,
