dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15955.242281,15271.784044,15584.856447,14968.68442,15111.967475,15031.930292
DW_trees_gs_mode,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15876.650272,15731.086745,16180.598845,15762.74027,16463.031285,15866.074427
DW_trees_prob_10,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18253.081757,18117.51189,18141.162153,17928.636649,18113.101012,17889.000784
DW_trees_prob_25,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16045.686924,15576.560036,15708.561792,15415.239312,15537.922526,15396.431428
DW_trees_prob_50,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11648.782323,10260.605671,7914.636662,9933.593279,8100.63234,7547.333461
ESA_trees,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16573.820152,16451.243299,
ESRI_2020_trees,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12409.825721,,
ESRI_annual_trees,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12513.374754,12679.650765,12366.866579,12359.117806,12290.308071,12290.308071
Hansen_GFC,MA,,,,,,,,,,,,,,,,12799.114104,12781.483676,12764.689447,12749.390663,12729.292529,12709.527726,12685.51135,12666.412712,12645.151197,12631.73895,12615.307462,12597.995875,12580.534923,12568.874837,12552.228319,12529.57155,12494.744566,12442.121535,12408.005126,12377.780527,12345.547908,12318.893026,
LCMAP_trees,MA,11087.256741,11093.126452,11092.405062,11072.58012,11065.787809,11060.682285,11055.192515,11046.575131,11038.613308,11032.987062,11026.080218,11022.194375,11014.449014,11007.035777,10982.242027,10962.378109,10941.433955,10915.155734,10899.501737,10882.760738,10861.340152,10836.632869,10819.204637,10805.542337,10798.828016,10789.137148,10775.407344,10772.370716,10764.11875,10750.237108,10734.905943,10704.643507,10691.996643,10682.986429,10675.528242,10660.741711,10646.134588,
LCMAP_trees_woodywet,MA,12198.291924,12205.111108,12205.026374,12185.545309,12178.977998,12173.916575,12168.96829,12160.835728,12153.049072,12147.621727,12140.943292,12137.218344,12129.664919,12122.158807,12096.878809,12076.154541,12054.32646,12026.270047,12009.50749,11991.400291,11967.583955,11938.896871,11919.274831,11903.468396,11895.866675,11883.956456,11867.980584,11864.116856,11854.073032,11838.089364,11820.653431,11786.850511,11772.869516,11762.829938,11754.631715,11739.731431,11725.29648,
LCMS_all_trees_mixes,MA,16597.217449,16637.92488,16683.908152,16700.773584,16764.77641,16835.317888,16866.059459,16887.633928,16912.439001,16963.478442,16999.525087,17031.132292,17046.129857,17057.881867,17067.15774,17077.034989,17083.425243,17089.213768,17076.904482,17081.658236,17084.348121,17099.492523,17118.524629,17133.88866,17146.85653,17150.770362,17162.118338,17167.701052,17164.028428,17140.274036,17115.731862,17063.007864,17045.432403,17021.113034,17013.205697,16994.248792,16994.111241,16932.654151
LCMS_forest,MA,14722.193219,15727.252584,15600.870211,15529.460368,15533.687985,15542.75203,15528.98628,15504.783215,15471.377488,15468.558299,15459.68166,15454.752607,15440.252234,15427.04298,15396.980862,15365.594816,15326.862797,15293.386944,15209.206655,15176.845224,15148.114252,15143.891001,15142.367385,15134.441876,15124.051715,15115.493361,15120.515548,15120.47761,15114.510081,15102.314756,15096.736743,15085.914165,15077.932997,15066.986361,15062.49846,15050.713062,15043.976777,15050.449528
LCMS_trees,MA,16392.370898,16424.479147,16451.647672,16465.020741,16527.892242,16593.897829,16623.767029,16642.763897,16652.451967,16696.676036,16728.922563,16755.886521,16765.867948,16771.798941,16773.316909,16773.776047,16773.610563,16776.417532,16750.032914,16753.103812,16751.432491,16763.940137,16779.914085,16791.527484,16802.059012,16803.030977,16811.353122,16813.293134,16807.819369,16789.653765,16765.25856,16708.246835,16687.014003,16663.077317,16657.082555,16645.662247,16651.767942,16599.009275
LCMS_trees_shrubs_mix,MA,16392.377198,16424.482747,16451.688172,16465.027041,16527.896742,16593.905029,16623.772429,16642.769297,16652.454667,16696.679636,16728.926163,16755.888321,16765.872448,16771.806141,16773.325009,16773.795847,16773.623163,16776.429232,16750.050014,16753.120912,16751.444191,16763.954537,16779.931185,16791.540984,16802.071612,16803.044477,16811.366622,16813.308434,16807.833769,16789.664565,16765.267559,16708.255835,16687.025703,16663.086317,16657.089755,16645.667647,16651.773342,16599.016475
MODIS_1_IGBP,MA,,,,,,,,,,,,,,,,,10893.533333,11241.159803,10962.046078,11130.555882,10896.336274,11129.613725,11051.162745,11119.932352,11231.35196,11126.886274,11184.139215,11290.166666,11171.664705,10937.35196,10471.140196,10295.656862,10229.754901,10458.005882,10484.954901,10379.311764,10896.403921,
MODIS_2_UMD,MA,,,,,,,,,,,,,,,,,10983.023529,11278.659803,10998.046078,11164.305882,10923.836274,11148.863725,11069.662745,11139.432352,11250.60196,11149.636274,11205.389215,11308.666666,11187.164705,10955.10196,10490.640196,10315.156862,10249.504901,10473.255882,10497.454901,10388.561764,10906.653921,
MODIS_3_LAI,MA,,,,,,,,,,,,,,,,,10983.023529,11278.659803,10998.046078,11164.305882,10923.836274,11148.863725,11069.662745,11139.432352,11250.60196,11149.636274,11205.389215,11308.666666,11187.164705,10955.10196,10490.640196,10315.156862,10249.504901,10473.255882,10497.454901,10388.561764,10906.653921,
MODIS_4_BGC,MA,,,,,,,,,,,,,,,,,17198.623529,17162.57647,17166.003921,17158.272549,17174.556862,17172.278431,17149.467647,17138.57745,17153.584313,17163.745098,17172.933333,17140.419607,17098.779411,17066.496078,17093.464705,17066.766666,17043.029411,17030.155882,17033.840196,17026.829411,17063.980392,
MODIS_5_PFT,MA,,,,,,,,,,,,,,,,,17196.123529,17160.07647,17164.503921,17156.772549,17174.556862,17171.028431,17148.467647,17137.57745,17153.084313,17163.745098,17172.933333,17140.169607,17098.529411,17065.746078,17093.214705,17066.016666,17041.529411,17028.905882,17032.840196,17024.579411,17061.480392,
NLCD_canopy_10,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,17313.593992,,,,,17226.274302,,,,,,
NLCD_canopy_20,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,16452.960525,,,,,16365.745235,,,,,,
NLCD_canopy_60,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,12798.170664,,,,,12620.193427,,,,,,
NLCD_canopy_80,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,8968.754135,,,,,8769.401996,,,,,,
NLCD_canopy_perc,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,9442.180819,,,,,9314.122125,,,,,,
NLCD_forest,MA,,,,,,,,,,,,,,,,,10981.834185,,,10907.575757,,10742.733324,,10702.132252,,,10618.685223,,10598.79618,,,10517.708128,,,10507.219118,,10519.160932,
NLCD_forest_woodywet,MA,,,,,,,,,,,,,,,,,13283.542334,,,13203.430302,,13002.56251,,12988.551981,,,12902.620281,,12902.325225,,,12814.275892,,,12802.73424,,12814.915062,
FIA_forest,MA,,,,,,,,,,,,,,,,,,,,,12834.2919453663,12363.0940464561,12280.2628351222,12219.397291207,12147.3774021876,12199.8398730418,12238.0840861825,12253.7402127013,12285.4271257362,12271.5958151901,12241.3950774838,12213.7104409444,12208.0584612915,12181.5217051086,12077.2353968456,,,
FIA_forest_upper,MA,,,,,,,,,,,,,,,,,,,,,13286.482373434439,12620.0937927246,12487.768332771348,12439.403762834945,12356.662491469648,12411.908578513385,12450.328014660376,12469.021608437879,12467.93950580275,12457.933815301314,12428.079860215783,12396.720414641257,12390.450502859487,12366.052470730454,12270.200391261542,,,
FIA_forest_lower,MA,,,,,,,,,,,,,,,,,,,,,12382.10151729816,12106.094300187602,12072.757337473051,11999.390819579055,11938.092312905552,11987.771167570214,12025.840157704624,12038.45881696472,12102.91474566965,12085.257815078885,12054.710294751816,12030.700467247543,12025.666419723515,11996.990939486746,11884.270402429656,,,
