dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15223.376972,14464.489372,14764.078508,14391.298531,14694.128793,14306.78038
DW_trees_gs_mode,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15791.942682,15528.15549,15540.979486,15477.912256,16246.172785,15454.629649
DW_trees_prob_10,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19527.095744,18959.137278,19071.138958,19314.093227,19388.881872,18751.714179
DW_trees_prob_25,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15442.430125,14630.505212,14953.361837,14995.595583,14993.539341,14578.862038
DW_trees_prob_50,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11554.121371,9347.365018,10841.68188,9744.346775,10075.669514,8373.745692
ESA_trees,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15054.04379,14892.201285,
ESRI_2020_trees,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11531.818083,,
ESRI_annual_trees,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11718.281805,11595.078349,11646.777698,11671.183657,11559.208374,11559.208374
Hansen_GFC,MD,,,,,,,,,,,,,,,,9754.639547,9719.192038,9686.467137,9668.314532,9642.192476,9609.038027,9572.487917,9543.533047,9521.336795,9501.175821,9480.500729,9465.23811,9443.936325,9429.270794,9412.134051,9390.939028,9366.064267,9336.014463,9315.614934,9293.255178,9268.223939,9248.20018,
LCMAP_trees,MD,8963.1699,8958.514492,8959.580717,8953.711937,8956.336662,8954.042629,8948.75965,8941.44913,8925.172348,8915.533609,8906.221584,8899.849034,8883.24792,8870.775899,8848.109258,8839.228394,8827.825461,8809.255612,8800.684729,8787.437788,8773.000171,8757.941978,8741.172257,8737.343855,8738.827927,8740.49814,8744.418543,8746.773112,8745.03643,8742.114727,8736.186338,8730.185668,8723.00353,8717.589554,8716.563921,8710.700188,8701.68721,
LCMAP_trees_woodywet,MD,10858.891351,10850.536016,10848.872474,10839.891818,10844.249181,10842.253256,10832.136621,10818.335572,10796.139232,10778.712921,10760.603509,10749.261261,10725.276511,10701.522547,10664.483625,10638.868037,10612.025396,10573.964714,10558.778336,10535.733776,10517.867664,10495.199975,10473.801815,10466.31505,10467.119985,10470.069049,10477.725797,10481.973007,10479.046291,10477.621669,10449.603105,10445.380658,10440.995939,10437.371361,10438.082068,10429.49971,10418.834011,
LCMS_all_trees_mixes,MD,13494.16039,13488.199849,13604.224069,13683.33439,13783.057344,13880.724772,13920.634401,14018.207685,14084.193716,14160.347392,14244.021141,14312.882234,14287.979029,14341.180238,14356.089667,14423.176422,14449.886537,14482.866744,14558.674937,14593.800472,14635.383187,14689.129111,14741.018696,14814.271934,14885.692969,14958.199482,15028.899056,15095.938175,15151.816097,15195.031051,15238.427707,15282.349344,15328.911419,15375.994337,15452.346024,15533.163501,15626.847991,15741.237405
LCMS_forest,MD,12566.919515,12620.061765,12571.71157,12579.516645,12603.311999,12634.416257,12611.092785,12655.578098,12668.319307,12691.63129,12725.318738,12745.688283,12705.912232,12727.220685,12709.781043,12730.737645,12729.577768,12732.414875,12765.544394,12753.163923,12762.361888,12787.411401,12818.07889,12853.83684,12889.27897,12931.48074,12975.401011,13025.030018,13064.792459,13094.040416,13136.845418,13179.655157,13233.414356,13286.62705,13360.915708,13435.044035,13525.695995,13749.847831
LCMS_trees,MD,12915.891335,12890.462152,12966.703143,13035.698664,13130.613515,13231.704292,13263.20875,13347.054388,13398.78781,13460.081978,13531.743141,13582.94839,13534.224868,13558.487572,13555.286174,13602.272403,13618.838671,13640.000749,13697.950457,13723.293917,13756.177507,13797.020061,13834.98738,13891.249411,13953.864197,14018.494305,14078.185715,14139.33151,14186.836154,14231.921181,14279.347623,14324.10139,14380.75543,14437.439777,14520.317064,14616.404569,14735.706024,14874.704167
LCMS_trees_shrubs_mix,MD,12917.669738,12891.359643,12966.758043,13035.745464,13130.643215,13231.728592,13263.23575,13347.074188,13398.80491,13460.090078,13531.752141,13582.95469,13534.232068,13558.493872,13555.294274,13602.279603,13618.847671,13640.009749,13697.955857,13723.298417,13756.182907,13797.027261,13834.99548,13891.255711,13953.874997,14018.504205,14078.191115,14139.33871,14186.846954,14231.931081,14279.355723,14324.10949,14380.76623,14437.447877,14520.324264,14616.416269,14735.715024,14874.712267
MODIS_1_IGBP,MD,,,,,,,,,,,,,,,,,5853.007843,5654.056862,5351.032352,5695.340196,5767.032352,6094.904901,5913.02647,6134.628431,6403.355882,5528.690196,5732.87745,5830.20196,6009.031372,5801.454901,5622.813725,5727.867647,5937.922549,6217.732352,6297.790196,6443.27745,6563.461764,
MODIS_2_UMD,MD,,,,,,,,,,,,,,,,,5939.745098,5689.863725,5379.399019,5717.712745,5791.980392,6118.538235,5937.361764,6159.797058,6433.031372,5557.890196,5762.161764,5859.994117,6040.472549,5826.209803,5644.544117,5753.230392,5967.902941,6251.907843,6330.264705,6472.430392,6594.928431,
MODIS_3_LAI,MD,,,,,,,,,,,,,,,,,5939.745098,5689.863725,5379.399019,5717.712745,5791.980392,6118.538235,5937.361764,6159.797058,6433.031372,5557.890196,5762.161764,5859.994117,6040.472549,5826.209803,5644.544117,5753.230392,5967.902941,6251.907843,6330.264705,6472.430392,6594.928431,
MODIS_4_BGC,MD,,,,,,,,,,,,,,,,,18256.309803,19179.096078,18424.718627,18863.234313,19007.113725,19280.979411,19468.709803,19436.995098,19320.274509,19180.160784,19325.887254,19358.521568,18980.90196,18719.511764,18768.449019,18819.452941,18700.886274,18920.382352,18816.855882,18999.343137,18857.60098,
MODIS_5_PFT,MD,,,,,,,,,,,,,,,,,18245.059803,19173.096078,18422.718627,18859.234313,19000.863725,19266.979411,19454.959803,19426.245098,19316.524509,19179.910784,19325.887254,19358.021568,18978.15196,18716.011764,18765.449019,18816.702941,18698.636274,18917.382352,18815.855882,18997.093137,18856.35098,
NLCD_canopy_10,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,14385.880761,,,,,14376.026604,,,,,,
NLCD_canopy_20,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,13400.981315,,,,,13391.320658,,,,,,
NLCD_canopy_60,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,10323.848576,,,,,10312.645203,,,,,,
NLCD_canopy_80,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,7312.224395,,,,,7219.56024,,,,,,
NLCD_canopy_perc,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,7721.035419,,,,,7675.81842,,,,,,
NLCD_forest,MD,,,,,,,,,,,,,,,,,8670.904154,,,8608.753718,,8546.525477,,8559.755071,,,8539.97364,,8557.418611,,,8555.624812,,,8545.94953,,8532.452382,
NLCD_forest_woodywet,MD,,,,,,,,,,,,,,,,,11337.460369,,,11246.869729,,11184.351458,,11245.533804,,,11246.228364,,11292.324003,,,11295.808701,,,11289.921381,,11279.544148,
FIA_forest,MD,,,,,,,,,,,,,,,,,,,,9718.6979515064,10722.2885079448,9865.4420384417,9925.69205403098,10087.2540763805,9930.69643655178,10043.764758184,9957.93513592886,9899.2446143623,9965.30222211172,9988.47121702084,9966.66479186922,9965.3507030867,9953.50046644677,9885.24659245563,9908.08221138214,,,
FIA_forest_upper,MD,,,,,,,,,,,,,,,,,,,,10589.95639362008,11365.487355588964,10191.202051702865,10180.48174655322,10321.747466547766,10271.881837673345,10264.789581363833,10186.165507694252,10132.092662373718,10172.968523259242,10194.578914878135,10177.889666322606,10178.017433258714,10158.60689131468,10099.718415667327,10130.84885270055,,,
FIA_forest_lower,MD,,,,,,,,,,,,,,,,,,,,8847.43950939272,10079.089660300637,9539.682025180537,9670.90236150874,9852.760686213232,9589.511035430214,9822.739935004165,9729.704764163467,9666.396566350882,9757.6359209642,9782.363519163546,9755.439917415833,9752.683972914687,9748.394041578862,9670.774769243935,9685.315570063729,,,
FIA_timberland,MD,,,,,,,,,,,,,,,,,,,,8254.27143020669,9617.18947040933,8750.66079913551,8955.16895419885,9155.29375770488,8854.93795401479,8934.26452619362,8838.64240810964,8773.6554319155,8841.65280804395,8804.27088068449,8784.48873946414,8786.68316370535,8803.38620028714,8707.7226216521,8778.56467205441,,,
