dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74992.371363,70923.181393,65151.396725,67890.817381,72299.651596,73040.18654
DW_trees_gs_mode,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76605.334327,76105.175052,76362.444664,75977.007597,76525.595994,74952.572264
DW_trees_prob_10,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78460.950965,78249.597162,78065.838178,77695.585562,78087.798722,78282.736574
DW_trees_prob_25,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75125.976561,73879.54907,72694.62397,71803.570212,73236.184371,74043.87274
DW_trees_prob_50,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53885.098469,36264.15459,33614.882079,32723.678734,36221.17108,45458.667927
ESA_trees,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72965.091081,71987.630031,
ESRI_2020_trees,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63639.89997,,
ESRI_annual_trees,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72492.998732,72938.925215,69506.69142,69951.065332,69837.748388,69837.748388
Hansen_GFC,ME,,,,,,,,,,,,,,,,60816.40964,60413.393833,59999.587993,59738.9583,59301.76677,58851.490703,58435.830923,58033.250977,57522.190046,57138.896757,56749.675924,56484.735725,56040.223076,55676.769795,55287.588807,54877.065667,54341.233734,53796.68049,53237.209072,52729.938137,52211.585589,51798.826766,
LCMAP_trees,ME,60273.554265,60222.053848,60051.802309,59877.944643,59746.801256,59633.309911,59488.338412,59425.714454,59390.329588,59325.05821,59283.580083,59269.891648,59272.257705,59282.282347,59232.375134,59229.90456,59211.786501,59212.962451,59223.896385,59220.094507,59224.735595,59210.965549,59250.601623,59271.314244,59311.952537,59312.867802,59327.232543,59334.501652,59262.778828,59111.779634,58942.998981,58746.174557,58684.329709,58548.935177,58544.750639,58386.796383,58211.068302,
