dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95721.714082,95441.30484,99243.37092,99128.044102,101462.770338,100521.641939
DW_trees_gs_mode,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94297.304207,101625.051689,102499.607209,101840.199239,104883.946179,102387.624184
DW_trees_prob_10,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115187.946722,112277.192631,115449.527726,116213.082825,117939.188311,116089.762757
DW_trees_prob_25,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96226.752764,94070.46727,98069.074565,98068.149892,98708.275511,99702.432826
DW_trees_prob_50,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60919.860931,43630.436638,58419.729227,60037.260352,50561.782015,73830.460813
ESA_trees,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93800.222781,94056.209925,
ESRI_2020_trees,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86068.03813,,
ESRI_annual_trees,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84368.136597,87047.509539,86450.711156,86500.667057,87312.966847,87312.966847
Hansen_GFC,MI,,,,,,,,,,,,,,,,71411.198305,71238.816596,71083.898309,70977.207967,70753.654794,70551.426888,70341.575843,70120.479802,69864.932642,69622.503776,69401.456574,69233.377332,68947.175462,68745.893145,68510.119447,68276.264504,68001.281541,67697.206978,67379.399529,67047.178171,66723.525853,66416.35,
LCMAP_trees,MI,56896.873919,56962.322449,57010.662511,57042.100238,57075.197721,57124.282718,57174.511884,57200.53639,57245.54449,57281.643172,57338.281051,57383.542351,57393.037775,57387.184224,57375.93319,57332.559875,57311.623443,57303.910662,57276.616044,57250.598756,57206.644556,57168.274207,57152.177011,57133.294341,57109.841594,57091.503719,57074.888798,57092.116598,57086.927255,57078.15187,57038.652218,56986.184918,56981.336283,56931.321847,56907.32347,56810.179132,56701.446268,
LCMAP_trees_woodywet,MI,74220.474172,74296.964622,74357.305044,74395.162976,74433.273458,74484.392523,74536.937389,74563.175417,74607.210003,74641.355685,74696.746041,74739.094941,74746.704402,74742.198592,74730.322034,74694.767449,74668.515751,74654.827782,74615.314792,74575.965042,74515.914342,74458.820022,74423.297061,74382.851714,74334.760902,74291.058067,74248.584187,74245.193887,74207.853628,74167.7829,74086.943205,73994.234805,73954.639408,73852.457248,73786.75639,73640.986958,73479.599364,
LCMS_all_trees_mixes,MI,87891.274563,88156.234881,88416.401495,88554.711127,88960.931163,89363.353447,89777.212905,90044.624827,90337.073668,90571.813831,90812.703568,91015.627884,91111.039898,91196.677747,91363.266727,91550.056676,91714.797303,91973.503351,92076.765734,92195.656542,92237.411258,92373.85681,92525.116694,92639.626641,92689.979858,92777.983284,92882.64745,92931.555014,92919.279885,92797.569176,92717.609431,92496.954758,92466.44827,92327.695199,92344.802805,92321.357399,92491.342602,92759.950965
LCMS_forest,MI,89893.323169,90207.219204,89982.609501,89908.454548,90169.643297,90373.446864,90611.637045,90709.968811,90815.205052,90843.833431,90895.362861,90984.711052,91000.417132,91045.036383,91141.494984,91206.655418,91288.995017,91452.767604,91431.781351,91421.717078,91370.918516,91439.759378,91550.614291,91628.023443,91620.689015,91689.633285,91818.052556,91905.588187,91962.995392,91922.896221,91916.614609,91923.015903,92001.892263,92071.607308,92150.957216,92092.621337,92309.531283,92961.938544
LCMS_trees,MI,86403.078896,86591.531654,86789.13877,86862.567038,87163.061763,87511.453496,87866.988367,88094.927198,88322.97181,88497.605082,88694.698824,88841.056323,88889.836782,88919.188623,89026.055707,89163.668954,89262.223969,89455.741432,89514.380752,89581.396962,89590.352879,89699.359468,89821.419102,89914.385294,89957.061451,90024.229725,90118.403255,90164.83944,90141.243582,90045.862362,90007.553255,89849.923905,89849.006922,89753.4192,89787.563177,89826.857424,90056.905365,90391.806243
LCMS_trees_shrubs_mix,MI,86404.159796,86591.967254,86789.27377,86862.694838,87163.197663,87511.569596,87867.107167,88095.050498,88323.10861,88497.755382,88694.893224,88841.644923,88890.392982,88919.368623,89026.231207,89163.835454,89262.380569,89455.887232,89514.520252,89581.562562,89590.52478,89699.539468,89821.633302,89914.585994,89957.259451,90024.398025,90118.567055,90165.032939,90141.493782,90046.153962,90007.759355,89850.107505,89849.226522,89753.674799,89787.803477,89827.079724,90057.124065,90392.057343
MODIS_1_IGBP,MI,,,,,,,,,,,,,,,,,52631.286274,54916.582352,50515.962745,48977.810784,49150.889215,49106.891176,47363.402941,46856.948039,48303.605882,49014.886274,50144.057843,50447.096078,49665.747058,49455.560784,50751.356862,51852.066666,52262.243137,51372.646078,49682.572549,49150.417647,49369.511764,
MODIS_2_UMD,MI,,,,,,,,,,,,,,,,,53279.960784,55261.098039,50820.710784,49258.058823,49430.65196,49382.305882,47635.065686,47130.623529,48596.418627,49291.561764,50425.870588,50747.356862,49961.247058,49745.310784,51037.061764,52137.481372,52594.407843,51718.071568,50023.583333,49470.718627,49673.346078,
MODIS_3_LAI,MI,,,,,,,,,,,,,,,,,53279.960784,55261.098039,50820.710784,49258.058823,49430.65196,49382.305882,47635.065686,47130.623529,48596.418627,49291.561764,50425.870588,50747.356862,49961.247058,49745.310784,51037.061764,52137.481372,52594.407843,51718.071568,50023.583333,49470.718627,49673.346078,
MODIS_4_BGC,MI,,,,,,,,,,,,,,,,,114253.547058,110736.25098,108371.029411,108457.860784,109357.002941,108933.712745,107517.181372,105988.673529,106658.417647,108484.815686,109504.581372,109139.737254,105178.853921,105096.943137,107011.328431,106286.629411,106452.653921,105194.37549,104584.896078,105240.17549,106908.749019,
MODIS_5_PFT,MI,,,,,,,,,,,,,,,,,114251.797058,110735.00098,108371.029411,108457.860784,109357.002941,108933.712745,107517.181372,105988.673529,106658.417647,108484.815686,109504.581372,109139.737254,105178.853921,105096.693137,107011.328431,106286.379411,106452.653921,105194.37549,104584.896078,105240.17549,106908.749019,
NLCD_canopy_10,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,94640.977817,,,,,94707.322238,,,,,,
NLCD_canopy_20,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,90317.015195,,,,,90395.833951,,,,,,
NLCD_canopy_60,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,72836.379663,,,,,72441.32928,,,,,,
