dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93746.529742,83932.015868,79075.322958,86526.51957,91306.947557,86525.621721
DW_trees_gs_mode,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102423.944149,100097.931558,100077.838818,98849.840159,95214.022348,101300.190778
DW_trees_prob_10,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128220.156741,116772.939041,114832.443947,113060.463846,117693.569159,114569.082696
DW_trees_prob_25,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88862.696317,82795.548914,80677.244299,83320.384996,86431.81724,86382.12673
DW_trees_prob_50,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38355.276153,14563.7898,12077.498783,17116.437973,36443.429881,15055.180698
ESA_trees,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83292.736931,83144.381554,
ESRI_2020_trees,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70534.273953,,
ESRI_annual_trees,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72329.874845,73279.450336,71320.016363,73254.871963,76048.125886,76048.125886
Hansen_GFC,MN,,,,,,,,,,,,,,,,60611.173465,60351.725219,60149.781216,60008.022163,59745.586633,59490.95239,59207.14276,58875.041814,58551.210471,58341.545625,58093.690241,57810.108937,57310.64593,57102.629604,56832.557156,56540.053639,56232.543882,55892.000334,55574.837775,55252.916003,54982.758668,54675.610641,
LCMAP_trees,MN,47136.340132,47168.516985,47179.757403,47129.189834,47087.094247,47047.967975,47023.99434,46968.801448,46928.078597,46894.801782,46864.204881,46845.41677,46801.789464,46776.904574,46739.757543,46640.926118,46602.752901,46544.381883,46507.583565,46482.671396,46490.091112,46461.5166,46431.593689,46431.886912,46433.970296,46414.798849,46442.485574,46391.642068,46391.05597,46378.986412,46352.379017,46371.628648,46388.904804,46419.914442,46425.818181,46468.728137,46448.16366,
LCMAP_trees_woodywet,MN,68945.315237,68990.686528,69006.332795,68937.743008,68861.782235,68804.831777,68770.265216,68697.234201,68634.404251,68575.593624,68523.451623,68487.03811,68431.289004,68401.180535,68352.648787,68234.595935,68170.983769,68084.863048,67955.908782,67912.982731,67908.511175,67862.498851,67801.151555,67780.43725,67773.237585,67736.015572,67734.509587,67628.311231,67602.107378,67566.625087,67521.384158,67516.926889,67502.960936,67494.337408,67467.456042,67496.549198,67450.384263,
LCMS_all_trees_mixes,MN,80108.579329,80575.759171,80797.488031,80975.674722,81448.526897,81861.32029,82259.915262,82265.481504,82532.488037,82754.20956,83006.775628,83158.18122,83290.484749,83386.023617,83479.472551,83583.562912,83611.859989,83773.85874,83880.794375,83870.74686,83927.752528,83980.058371,84120.167558,84177.099127,84119.774777,84225.126409,84395.145144,84262.19226,84110.084636,83974.546379,83995.442537,83975.723205,83943.20995,83920.165351,83881.453651,83940.631161,83945.742416,84614.573714
LCMS_forest,MN,85286.483731,85384.226728,85055.841723,85018.747732,85421.242175,85654.453789,85783.364272,85597.67323,85677.862595,85746.050325,85902.056011,86020.024168,86057.350704,86084.963205,86120.202529,86154.473689,86259.127327,86356.552634,86330.705696,86165.067917,86187.539728,86277.938894,86458.240676,86515.330665,86373.257332,86389.508195,86629.901707,86707.951443,86764.292438,86700.38455,86684.134969,86731.917268,86814.627328,87009.64759,87059.853243,87094.108235,87372.784821,89226.20497
LCMS_trees,MN,79306.849429,79738.264789,79934.375848,80096.18485,80545.108185,80936.416979,81298.45429,81284.123562,81541.757947,81758.031045,81997.10689,82130.148857,82245.842022,82318.937089,82391.79367,82487.04756,82481.41465,82625.459516,82716.072698,82688.289434,82733.550956,82774.726217,82891.711521,82930.342584,82863.195709,82992.277824,83168.069481,83032.411147,82863.01975,82744.899257,82780.319484,82779.594532,82780.725737,82759.208604,82740.033254,82843.907897,82910.023305,83579.731658
LCMS_trees_shrubs_mix,MN,79312.492429,79744.637689,79941.105148,80102.82685,80551.076085,80942.00418,81303.60859,81288.732462,81546.036547,81762.317745,82001.41519,82134.494957,82249.990122,82322.929489,82395.75277,82491.02286,82485.38095,82629.364616,82720.002098,82692.260234,82737.580256,82778.774417,82895.754321,82934.518584,82867.612909,82996.890324,83172.818781,83037.404347,82868.11645,82749.824957,82784.927484,82783.957732,82785.079937,82763.534904,82744.241654,82847.825597,82913.530605,83582.814158
MODIS_1_IGBP,MN,,,,,,,,,,,,,,,,,37061.019607,37545.271568,33143.766666,34129.587254,34749.003921,34039.872549,33226.35,35520.532352,37512.938235,37378.286274,40825.062745,39872.109803,38839.406862,39128.564705,40558.75,40640.32549,42458.490196,41382.135294,39556.15,38551.342156,36602.389215,
MODIS_2_UMD,MN,,,,,,,,,,,,,,,,,37314.236274,37612.128431,33191.55098,34168.142156,34787.134313,34084.067647,33267.730392,35553.352941,37554.774509,37415.870588,40866.132352,39910.973529,38866.283333,39154.1,40581.809803,40664.742156,42487.696078,41409.758823,39581.655882,38571.735294,36619.893137,
MODIS_3_LAI,MN,,,,,,,,,,,,,,,,,37314.236274,37612.128431,33191.55098,34168.142156,34787.134313,34084.067647,33267.730392,35553.352941,37554.774509,37415.870588,40866.132352,39910.973529,38866.283333,39154.1,40581.809803,40664.742156,42487.696078,41409.758823,39581.655882,38571.735294,36619.893137,
MODIS_4_BGC,MN,,,,,,,,,,,,,,,,,106554.77549,101773.931372,96644.731372,96434.440196,100623.134313,100904.191176,101792.440196,102212.464705,103382.522549,105435.685294,105675.658823,101485.982352,99923.085294,103047.828431,101787.47745,101765.245098,101017.810784,101218.918627,101391.899019,100158.513725,99252.340196,
MODIS_5_PFT,MN,,,,,,,,,,,,,,,,,106554.27549,101773.931372,96644.731372,96434.440196,100623.134313,100904.191176,101792.440196,102212.464705,103382.522549,105435.685294,105675.658823,101485.982352,99923.085294,103047.828431,101787.47745,101765.245098,101017.810784,101218.918627,101391.899019,100158.513725,99252.340196,
NLCD_canopy_10,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,75416.120668,,,,,75937.469682,,,,,,
NLCD_canopy_20,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,69135.881887,,,,,69680.881577,,,,,,
NLCD_canopy_60,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,40087.354655,,,,,39532.336828,,,,,,
NLCD_canopy_80,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,577.240231,,,,,505.929123,,,,,,
NLCD_canopy_perc,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,25422.596265,,,,,25320.971463,,,,,,
NLCD_forest,MN,,,,,,,,,,,,,,,,,40274.139324,,,39723.392703,,39293.85337,,39457.972711,,,39340.749455,,39282.355432,,,38909.530192,,,39978.740629,,40295.459227,
NLCD_forest_woodywet,MN,,,,,,,,,,,,,,,,,73706.204996,,,71466.012836,,70910.275623,,72315.487122,,,72437.238225,,73215.859288,,,73126.769781,,,74321.308658,,74564.375325,
FIA_forest,MN,,,,,,,,,,,,,,,,,,,65681.8576935288,65535.7360432046,65963.6418070186,66330.9842602461,67675.3351073457,68754.8089032936,69537.814085033,69974.1082193349,70295.5437658854,70550.5385238639,70327.7375303241,70728.2475562268,70466.0640963805,71191.3287982506,71228.4705875004,71311.3620789568,71530.0567174265,,,
FIA_forest_upper,MN,,,,,,,,,,,,,,,,,,,66089.67605041861,65928.49869564096,66354.52361395552,66707.01442928101,68046.11559842608,69122.7305799901,69903.1409944155,70339.03762267441,70660.68035267285,70915.54593019764,70692.64028021938,71100.88775624723,70837.04459710365,71563.16075935234,71601.11905964527,71685.47821241622,71866.48525083864,,,
FIA_forest_lower,MN,,,,,,,,,,,,,,,,,,,65274.03933663899,65142.97339076824,65572.76000008169,65954.95409121118,67304.55461626532,68386.8872265971,69172.48717565049,69609.17881599539,69930.40717909797,70185.53111753016,69962.83478042882,70355.60735620635,70095.08359565736,70819.49683714886,70855.82211535554,70937.24594549737,71193.62818401436,,,
FIA_timberland,MN,,,,,,,,,,,,,,,,,,,58526.044593328,58521.4936468667,59191.4360546589,59585.5918974774,60705.8657943898,61646.3551230556,62459.6479592424,62805.5205045124,63123.5958114659,63343.0614983983,63124.7820639897,63489.2372625412,63413.9467335514,63868.8442798701,63874.1197351588,63882.7129154,63899.4733163428,,,
FIA_timberland_upper,MN,,,,,,,,,,,,,,,,,,,58952.45637415263,58931.43728002292,59604.72181824395,59983.07955134681,61101.127142159974,62036.23900905202,62848.89011840917,63196.17984296569,63515.84623810085,63735.30217338921,63517.34073039509,63883.41638225966,63805.95284880843,64264.033657268075,64269.924686265964,64278.7165476436,64261.4519442213,,,
FIA_timberland_lower,MN,,,,,,,,,,,,,,,,,,,58099.63281250337,58111.55001371048,58778.150291073856,59188.104243607995,60310.604446619625,61256.47123705917,62070.405800075634,62414.86116605911,62731.34538483095,62950.8208234074,62732.22339758432,63095.058142822745,63021.940618294364,63473.654902472124,63478.31478405163,63486.7092831564,63537.49468846431,,,
EPA_forested,MN,,,,,,68069.5,68178.2,68286.8,68397.5,68508.2,68618.90000000001,68729.6,68840.3,68953.0,69065.6,69178.2,69290.8,69403.5,69517.70000000001,69632.0,69746.2,69860.5,69974.79999999999,70089.9,70205.1,70320.3,70435.4,70550.6,70664.6,70778.5,70892.5,71006.5,71120.4,71240.3,71360.20000000001,,,
