dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85095.941249,81600.347032,87291.988181,83623.585958,86428.582885,85532.814033
DW_trees_gs_mode,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93721.033027,87148.00277,96303.016431,95244.004894,94164.373905,90660.207391
DW_trees_prob_10,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114659.589884,108149.910118,118339.875638,116744.81728,116379.697042,109108.687598
DW_trees_prob_25,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84534.855961,80484.843821,85623.611036,84385.500476,85279.754368,83085.407851
DW_trees_prob_50,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54665.230438,39305.152284,51501.052659,45436.1089,38148.634387,45675.751309
ESA_trees,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80077.745719,82194.858025,
ESRI_2020_trees,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70817.404458,,
ESRI_annual_trees,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70748.856762,72598.130616,71897.293986,71407.77002,71495.841157,71495.841157
Hansen_GFC,MO,,,,,,,,,,,,,,,,55544.036003,55395.55098,55274.223018,55171.916637,55024.722923,54888.671922,54720.360532,54447.099718,54272.466126,54002.555032,53882.400059,53767.498347,53609.840304,53509.446672,53401.995588,53323.837879,53202.539602,53024.766827,52902.811795,52803.766997,52695.92208,52609.495955,
LCMAP_trees,MO,68822.920256,68901.834868,68963.493536,69053.699742,69132.801998,69177.618419,69197.252234,69197.407016,69220.539109,69206.365185,69194.597435,69158.618954,69147.126109,69133.100036,69068.20483,68965.420612,68905.61155,68863.069549,68821.054662,68772.367327,68652.996719,68512.654619,68401.097431,68342.376518,68313.683784,68278.212257,68195.188507,68097.308647,68044.61365,68005.18519,67979.384872,67902.454337,67797.146502,67699.852602,67679.817525,67633.782938,67566.829256,
LCMAP_trees_woodywet,MO,70576.404847,70659.341442,70723.986451,70819.147143,70911.975981,70959.430051,70982.285128,70985.405724,71017.030041,71009.547624,71000.878108,70966.874615,70957.352385,70945.367579,70882.393464,70787.191743,70729.954556,70690.3557,70649.902923,70601.599962,70480.837002,70338.570709,70225.617716,70164.763132,70135.190272,70097.973261,70010.66209,69910.278628,69854.808783,69813.333271,69786.296205,69706.050896,69594.17221,69490.470165,69467.414262,69419.066728,69349.05336,
LCMS_all_trees_mixes,MO,78927.687451,79377.768705,79889.951043,80171.74794,80726.856501,81286.540736,81619.928428,82140.348232,82668.598641,82999.088131,83390.857859,83612.696618,83879.544638,84145.438729,84050.603936,83975.993459,84229.611532,84470.361995,84655.388227,84991.495362,85211.339325,85403.880451,85602.016983,85964.840594,86268.648914,86468.239888,86490.575449,86046.789359,86241.156974,86470.719338,86772.101452,86833.025622,86588.532229,86302.466622,86635.023384,86924.726816,87306.201081,87971.698245
LCMS_forest,MO,78874.575967,78833.266803,78882.254862,78788.037063,79189.734007,79438.21501,79373.704662,79715.941235,80093.40901,80166.138741,80398.512042,80387.908807,80444.109822,80521.549394,80258.044951,80056.547445,80087.363241,80152.244812,80197.731741,80380.392945,80429.413365,80520.244164,80620.827864,80885.631296,81062.659884,81225.301658,81217.606545,80876.771632,80992.300856,80978.881051,81227.205448,81416.687724,81413.840791,81511.858641,82061.84467,82535.940109,83209.714267,85424.264731
LCMS_trees,MO,74996.850049,75292.085834,75680.206358,75897.199094,76355.881358,76829.924495,77098.12987,77533.866571,78010.495955,78276.065068,78584.24431,78699.960575,78831.592944,78956.052575,78748.491144,78601.387884,78691.3656,78786.186843,78862.604929,79016.816061,79066.308384,79095.538104,79137.723042,79308.327995,79458.689495,79530.182707,79386.721637,78700.983052,78378.742298,78362.737118,78450.833152,78431.730398,78304.400018,78087.632735,78248.460956,78584.915128,79076.518274,80102.914577
LCMS_trees_shrubs_mix,MO,74996.919349,75292.095734,75680.212658,75897.208994,76355.884958,76829.933495,77098.13527,77533.872871,78010.503155,78276.068668,78584.25241,78699.965075,78831.599244,78956.057975,78748.495644,78601.394184,78691.371,78786.190443,78862.610329,79016.817861,79066.311984,79095.542604,79137.726642,79308.333395,79458.698495,79530.191707,79386.732437,78700.990252,78378.751298,78362.749718,78450.843952,78431.740298,78304.415318,78087.651635,78248.469956,78584.925928,79076.535374,80102.949677
MODIS_1_IGBP,MO,,,,,,,,,,,,,,,,,32461.099019,35373.008823,35292.391176,36783.752941,37909.909803,35250.690196,33881.162745,37024.872549,39836.663725,38231.738235,34899.17647,30776.872549,31970.787254,31442.419607,32395.899019,34219.658823,33646.90196,34083.721568,36494.372549,35285.787254,33746.95098,
MODIS_2_UMD,MO,,,,,,,,,,,,,,,,,32465.099019,35373.258823,35292.391176,36783.752941,37909.909803,35250.690196,33881.162745,37024.872549,39836.663725,38231.738235,34899.17647,30776.872549,31971.287254,31442.419607,32396.149019,34219.658823,33646.90196,34083.721568,36494.622549,35285.787254,33746.95098,
MODIS_3_LAI,MO,,,,,,,,,,,,,,,,,32465.099019,35373.258823,35292.391176,36783.752941,37909.909803,35250.690196,33881.162745,37024.872549,39836.663725,38231.738235,34899.17647,30776.872549,31971.287254,31442.419607,32396.149019,34219.658823,33646.90196,34083.721568,36494.622549,35285.787254,33746.95098,
MODIS_4_BGC,MO,,,,,,,,,,,,,,,,,114841.037254,108458.47745,105227.592156,108980.593137,106450.283333,103165.795098,105808.393137,109708.654901,111526.642156,112226.962745,110133.048039,107205.491176,107453.148039,106891.171568,108212.419607,111787.735294,113232.993137,112372.436274,113262.321568,113380.079411,114103.571568,
MODIS_5_PFT,MO,,,,,,,,,,,,,,,,,114841.037254,108458.47745,105227.592156,108980.343137,106450.283333,103165.795098,105808.393137,109708.404901,111526.642156,112226.962745,110133.048039,107205.491176,107453.148039,106891.171568,108212.419607,111787.735294,113232.993137,112372.436274,113262.321568,113380.079411,114103.571568,
NLCD_canopy_10,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,78342.238729,,,,,78284.342632,,,,,,
NLCD_canopy_20,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,71734.267016,,,,,71732.32951,,,,,,
NLCD_canopy_60,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,49796.47878,,,,,49509.286161,,,,,,
NLCD_canopy_80,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,9941.297872,,,,,9850.98577,,,,,,
NLCD_canopy_perc,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,32466.374022,,,,,32339.125277,,,,,,
NLCD_forest,MO,,,,,,,,,,,,,,,,,67088.448194,,,66741.441374,,66365.987714,,66472.653564,,,66277.948941,,66520.371674,,,66590.957145,,,66419.399721,,66404.117029,
NLCD_forest_woodywet,MO,,,,,,,,,,,,,,,,,70424.088928,,,70070.137104,,69706.134091,,69779.582781,,,69598.758194,,69861.092251,,,69922.224942,,,69718.726905,,69699.767452,
FIA_forest,MO,,,,,,,,,,,,,,,,,,,58981.9650511432,59321.1750375363,59265.1496692512,61013.6838571785,61883.765583854,62303.2942699788,62501.7453924528,62694.0510563584,62612.9595506699,62664.2770983586,62533.9262029367,62626.6190937451,62356.9999093456,62047.1690998577,62104.1624509255,62144.3870502445,61873.3251549751,,,
FIA_forest_upper,MO,,,,,,,,,,,,,,,,,,,59471.64350793916,59806.80849527121,59759.72067663982,61435.6015407604,62335.147792923715,62786.812470647455,62942.840569433625,63137.20964253605,63057.25536771819,63107.47810672749,62982.10881366309,63052.800754321426,62778.65787088751,62465.117415756395,62523.92165889569,62570.18040131968,62315.48831425613,,,
FIA_forest_lower,MO,,,,,,,,,,,,,,,,,,,58492.286594347235,58835.541579801386,58770.57866186258,60591.766173596596,61432.38337478429,61819.77606931014,62060.65021547198,62250.892470180755,62168.6637336216,62221.076089989714,62085.74359221031,62200.43743316878,61935.34194780369,61629.22078395901,61684.403242955304,61718.593699169316,61431.16199569407,,,
FIA_timberland,MO,,,,,,,,,,,,,,,,,,,56663.6146687345,57031.5177801956,57201.232267282,59025.1945990321,59887.7169283417,60323.7449655371,60363.3083067294,60620.1340364441,60420.6548682906,60479.4697345725,60295.6783943359,60321.3021724246,60052.1414175558,59763.6215144547,59871.1777283484,59867.3764007301,59607.9180177957,,,
FIA_timberland_upper,MO,,,,,,,,,,,,,,,,,,,57179.451391439725,57542.08633886633,57719.27252846214,59474.99747173659,60368.26870259588,60830.631631456876,60836.172282170315,61093.25952695183,60895.646871678226,60953.11268118637,60774.805262657086,60782.24771155017,60509.47368926186,60217.412671480706,60325.48745035732,60326.75885348814,60083.72079953784,,,
FIA_timberland_lower,MO,,,,,,,,,,,,,,,,,,,56147.77794602928,56520.949221524876,56683.19200610186,58575.3917263276,59407.165154087525,59816.85829961733,59890.44433128848,60147.00854593637,59945.66286490297,60005.82678795863,59816.55152601471,59860.35663329903,59594.809145849744,59309.8303574287,59416.86800633947,59407.993947972056,59132.11523605356,,,
EPA_forested,MO,,,,,,61965.600000000006,61956.5,61947.399999999994,61938.2,61927.9,61917.600000000006,61907.299999999996,61897.0,61886.7,61876.4,61862.0,61847.600000000006,61833.2,61818.7,61804.3,61789.6,61774.899999999994,61760.299999999996,61745.600000000006,61730.9,61716.2,61697.9,61679.6,61661.4,61643.100000000006,61624.799999999996,61606.5,61590.7,61574.799999999996,61558.9,,,
NRI_total,MO,,,48041.27883447996,,,,,49024.68636179684,,,,,50295.42695265075,,,,,50550.3844597329,,,,,50497.774180493725,,,,,50849.85835694051,,,,,51501.4164305949,,,,,
NRI_grazed,MO,,,13213.273978146499,,,,,13581.54593282072,,,,,14014.569000404694,,,,,13630.109267503034,,,,,13953.8648320518,,,,,14127.883447996763,,,,,14540.671792796438,,,,,
NRI_notgrazed,MO,,,34828.004856333464,,,,,35443.14042897612,,,,,36280.85795224605,,,,,36920.27519222986,,,,,36543.90934844193,,,,,36721.97490894375,,,,,36960.74463779846,,,,,
