dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89287.481649,88736.12998,89844.20661,90627.635269,91182.517914,89461.766521
DW_trees_gs_mode,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76580.964373,90284.232557,93794.247452,92002.398772,95272.560029,92097.653169
DW_trees_prob_10,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100692.022524,100333.982722,102059.002949,101527.708089,102636.373276,99627.844818
DW_trees_prob_25,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89962.60297,89319.881832,90595.254232,91093.338334,91441.470564,90027.774614
DW_trees_prob_50,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74338.568096,73473.30501,77834.093193,78798.758077,76917.315335,75722.214394
ESA_trees,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89626.710699,88299.484056,
ESRI_2020_trees,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81311.779065,,
ESRI_annual_trees,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81869.139571,81042.318118,81919.242665,82566.604871,81308.986385,81308.986385
Hansen_GFC,MS,,,,,,,,,,,,,,,,65962.487391,64753.460154,63778.228531,62855.654424,61703.800394,60245.725871,59141.084325,57967.330479,56723.772514,55864.224275,54702.804599,53708.286115,52567.383403,51624.452218,50608.651746,49669.99803,48581.018434,47397.937301,46413.950557,45514.870546,44720.10991,44071.551918,
LCMAP_trees,MS,53695.46125,54410.912025,54991.294454,55568.161457,56334.901034,56568.773435,56983.019911,57152.879064,57200.778942,57092.578761,56911.930443,56420.005535,55818.000028,54899.955261,54221.061158,53546.011821,53491.758564,53879.20441,54241.772989,54474.094214,54418.668148,53505.092234,53748.90924,53948.726908,54397.0173,54354.757616,54140.098087,54235.242801,54267.038438,54235.37743,54114.944565,53958.384656,54171.333211,54453.438737,55005.127704,55391.995496,55612.11841,
LCMAP_trees_woodywet,MS,64797.999211,65556.697884,66163.300881,66764.631441,67566.313305,67796.030534,68213.517148,68392.071949,68434.370788,68313.881943,68115.697171,67586.882078,66945.523436,65966.246551,65228.628314,64523.36119,64449.808824,64820.718554,65167.739022,65349.533114,65235.308114,63852.485696,63999.999727,64083.112298,64455.073277,64344.746431,63995.20986,64028.396685,63999.266008,63890.656902,63684.488445,63445.314822,63586.491356,63820.930334,64312.742195,64646.606251,64825.254832,
LCMS_all_trees_mixes,MS,81163.969577,82341.961969,83065.25959,83725.950889,84583.151265,85143.349129,85779.475835,86263.715887,86714.629644,87090.735847,87373.009891,87508.459249,87612.14587,87471.267321,87343.556809,87382.60938,87981.604842,88536.812234,88985.645131,89186.64042,89301.414031,88947.694997,89228.107595,89521.400318,89815.971119,90096.332968,90239.616596,90440.040261,90532.30368,90537.974071,90443.480922,90368.696064,90392.58061,90374.542316,90501.898238,90703.887511,90865.184975,90656.172511
LCMS_forest,MS,83006.042541,84790.353204,85346.026207,85791.265771,86441.889885,86646.760341,87104.792361,87373.926663,87714.414356,88049.205631,88331.227757,88479.390416,88750.96206,88739.921227,88876.691654,89005.016001,89406.169722,89690.846223,90004.68307,90170.610105,90324.18223,90129.934238,90384.298852,90505.78615,90651.961856,90875.21707,90863.220635,90945.203392,91006.690365,91045.672461,91057.448227,91034.045047,91106.686634,91270.619657,91481.409854,91713.892761,91991.074387,92528.216954
LCMS_trees,MS,77940.720638,78971.330431,79541.163878,80086.571714,80812.910347,81379.443843,82025.35993,82544.349529,83013.152989,83357.920217,83604.190874,83631.935812,83659.726542,83377.863751,83141.496398,83056.931738,83489.772434,84081.086883,84624.584057,84902.412024,84999.732723,84571.838936,84719.44603,84986.212955,85278.706965,85540.873238,85640.610638,85801.969845,85812.21817,85813.897097,85724.895374,85581.227159,85715.501428,85876.687934,86110.080148,86473.099754,86846.917747,86886.699137
LCMS_trees_shrubs_mix,MS,77940.740438,78971.343031,79541.174678,80086.588814,80812.926547,81379.458243,82025.37793,82544.370229,83013.171889,83357.938217,83604.218774,83631.956512,83659.749042,83377.889851,83141.526098,83056.953338,83489.794034,84081.119283,84624.608357,84902.433624,84999.755223,84571.861436,84719.46673,84986.236355,85278.728565,85540.898438,85640.638538,85801.991445,85812.24157,85813.929497,85724.931374,85581.260459,85715.532928,85876.730234,86110.123348,86473.159154,86846.981647,86886.770237
MODIS_1_IGBP,MS,,,,,,,,,,,,,,,,,37189.530392,39992.316666,39933.321568,42315.628431,41114.797058,36524.964705,36011.820588,38256.244117,40791.687254,39682.110784,38996.908823,39694.992156,43582.702941,43875.234313,42494.082352,42495.929411,45293.452941,47570.774509,46679.909803,46553.490196,47876.955882,
MODIS_2_UMD,MS,,,,,,,,,,,,,,,,,37222.434313,40005.137254,39943.672549,42326.736274,41122.766666,36531.714705,36017.137254,38262.244117,40798.687254,39690.010784,39004.27549,39702.808823,43590.519607,43881.984313,42500.582352,42503.429411,45301.952941,47580.024509,46690.743137,46562.556862,47885.772549,
MODIS_3_LAI,MS,,,,,,,,,,,,,,,,,37222.434313,40005.137254,39943.672549,42326.736274,41122.766666,36531.714705,36017.137254,38262.244117,40798.687254,39690.010784,39004.27549,39702.808823,43590.519607,43881.984313,42500.582352,42503.429411,45301.952941,47580.024509,46690.743137,46562.556862,47885.772549,
