dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88942.82397,89025.086797,85113.66872,87395.011645,86954.119819,88692.860658
DW_trees_gs_mode,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91961.441484,93423.86901,92277.233199,90877.618086,88698.12894,88765.133863
DW_trees_prob_10,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134006.367917,148998.618262,146212.82558,131875.376518,125464.907525,132120.610121
DW_trees_prob_25,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88878.569989,86601.767096,82841.402596,85695.166946,86436.371869,89147.782766
DW_trees_prob_50,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51079.833111,45632.89256,39474.722644,43829.337598,48272.2601,55024.549332
ESA_trees,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83039.371487,86778.079523,
ESRI_2020_trees,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72779.032761,,
ESRI_annual_trees,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69365.977723,69561.143398,70342.399951,68936.156491,69708.11631,69708.11631
Hansen_GFC,MT,,,,,,,,,,,,,,,,51534.298917,50800.20839,50401.514344,49955.971853,48551.669158,48185.160301,47822.776957,46945.917595,46134.170402,45951.441507,45710.320384,45545.544738,45244.481344,45054.622629,44902.301028,44605.271661,44230.378938,43483.129089,42724.757204,42554.543375,42406.52212,41972.460858,
LCMAP_trees,MT,85774.122494,85816.556622,85753.076078,85515.075945,85030.005903,85093.476455,85090.627605,85055.255544,85185.065544,85265.861495,85343.762054,85398.916118,85482.285247,85538.72623,85543.180309,85456.877742,84804.555409,84710.578379,84690.319902,84114.544796,84178.842532,84140.266118,83804.477078,83090.252728,83147.013112,83257.181128,83480.267449,83458.733883,83307.622665,83505.474377,83572.197098,83371.616721,83527.344222,83247.81061,83488.55749,83434.452917,83767.644215,
LCMAP_trees_woodywet,MT,86391.684501,86431.549704,86364.008558,86121.907312,85634.518394,85697.177269,85693.664918,85656.502228,85785.674915,85865.465565,85942.860324,85996.339489,86078.365817,86133.233601,86137.00998,86050.247032,85399.0524,85305.471825,85285.173748,84709.228542,84773.938478,84734.938443,84397.354803,83682.329897,83738.842782,83849.233997,84072.953509,84049.734257,83897.703024,84094.906708,84160.472435,83959.121788,84113.992115,83834.975594,84075.765723,84020.777749,84362.367416,
LCMS_all_trees_mixes,MT,106093.280308,107393.533969,108368.580275,108490.407109,109033.002592,110038.131984,110574.083202,111021.378367,111575.892416,111683.948262,112089.615832,112011.319708,112037.655889,111867.804871,111637.264023,110857.825496,109769.504562,109910.41501,109899.430397,109776.730531,110405.062856,110434.269889,110390.634338,110117.536863,110743.637865,111250.345125,111724.715865,111490.787481,111711.158438,112126.275776,112137.788954,111836.327654,111458.53134,110867.004818,111699.325365,111508.112343,110770.827801,111459.37668
