dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90763.589513,90307.977346,90553.035556,90569.56121,88990.998707,87845.333856
DW_trees_gs_mode,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95586.134099,94067.670454,92502.173516,93607.507825,95008.795507,93341.018583
DW_trees_prob_10,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107259.358079,106199.174433,104801.876807,107396.147021,105642.524245,103863.289171
DW_trees_prob_25,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92290.674334,91173.368006,91425.362587,92579.395445,91321.248158,89900.42615
DW_trees_prob_50,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67084.92557,69220.516143,74399.362867,71805.592167,68931.278941,66190.267294
ESA_trees,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90013.132532,88306.08,
ESRI_2020_trees,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77402.507014,,
ESRI_annual_trees,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78271.723868,77926.753055,77632.691404,77388.884545,76759.528716,76759.528716
Hansen_GFC,NC,,,,,,,,,,,,,,,,66915.259233,66120.494176,65356.314152,64788.694789,64001.758765,63138.213188,62334.030899,61467.155855,60606.417461,60000.142857,59235.582149,58456.39084,57617.392747,56883.116814,56057.09693,55213.775912,54254.760291,53268.855941,52450.186376,51676.375064,50994.245776,50344.86371,
LCMAP_trees,NC,58689.468723,58687.385724,58777.151025,58883.64157,59070.866964,59229.751002,59457.48775,59673.091612,59730.503131,59863.657948,59913.21223,59742.513035,59431.58485,58987.978415,58557.68538,58143.619182,57964.618577,57869.625144,57868.170045,57708.644985,57577.039747,57404.98129,57214.907114,57199.641448,57393.226627,57498.497322,57549.723331,57655.742883,57650.694215,57471.488541,57192.285398,57010.274894,56735.334215,56589.74641,56391.356661,56404.351817,56429.182644,
LCMAP_trees_woodywet,NC,65147.297862,65133.331563,65229.478754,65364.545361,65565.821392,65731.197621,65951.670889,66192.377241,66228.769676,66337.521243,66364.178922,66175.965695,65885.56974,65424.423723,65000.076261,64592.676797,64399.86649,64250.957636,64208.311983,63928.397004,63727.249076,63474.276356,63192.681804,63074.714887,63199.28191,63238.359091,63190.564821,63214.462824,63126.576684,62875.156397,62521.894958,62268.042518,61907.118451,61689.061987,61413.205489,61366.061643,61326.973154,
LCMS_all_trees_mixes,NC,89666.112359,90123.577284,90723.762621,91391.774975,91917.063522,92272.634837,92533.115968,92641.782434,92825.546692,93074.898285,93253.442579,93232.55485,93039.766249,92933.35357,92777.497609,92543.045061,92475.564857,92536.161603,92910.667919,92995.420397,93045.233262,93055.549581,92877.701837,93013.685396,93486.424852,93856.886587,94023.776361,94312.357401,94384.67035,94236.478828,94076.559285,94028.145349,93815.08548,93717.621116,93644.120555,93821.843777,93900.832207,93689.980905
LCMS_forest,NC,87655.7802,89029.889897,89229.586941,89707.670784,89862.733704,89876.869711,89939.879287,89867.24335,89910.547923,90061.366094,90183.080227,90163.970329,90029.617207,90053.782944,89947.962861,89761.860825,89732.028462,89699.054661,89920.443116,89875.749091,89925.572205,89945.709031,89952.082101,89951.174936,90222.584032,90433.546768,90487.281635,90669.796567,90730.438009,90716.941288,90808.953755,90914.535349,90871.302748,91030.205692,91125.590601,91279.358181,91481.778557,92083.176465
LCMS_trees,NC,86547.031436,86874.785428,87354.455827,87940.869014,88399.143261,88714.293762,88922.087375,88966.150838,89067.982782,89204.48713,89281.715114,89109.792035,88718.577151,88421.616878,88081.486295,87675.094605,87480.21949,87456.495607,87700.299511,87720.995018,87747.783158,87696.707244,87455.573671,87405.992004,87807.268348,88164.799485,88309.793159,88572.529203,88589.658254,88507.479522,88347.98815,88266.217672,88125.060243,88149.715838,88157.21731,88469.058564,88792.210821,88845.962212
LCMS_trees_shrubs_mix,NC,86547.307623,86875.047504,87354.693762,87941.070472,88399.323585,88714.454569,88922.225767,88966.282087,89068.104952,89204.608348,89281.847054,89109.919821,88718.695736,88421.718345,88081.585849,87675.195529,87480.339557,87456.598972,87700.403777,87721.095285,87747.885769,87696.800929,87455.680048,87406.086098,87807.363045,88164.907224,88309.893864,88572.638061,88589.751077,88507.574258,88348.087605,88266.331528,88125.194887,88149.858889,88157.349211,88469.193508,88792.326098,88846.154763
MODIS_1_IGBP,NC,,,,,,,,,,,,,,,,,39180.62549,38494.530392,39231.505882,41950.187254,43121.502941,43858.346078,41175.186274,41019.422549,42733.138235,41249.02549,40408.162745,40935.343137,42947.887254,42885.012745,42211.420588,42119.239215,41449.728431,41916.347058,39969.819607,40333.32647,40749.339215,
MODIS_2_UMD,NC,,,,,,,,,,,,,,,,,39360.069607,38535.530392,39267.005882,41985.687254,43155.002941,43892.596078,41209.186274,41060.672549,42776.446078,41294.833333,40451.131372,40977.669607,42994.355882,42927.820588,42254.978431,42175.239215,41516.639215,41981.507843,40026.730392,40382.737254,40796.75,
MODIS_3_LAI,NC,,,,,,,,,,,,,,,,,39360.069607,38535.530392,39267.005882,41985.687254,43155.002941,43892.596078,41209.186274,41060.672549,42776.446078,41294.833333,40451.131372,40977.669607,42994.355882,42927.820588,42254.978431,42175.239215,41516.639215,41981.507843,40026.730392,40382.737254,40796.75,
MODIS_4_BGC,NC,,,,,,,,,,,,,,,,,110089.436274,112768.456862,111643.212745,111534.159803,111138.204901,111472.494117,110824.099019,111033.506862,111884.244117,111264.07549,111346.207843,111858.252941,112093.984313,111587.898039,111804.552941,111796.421568,111429.95196,112227.50098,112479.323529,113604.348039,113578.441176,
MODIS_5_PFT,NC,,,,,,,,,,,,,,,,,110057.186274,112735.456862,111615.712745,111516.659803,111123.454901,111458.494117,110810.099019,111018.506862,111858.744117,111243.82549,111325.457843,111824.752941,112065.484313,111561.148039,111784.552941,111778.421568,111406.20196,112203.25098,112453.323529,113578.098039,113554.941176,
NLCD_canopy_10,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,91592.509108,,,,,89764.729842,,,,,,
NLCD_canopy_20,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,87278.89477,,,,,85453.025304,,,,,,
NLCD_canopy_60,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,74308.469618,,,,,71342.776528,,,,,,
NLCD_canopy_80,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,61295.502801,,,,,55936.706008,,,,,,
