dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11643.241509,9176.703649,8183.781998,9284.432132,7299.105847,14155.923509
DW_trees_gs_mode,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14412.946239,13186.09975,14594.695269,13640.278836,9419.886199,17270.752036
DW_trees_prob_10,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40382.933958,27039.914088,30694.029474,26917.791206,25860.404676,36100.745242
DW_trees_prob_25,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7991.560123,4985.068177,5559.766579,5709.030486,5281.374763,8049.119112
DW_trees_prob_50,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086.255845,183.918932,295.981556,406.690704,1032.7261,573.157408
ESA_trees,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734.583609,4957.810478,
ESRI_2020_trees,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269.740816,,
ESRI_annual_trees,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.893953,2220.535598,1907.463456,1929.450307,2699.996128,2699.996128
Hansen_GFC,ND,,,,,,,,,,,,,,,,1945.889624,1943.846337,1939.963634,1938.829346,1934.72116,1931.522532,1928.33071,1925.341918,1921.333057,1920.698925,1918.512444,1917.431532,1914.944339,1914.00335,1913.18823,1913.151524,1912.959572,1912.779283,1912.730385,1912.697941,1912.639695,1912.001466,
LCMAP_trees,ND,2410.126439,2443.191225,2471.499049,2511.312582,2532.850838,2557.947977,2581.670385,2605.436625,2631.095124,2657.015071,2681.970518,2705.62219,2730.074283,2754.56191,2779.271481,2804.09358,2828.97342,2854.206638,2879.715938,2906.384219,2933.424232,2952.024317,2977.078376,3002.040734,3034.674497,3066.602678,3099.471395,3127.521239,3167.056005,3205.105196,3225.797449,3244.42122,3268.181103,3295.058364,3343.581296,3355.671885,3422.405474,
LCMAP_trees_woodywet,ND,2770.218765,2804.877451,2832.981324,2872.342905,2892.383562,2917.044077,2941.460385,2966.577525,2995.175975,3026.603502,3058.521674,3084.004845,3111.390038,3137.667765,3163.281818,3189.809978,3214.938575,3241.135944,3266.708244,3296.200387,3326.5164,3347.582484,3374.809567,3400.923024,3442.838368,3475.948249,3501.593092,3526.781505,3565.964371,3605.81532,3626.899972,3642.104869,3664.404317,3689.862278,3750.910041,3767.09682,3822.080036,
LCMS_all_trees_mixes,ND,5055.446608,5226.849695,5375.047147,5029.646516,5074.647723,5202.204515,5359.695861,5561.03563,5599.87567,5641.971832,5767.926794,5866.905123,5921.576618,5973.960208,6075.501137,6140.160532,5883.795134,5806.298216,5771.30916,5772.234628,5913.702095,5875.816027,5985.646884,6023.001564,5975.355885,6048.54096,6264.642621,6303.380474,6325.39002,6401.015057,6442.722981,6437.445811,6430.192651,6468.494001,6519.257054,6540.528102,6538.210478,8292.161131
LCMS_forest,ND,6357.931775,6417.691881,6677.122764,6055.884395,6239.586155,6596.075975,6983.961377,7422.403845,7128.723737,6978.493987,7028.884584,7111.349025,7107.993681,7106.153583,7223.838741,7107.647527,6474.274037,6219.05125,6141.632032,6097.185356,6299.034501,6258.610644,6461.310194,6508.33501,6457.443727,6569.241734,7062.303211,7094.233337,7261.983787,7230.691874,7247.213456,7261.373957,7488.255642,7870.703996,8058.966949,8048.70763,8752.141062,14241.893774
LCMS_trees,ND,4505.33178,4621.490601,4731.104798,4467.8265,4499.076123,4607.345495,4743.75264,4923.88861,4938.681804,4966.823039,5060.737185,5142.824107,5178.830248,5212.731215,5292.544549,5346.99996,5088.968534,5016.751987,4988.969103,4976.484063,5075.098623,5053.079911,5126.905069,5154.049055,5107.142848,5159.801008,5347.501669,5361.781309,5348.005154,5387.357354,5417.369558,5414.411802,5420.42652,5447.327329,5500.743391,5535.183878,5544.431304,6984.893057
