dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10847.24222,10383.70818,12205.696383,9705.114902,10579.202799,8466.106067
DW_trees_gs_mode,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16714.873481,14413.781185,14203.23739,11571.57736,12695.647529,8887.400616
DW_trees_prob_10,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43400.65509,33377.48236,35915.321491,28787.760072,30348.763077,21300.945461
DW_trees_prob_25,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8683.869999,7725.368257,9319.765094,7919.919362,8446.963654,7868.71993
DW_trees_prob_50,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2344.73948,1561.273116,2207.884743,2349.943121,2283.446692,2892.695523
ESA_trees,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6993.637098,8998.713234,
ESRI_2020_trees,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5091.855556,,
ESRI_annual_trees,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4316.420305,4680.816242,4612.583264,4589.30634,4195.363782,4195.363782
Hansen_GFC,NE,,,,,,,,,,,,,,,,1446.136921,1445.018638,1444.179112,1443.090062,1439.95277,1436.272054,1434.343384,1431.814124,1430.685016,1429.624964,1428.562307,1427.127601,1422.200244,1410.771845,1406.964985,1405.044767,1402.75118,1400.102427,1397.507766,1396.002361,1395.026376,1393.770482,
LCMAP_trees,NE,3263.69227,3291.12139,3311.894368,3330.485707,3345.61777,3349.95223,3373.767296,3398.121172,3426.623167,3450.694489,3482.731372,3510.040912,3536.021798,3563.144347,3591.139404,3601.578321,3630.405871,3599.639661,3617.538674,3636.686696,3670.194504,3698.69167,3696.717398,3731.575718,3770.978022,3795.225155,3822.248248,3825.296474,3765.336042,3797.104401,3813.213938,3821.417569,3846.052164,3885.569308,3928.540651,3927.714423,3935.570576,
LCMAP_trees_woodywet,NE,3775.736368,3805.368038,3826.887582,3845.883769,3861.783165,3866.341178,3890.504841,3915.128664,3944.05248,3968.241677,4000.399669,4027.761755,4053.98485,4081.601929,4109.775444,4120.664181,4149.683879,4119.110862,4137.036765,4155.967496,4188.926191,4216.109636,4213.134564,4246.985784,4285.642394,4308.742658,4334.071517,4335.824318,4274.4918,4304.18148,4319.035641,4326.537409,4349.833785,4388.093908,4422.345956,4417.187085,4420.886283,
LCMS_all_trees_mixes,NE,8289.914385,8341.386462,8438.921791,8454.915776,8461.36657,8579.592021,8679.972635,8794.25125,8961.541101,9042.402899,9150.951338,9211.65877,9249.249416,9273.070694,9316.429725,9143.060611,9198.215255,8716.46142,8935.217872,9092.134595,9313.093284,9359.390576,9562.389956,9769.530815,9996.688411,9978.130468,10039.896391,9591.587601,9760.258376,10023.429861,10137.307136,10247.17062,10280.366869,10457.559914,10543.641688,10253.33071,10185.341548,11123.740902
LCMS_forest,NE,9034.727205,8834.553384,8881.134578,8754.016683,8737.602875,8864.918816,8927.396279,9110.805607,9291.46074,9297.707322,9396.58296,9413.738692,9443.452383,9487.780507,9525.120741,9368.441682,9595.811728,9163.646315,9462.118623,9614.507237,9908.4093,9931.987087,9906.352828,10018.363637,10277.688165,10257.233414,10359.654772,9833.843237,10152.524371,10424.907363,10496.525534,10756.682498,10813.781523,11313.342928,11540.525703,10903.683776,10929.186314,13337.162121
LCMS_trees,NE,7053.146823,7082.695623,7155.048187,7152.581272,7160.014185,7258.682548,7345.532505,7458.902421,7591.932144,7668.37321,7765.6878,7817.794955,7857.441931,7887.888444,7938.536752,7869.722001,7927.515532,7702.009485,7862.650764,7973.240947,8145.535708,8188.827596,8250.141691,8397.825067,8583.75703,8580.819938,8647.458589,8282.938256,8344.063002,8521.281222,8604.579208,8718.08917,8766.574838,8954.090244,9054.484771,8837.801336,8883.989685,9525.43681
LCMS_trees_shrubs_mix,NE,7069.160636,7100.407736,7173.75876,7171.828221,7179.25596,7278.684716,7366.137338,7480.670075,7615.768337,7691.476997,7788.575587,7840.191342,7879.515218,7909.241731,7960.76214,7890.024201,7946.57022,7717.808985,7880.977521,7992.035276,8164.974899,8209.113857,8278.423722,8427.434865,8613.542664,8608.897037,8673.543815,8304.578668,8367.710414,8545.585168,8629.202163,8741.580155,8787.948123,8974.848621,9073.631138,8852.94205,8896.7724,9537.054024
MODIS_1_IGBP,NE,,,,,,,,,,,,,,,,,120.389215,83.052941,72.052941,74.052941,76.552941,81.052941,78.754901,89.493137,99.743137,100.261764,107.599019,78.397058,79.802941,78.991176,75.741176,88.499019,96.404901,103.904901,94.904901,87.404901,98.654901,
MODIS_2_UMD,NE,,,,,,,,,,,,,,,,,120.389215,83.052941,72.052941,74.052941,76.552941,81.052941,78.754901,89.493137,99.743137,100.261764,107.599019,78.397058,79.802941,78.991176,75.741176,88.499019,96.404901,103.904901,94.904901,87.404901,98.654901,
MODIS_3_LAI,NE,,,,,,,,,,,,,,,,,120.389215,83.052941,72.052941,74.052941,76.552941,81.052941,78.754901,89.493137,99.743137,100.261764,107.599019,78.397058,79.802941,78.991176,75.741176,88.499019,96.404901,103.904901,94.904901,87.404901,98.654901,
MODIS_4_BGC,NE,,,,,,,,,,,,,,,,,345.740196,172.073529,129.823529,141.323529,138.136274,134.573529,188.52549,222.887254,225.70098,347.917647,314.504901,188.647058,174.302941,151.302941,179.052941,236.060784,248.810784,310.810784,337.560784,269.810784,260.810784,
MODIS_5_PFT,NE,,,,,,,,,,,,,,,,,345.740196,172.073529,129.823529,141.323529,138.136274,134.573529,188.52549,222.887254,225.70098,347.917647,314.504901,188.647058,174.302941,151.302941,179.052941,236.060784,248.810784,310.810784,337.560784,269.810784,260.810784,
NLCD_canopy_10,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,6547.203931,,,,,6438.918765,,,,,,
NLCD_canopy_20,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,4724.030731,,,,,4569.235365,,,,,,
NLCD_canopy_60,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,1206.36307,,,,,1172.751141,,,,,,
NLCD_canopy_80,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8836,,,,,10.7694,,,,,,
NLCD_canopy_perc,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.198657,,,,,1151.784742,,,,,,
NLCD_forest,NE,,,,,,,,,,,,,,,,,3930.648557,,,3922.022202,,3859.823202,,3853.823234,,,3839.069195,,3734.633512,,,3719.968012,,,3749.872312,,3738.369204,
NLCD_forest_woodywet,NE,,,,,,,,,,,,,,,,,5483.069954,,,5488.14643,,5422.506938,,5403.916461,,,5360.786594,,5280.512527,,,5254.454763,,,5269.457445,,5253.244955,
FIA_forest,NE,,,,,,,,,,,,,,,,,,,5158.87077382862,5065.2766694897,5037.65344781866,5330.54805078475,5352.24759719548,5384.37086868911,6062.15751297952,6154.30970406472,6379.74350252178,6350.22110052969,6231.20262362974,6313.15712346991,6200.92947850937,6109.51946762812,5967.60317474104,5993.93083447985,5674.47651260836,,,
FIA_forest_upper,NE,,,,,,,,,,,,,,,,,,,5506.695257582958,5363.246812999721,5304.460202612429,5564.476656085003,5587.774505416117,5641.3122994779715,6322.188811036284,6419.5937151485105,6646.756683326822,6614.391863942979,6495.4668948941935,6562.80676104944,6449.8619435095825,6357.613446579427,6212.831184137564,6244.199702203932,5921.1402350566195,,,
FIA_forest_lower,NE,,,,,,,,,,,,,,,,,,,4811.046290074282,4767.306525979679,4770.8466930248915,5096.619445484496,5116.720688974843,5127.429437900248,5802.126214922756,5889.025692980929,6112.730321716738,6086.050337116401,5966.938352365286,6063.507485890381,5951.997013509157,5861.425488676813,5722.375165344515,5743.661966755768,5427.812790160101,,,
FIA_timberland,NE,,,,,,,,,,,,,,,,,,,4660.67508953315,4635.13761502784,4696.67063307348,5043.52501038089,5056.98419536939,4987.48618538792,5606.03480700416,5665.11357434924,5876.97694372804,5833.95269432406,5701.70975090621,5763.33528179267,5657.94762721416,5595.6914717409,5478.90954133793,5489.34036117928,5202.62171752181,,,
FIA_timberland_upper,NE,,,,,,,,,,,,,,,,,,,4996.162274458044,4922.678603136183,4956.738752731452,5273.353827019445,5292.334550700722,5240.982601558702,5857.533587409491,5921.290469958263,6135.216780989611,6088.677281282493,5958.700840924993,6010.312804098527,5903.524636350426,5840.994827844122,5721.947808143006,5735.06549540755,5441.110794441319,,,
FIA_timberland_lower,NE,,,,,,,,,,,,,,,,,,,4325.187904608256,4347.596626919498,4436.602513415507,4813.696193742336,4821.633840038059,4733.989769217138,5354.536026598829,5408.936678740216,5618.737106466469,5579.228107365627,5444.718660887426,5516.357759486813,5412.3706180778945,5350.388115637678,5235.871274532854,5243.61522695101,4964.132640602301,,,
EPA_forested,NE,,,,,,7229.099999999999,7163.8,7098.5,7033.200000000001,6965.700000000001,6898.200000000001,6830.700000000001,6763.200000000001,6695.700000000001,6628.200000000001,6546.599999999999,6464.9,6383.3,6301.599999999999,6220.0,6154.400000000001,6088.8,6023.3,5957.7,5892.1,5826.5,5768.7,5710.900000000001,5653.099999999999,5595.2,5537.4,5479.6,5427.200000000001,5374.700000000001,5322.3,,,
NRI_total,NE,,,3634.1562120598946,,,,,3634.1562120598946,,,,,3678.67260218535,,,,,3626.0623229461753,,,,,3569.4050991501413,,,,,3496.560097126669,,,,,3468.231485228652,,,,,
