dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20828.346134,21508.591955,21621.736728,20762.425732,21504.623674,20884.268892
DW_trees_gs_mode,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20420.104246,21723.424769,21807.428614,21723.229333,22077.943137,21647.919101
DW_trees_prob_10,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21766.255266,22673.602109,22647.668407,22483.656934,22685.584054,22546.269642
DW_trees_prob_25,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20837.459891,21451.241252,21465.344279,21036.535759,21452.817388,21127.081304
DW_trees_prob_50,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17838.489069,14822.569736,13018.39064,11859.942631,11906.662342,11285.580631
ESA_trees,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21215.989567,20976.155876,
ESRI_2020_trees,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19606.209448,,
ESRI_annual_trees,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20265.26303,20386.35677,19818.485895,19787.555623,19638.461589,19638.461589
Hansen_GFC,NH,,,,,,,,,,,,,,,,18547.374628,18483.961976,18426.198233,18395.424733,18338.214691,18267.639797,18197.992004,18128.87524,18040.792107,17979.434031,17904.786968,17861.444805,17792.985901,17724.117313,17660.720405,17590.480539,17492.532155,17398.538945,17306.069602,17218.824464,17140.941218,17082.435152,
LCMAP_trees,NH,18983.82967,18992.867484,18992.167478,18983.385437,18981.101216,18975.143548,18965.008976,18957.938304,18945.598549,18935.595077,18924.012783,18912.803181,18893.11933,18876.711769,18842.801371,18813.206304,18774.725897,18738.134611,18716.603971,18694.832488,18649.743335,18614.56662,18581.471936,18550.700495,18527.938852,18497.384664,18479.013052,18475.548367,18452.083425,18428.182545,18390.600067,18322.787548,18307.045701,18289.231715,18275.349734,18251.262243,18232.018415,
LCMAP_trees_woodywet,NH,19683.618822,19692.857336,19692.05023,19682.841684,19680.373863,19674.286831,19664.447844,19657.708828,19645.090214,19634.878842,19623.330748,19611.91615,19591.93104,19575.164502,19540.811724,19510.219754,19470.794841,19432.630175,19410.113177,19387.416494,19339.241241,19301.567025,19266.62923,19234.209455,19209.917812,19177.621454,19157.82751,19153.201711,19128.015042,19101.879088,19061.769494,18989.863792,18972.607016,18952.829251,18937.61887,18912.639317,18892.350282,
LCMS_all_trees_mixes,NH,21625.439382,21641.142487,21710.776627,21713.237311,21726.822222,21747.606398,21750.923096,21757.94431,21760.551674,21773.550427,21776.735004,21778.37088,21768.282462,21761.086605,21757.49412,21767.400815,21758.628028,21753.353872,21745.249955,21743.874539,21736.416861,21736.147076,21734.469423,21728.774287,21722.787007,21715.107554,21720.529101,21723.660317,21710.886536,21697.619999,21667.819852,21623.337268,21595.415032,21566.969865,21549.916951,21525.161971,21511.925615,21474.895192
LCMS_forest,NH,20629.641582,21475.88688,21474.225239,21436.040488,21437.304628,21446.511317,21439.722098,21436.762447,21423.116484,21421.544816,21413.750188,21411.568411,21399.163849,21393.829821,21389.155397,21387.538468,21369.883507,21353.042301,21329.432544,21319.163142,21315.446855,21315.827788,21315.934888,21312.764541,21307.754735,21307.431797,21316.762164,21321.307531,21318.733379,21314.493674,21307.216983,21292.209151,21280.746712,21267.343397,21256.692677,21233.722796,21208.940516,21190.138867
LCMS_trees,NH,21479.679748,21490.245727,21535.809437,21537.351162,21551.21971,21568.831034,21570.237472,21573.160411,21565.706767,21573.927081,21575.101792,21573.571637,21559.622223,21546.201268,21536.816565,21543.346012,21530.894417,21522.833915,21509.934063,21507.731883,21498.067041,21496.759369,21490.744263,21480.290435,21471.391104,21461.147174,21465.318402,21468.745108,21452.355497,21438.936734,21412.85467,21365.99172,21334.789083,21304.157392,21288.306014,21271.694534,21266.56117,21235.743924
LCMS_trees_shrubs_mix,NH,21480.708448,21491.29411,21536.950637,21538.503162,21552.36181,21569.983034,21571.396672,21574.379011,21566.975767,21575.214081,21576.449992,21574.966637,21561.031623,21547.624168,21538.230465,21544.763512,21532.274117,21524.189315,21511.257063,21509.050383,21499.390941,21498.102169,21492.131163,21481.715135,21472.816704,21462.583019,21466.734102,21470.122108,21453.732497,21440.313734,21414.19207,21367.307519,21336.134583,21305.546992,21289.652414,21272.957234,21267.73297,21236.861724
