dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11953.815135,11159.951507,11329.947216,11365.486462,11590.278285,10987.023378
DW_trees_gs_mode,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12334.291261,12042.68698,12265.718528,12034.411781,12671.276389,11705.358035
DW_trees_prob_10,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15156.91426,14738.910423,14698.758662,14889.193697,14862.171752,14281.781199
DW_trees_prob_25,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12166.9912,11461.720101,11583.994632,11756.170004,11709.863267,11262.145187
DW_trees_prob_50,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8371.383169,6890.860032,7431.401813,7981.710081,6220.365348,6626.833092
ESA_trees,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12848.876453,12516.910827,
ESRI_2020_trees,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8488.243992,,
ESRI_annual_trees,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8614.693452,8569.488764,8501.851727,8633.145154,8468.960702,8468.960702
Hansen_GFC,NJ,,,,,,,,,,,,,,,,8612.956821,8597.207669,8583.756462,8578.866547,8561.410702,8549.779464,8536.919289,8507.054185,8497.824176,8490.67533,8480.293977,8475.672066,8464.520915,8457.131455,8445.467194,8437.464878,8423.381964,8401.743279,8392.629687,8371.554466,8359.220703,8344.063724,
LCMAP_trees,NJ,5877.77035,5878.38145,5873.082215,5853.412577,5840.395471,5838.212071,5830.959621,5809.839321,5808.150356,5809.885556,5805.152795,5805.158195,5804.436878,5796.213271,5754.124747,5741.473447,5718.018042,5700.186342,5691.600755,5673.083163,5660.798516,5648.339241,5604.309441,5597.192932,5599.325025,5599.843425,5599.840725,5601.366225,5597.044443,5587.002307,5585.663107,5578.118763,5575.875974,5575.162274,5559.067602,5556.157902,5551.306902,
LCMAP_trees_woodywet,NJ,8192.961232,8192.339332,8185.79226,8165.919222,8153.563616,8151.574616,8143.37989,8117.39779,8114.619825,8115.974325,8110.918464,8110.191688,8109.467671,8102.456364,8059.415964,8046.136464,8020.77906,7999.638959,7988.211172,7966.069281,7951.162934,7935.006483,7887.380745,7877.522343,7878.043842,7876.51788,7873.134815,7872.097115,7863.070521,7848.036084,7844.395584,7834.886954,7830.425251,7827.495751,7810.224705,7805.000205,7797.815505,
LCMS_all_trees_mixes,NJ,12135.445048,12105.815625,12139.184205,12149.798417,12182.172003,12189.659851,12222.370468,12233.601607,12271.402542,12328.459581,12376.802491,12418.15123,12427.911631,12432.755107,12432.169249,12457.425575,12471.321247,12506.044676,12539.431305,12556.266617,12580.966912,12613.66537,12632.120558,12667.87429,12717.44719,12739.716656,12781.418371,12798.618331,12812.052236,12784.515705,12795.352595,12821.515069,12842.421723,12861.791929,12905.712412,12944.633075,12996.915578,12989.150463
LCMS_forest,NJ,10969.560395,11030.319049,10930.83925,10872.34753,10840.39248,10783.565043,10768.300782,10728.347332,10712.294008,10713.192984,10713.171794,10708.595541,10686.110707,10668.807501,10632.857544,10614.136207,10597.99513,10591.705482,10579.606665,10555.15668,10549.18518,10548.810723,10549.956681,10553.674828,10561.25737,10562.793518,10572.952874,10570.064685,10562.007984,10543.683042,10549.843369,10565.084054,10580.018018,10594.247032,10621.090337,10647.639614,10682.56285,10730.466264
LCMS_trees,NJ,11829.811676,11788.086921,11808.677643,11811.495882,11839.27951,11846.802645,11874.284735,11879.033001,11906.647941,11953.57194,11993.957417,12026.609191,12028.658241,12020.262705,12008.643688,12020.972572,12028.919618,12057.55716,12085.054369,12098.837943,12118.666319,12144.076743,12157.525358,12179.384068,12219.578837,12235.959709,12267.293809,12274.247244,12275.014898,12254.460642,12271.790738,12295.908674,12321.13753,12348.533805,12400.274565,12451.788105,12520.769756,12549.038015
LCMS_trees_shrubs_mix,NJ,11829.819776,11788.092321,11808.683043,11811.495882,11839.28041,11846.804445,11874.286535,11879.034801,11906.649741,11953.573739,11993.959217,12026.610091,12028.660041,12020.264505,12008.647288,12020.976172,12028.922318,12057.55986,12085.056169,12098.840643,12118.668119,12144.081243,12157.529858,12179.391268,12219.585137,12235.966009,12267.298309,12274.252644,12275.022998,12254.467842,12271.796138,12295.914974,12321.14293,12348.539205,12400.279965,12451.795305,12520.774256,12549.041615
MODIS_1_IGBP,NJ,,,,,,,,,,,,,,,,,4625.82549,5068.90196,5037.814705,5282.507843,5137.867647,5319.816666,5358.072549,5351.781372,5586.461764,5132.374509,5216.687254,5356.131372,5478.966666,5242.77745,4971.6,5137.55098,5309.093137,5523.528431,5479.15,5599.778431,5594.019607,
MODIS_2_UMD,NJ,,,,,,,,,,,,,,,,,4629.653921,5068.90196,5037.814705,5282.507843,5137.867647,5319.816666,5358.072549,5352.031372,5586.711764,5132.624509,5216.937254,5356.131372,5478.966666,5242.77745,4971.6,5137.55098,5309.093137,5523.528431,5479.15,5599.778431,5594.019607,
MODIS_3_LAI,NJ,,,,,,,,,,,,,,,,,4629.653921,5068.90196,5037.814705,5282.507843,5137.867647,5319.816666,5358.072549,5352.031372,5586.711764,5132.624509,5216.937254,5356.131372,5478.966666,5242.77745,4971.6,5137.55098,5309.093137,5523.528431,5479.15,5599.778431,5594.019607,
MODIS_4_BGC,NJ,,,,,,,,,,,,,,,,,12790.809803,12859.420588,12818.05,12925.32549,12909.178431,12869.457843,12948.604901,12896.070588,12978.109803,13072.543137,13102.380392,12942.958823,12774.840196,12732.144117,12718.360784,12753.20098,12729.335294,12785.55,12779.516666,12801.52745,12775.10098,
