dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24123.255429,19285.628229,20013.602548,19526.339822,23255.502821,20095.572206
DW_trees_gs_mode,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19450.954566,16754.968647,18426.994836,18708.619598,20956.618547,19604.245517
DW_trees_prob_10,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69192.159952,60346.552471,58861.638329,58637.210207,66544.840519,66356.486261
DW_trees_prob_25,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31547.495512,26616.010163,25470.01533,26234.227239,29740.108808,26975.129507
DW_trees_prob_50,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7787.353349,5789.657087,5084.752768,5532.291606,6774.846122,4731.818831
ESA_trees,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54521.167254,56539.329345,
ESRI_2020_trees,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21866.636025,,
ESRI_annual_trees,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18544.304826,15937.944418,18788.262273,17854.563402,15127.185127,15127.185127
Hansen_GFC,NM,,,,,,,,,,,,,,,,11706.028313,11684.872361,11629.102209,11592.988609,11503.657273,11473.330605,11383.880511,11364.71283,11333.799964,11327.072685,11306.79448,11150.590459,10946.619058,10823.84433,10782.493548,10773.270643,10748.583657,10731.821451,10671.213408,10649.993093,10630.734676,10583.545467,
LCMAP_trees,NM,54382.683952,54385.118756,54375.026032,54321.180847,54244.166124,54154.511692,54113.434669,54087.689195,54016.98367,53944.228902,53869.981097,53734.961018,53655.911777,53559.644375,53451.831296,53212.93254,53111.668616,52880.958818,52743.63721,52539.359269,52455.543931,52209.976457,52094.674485,51919.680677,51794.995715,51664.634001,51329.981456,50910.57001,50692.911112,50555.366805,50577.421284,50458.124989,50300.873636,50008.238929,49893.852455,49746.55945,49547.105724,
LCMAP_trees_woodywet,NM,54465.818901,54468.090183,54457.807902,54403.643216,54325.947194,54236.031762,54194.959408,54169.183362,54098.501336,54025.831168,53951.565504,53816.359115,53737.228877,53640.824675,53532.858494,53293.222637,53191.735514,52962.675815,52825.362289,52621.183348,52537.456009,52291.913505,52176.615134,52001.525925,51876.779763,51746.289349,51411.003695,50991.364549,50773.520251,50636.027244,50658.414723,50539.089628,50381.681675,50088.539368,49974.306794,49826.962489,49627.713063,
LCMS_all_trees_mixes,NM,77985.971555,79663.394114,80061.017272,80026.637389,79704.842078,79682.906961,79683.204434,79707.055838,79677.093998,79582.72999,79626.229185,79441.462464,79284.386421,79144.935307,79036.577417,77959.159725,77923.438655,77324.500284,77289.45325,77348.260203,77548.376936,77147.258071,77241.52512,77093.48706,76966.6866,77127.657984,76484.470337,76668.103648,77211.389636,77803.912485,78337.080268,78178.526491,77981.550465,77004.258945,77298.657621,77578.285492,77738.225717,77913.480984
LCMS_forest,NM,69655.719211,71974.015185,72748.137575,72780.73236,72478.879122,72479.646649,72486.404805,72487.279732,72461.653514,72389.741904,72404.502945,72268.783245,72132.432088,71980.839275,71858.431101,71036.95621,71017.260321,70533.217817,70481.250702,70491.596872,70566.306402,70246.502054,70271.503408,70174.896769,70077.739605,70212.091807,69638.84052,69762.825441,70087.250735,70467.853867,70927.457763,70868.581916,70671.384035,69939.598238,70108.72482,70253.760162,70452.09217,70770.447804
LCMS_trees,NM,49829.865642,50699.152175,50843.873798,50898.80262,50696.477011,50660.01259,50651.381315,50646.157097,50618.626708,50552.624174,50513.524701,50327.429378,50113.828009,49914.727898,49747.295851,49113.901754,48973.969944,48269.939692,47883.208097,47613.388171,47454.633762,47094.957472,46910.599909,46601.768548,46459.213951,46326.500692,45638.891823,45324.668212,45250.801623,45303.828395,45514.061445,45553.351694,45496.797956,45071.098447,44930.159378,45030.095728,45274.556184,45529.396852
LCMS_trees_shrubs_mix,NM,50289.726504,51185.238204,51333.653654,51388.086024,51180.742341,51146.200316,51138.862334,51134.981502,51107.396728,51041.80075,51003.699554,50829.129225,50625.36697,50442.865401,50287.571911,49666.604622,49528.671705,48792.552938,48426.795455,48190.536381,48063.596474,47720.574176,47564.014648,47273.114632,47149.9344,47040.984621,46370.321145,46114.523594,46110.681109,46235.375332,46476.578082,46521.039557,46462.309542,46014.708843,45884.69802,45988.501062,46210.012563,46412.669181
MODIS_1_IGBP,NM,,,,,,,,,,,,,,,,,3153.147058,2570.042156,2640.27549,2594.739215,2459.188235,2119.97549,1931.091176,1948.492156,2004.612745,2126.208823,1891.459803,1294.493137,1073.540196,961.136274,867.112745,943.871568,1012.87549,942.788235,874.718627,761.449019,634.95,
MODIS_2_UMD,NM,,,,,,,,,,,,,,,,,3153.147058,2570.042156,2640.27549,2594.739215,2459.188235,2119.97549,1931.091176,1948.492156,2004.612745,2126.208823,1891.459803,1294.493137,1073.540196,961.136274,867.112745,943.871568,1012.87549,942.788235,874.718627,761.449019,634.95,
MODIS_3_LAI,NM,,,,,,,,,,,,,,,,,3153.147058,2570.042156,2640.27549,2594.739215,2459.188235,2119.97549,1931.091176,1948.492156,2004.612745,2126.208823,1891.459803,1294.493137,1073.540196,961.136274,867.112745,943.871568,1012.87549,942.788235,874.718627,761.449019,634.95,
MODIS_4_BGC,NM,,,,,,,,,,,,,,,,,120755.039215,122874.22745,129878.952941,126936.60196,127367.07745,107082.87745,103199.723529,97883.894117,109780.995098,109594.708823,118245.595098,123715.143137,119688.889215,117629.441176,115073.134313,116679.206862,123897.917647,126085.786274,124706.67647,124890.155882,119250.785294,
MODIS_5_PFT,NM,,,,,,,,,,,,,,,,,28306.155882,27639.80098,26035.449019,24683.772549,25488.116666,23813.685294,23200.842156,22321.764705,21600.644117,22357.007843,21767.006862,20528.981372,19365.793137,18409.060784,18246.114705,18310.249019,19724.40098,19118.964705,19268.724509,18843.12745,18997.581372,
NLCD_canopy_10,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,67765.716515,,,,,67488.476248,,,,,,
NLCD_canopy_20,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,47580.502708,,,,,47045.123022,,,,,,
NLCD_canopy_60,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,235.763943,,,,,120.174356,,,,,,
NLCD_canopy_80,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,
NLCD_canopy_perc,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,6806.339095,,,,,6630.937783,,,,,,
NLCD_forest,NM,,,,,,,,,,,,,,,,,51420.334722,,,50946.659047,,50622.305082,,50546.53333,,,50033.458651,,49439.780244,,,49303.047931,,,49060.25053,,49048.542232,
NLCD_forest_woodywet,NM,,,,,,,,,,,,,,,,,52033.779264,,,51568.560349,,51244.110949,,51176.314051,,,50660.072572,,50065.207619,,,49935.947138,,,49715.070607,,49705.665409,
FIA_forest,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100521.471771762,99970.2758632415,99556.0672223198,99518.3736209365,99895.101649181,99655.2336123928,99727.0304160126,,,
FIA_forest_upper,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101501.09226644409,100901.02644832074,100473.78315991603,100433.71836562423,100770.90898829179,100524.92447488169,100583.83989117315,,,
FIA_forest_lower,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99541.8512770799,99039.52527816227,98638.35128472358,98603.02887624878,99019.29431007021,98785.5427499039,98870.22094085204,,,
FIA_timberland,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17178.7799534201,17319.2403649825,17315.9510635272,17134.1220410487,17381.7126058496,17382.0306699106,17562.130120543,,,
FIA_timberland_upper,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17741.405151056435,17853.25070929091,17849.253747175095,17665.81881704817,17912.22340310826,17913.829251790023,18094.186550405404,,,
FIA_timberland_lower,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16616.154755783766,16785.230020674087,16782.64837987931,16602.42526504923,16851.20180859094,16850.232088031178,17030.073690680594,,,
EPA_forested,NM,,,,,,58552.299999999996,58556.2,58560.200000000004,58567.1,58581.3,58595.600000000006,58609.899999999994,58624.2,58638.4,58652.700000000004,58667.0,58685.600000000006,58713.6,58741.6,58769.6,58797.600000000006,58825.600000000006,58853.6,58881.7,58915.600000000006,58961.5,59007.5,59053.5,59099.5,59145.5,59191.5,59237.5,59332.799999999996,59349.1,59365.299999999996,,,
