dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8424.174383,5683.179365,6257.433797,5983.192725,6732.844308,5374.393999
DW_trees_gs_mode,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292.069121,5093.01051,5903.69171,5213.278435,6634.319794,5079.935083
DW_trees_prob_10,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34098.541802,29983.479922,30986.923314,30550.171369,29448.129549,24586.747678
DW_trees_prob_25,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11172.735974,8920.567807,8808.327562,8939.720905,9032.951982,6370.306946
DW_trees_prob_50,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155.475381,836.405268,840.527182,690.257704,631.745033,436.820509
ESA_trees,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22830.548047,26186.911532,
ESRI_2020_trees,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.070432,,
ESRI_annual_trees,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.752387,1710.679401,1691.037849,1257.260765,1191.599316,1191.599316
Hansen_GFC,NV,,,,,,,,,,,,,,,,2947.113184,2940.556217,2935.125211,2933.692808,2924.832058,2913.704784,2910.473497,2905.788524,2893.126207,2883.952225,2882.452752,2878.033779,2874.416084,2854.796132,2842.1659,2839.946671,2833.489809,2828.801471,2798.815779,2768.777236,2763.318779,2759.305837,
LCMAP_trees,NV,32480.443927,32488.808756,32506.411376,32523.977145,32540.084985,32548.740818,32570.599694,32594.876523,32623.691615,32633.733307,32872.709932,32779.342849,32730.400171,32754.212816,32742.857643,32560.27656,32466.520376,32402.463095,32349.033871,32335.802647,32319.859994,32181.11598,32094.631475,32028.627052,32014.518296,32018.964014,32044.32618,32001.28957,31869.303211,31733.635023,31640.35849,31640.237385,31592.750887,31499.678562,31437.418732,31369.450323,31349.633011,
LCMAP_trees_woodywet,NV,32515.22707,32521.750454,32538.331574,32554.96399,32570.34336,32578.566292,32600.247868,32625.03631,32655.909702,32668.965494,32913.44472,32822.373924,32772.881347,32796.773191,32784.511203,32598.64512,32501.843904,32436.334581,32381.927572,32368.867302,32354.727681,32216.769367,32129.253049,32062.429627,32048.406222,32053.207439,32078.493105,32033.612738,31900.398779,31764.146491,31669.753058,31671.154754,31626.619355,31533.89173,31471.578663,31402.760654,31382.978156,
LCMS_all_trees_mixes,NV,36785.297957,37394.891064,37820.789174,37864.088375,37943.826797,38111.332432,38270.90137,38292.340937,38673.307295,38851.171969,39412.408701,39317.147936,39230.233958,39322.715209,39199.441284,38824.274057,37808.784229,37720.239614,37897.041081,37794.519465,37835.614401,37879.631378,37834.582238,37990.318754,38263.651207,38561.609467,39068.601095,39030.939275,39088.101843,39492.157478,39710.557217,39854.822735,39574.18045,39094.544809,38975.984558,38494.380158,38284.670392,38613.805715
LCMS_forest,NV,32679.130207,33417.044685,33936.899717,34024.07923,34162.622555,34336.757837,34484.873382,34542.184203,34985.142236,35136.044315,35671.677472,35565.710216,35505.73633,35539.714595,35451.600134,35233.90693,34699.679858,34678.085714,34804.331908,34787.732703,34907.019049,34963.076721,34949.710132,35126.74386,35371.172964,35619.514214,35993.826734,35922.831155,35963.702872,36156.54181,36253.629137,36323.72023,36161.161461,35789.746274,35761.557677,35429.019889,35273.600597,35449.908476
LCMS_trees,NV,23060.107182,23170.545052,23447.723117,23552.385617,23698.118488,23865.67057,24009.748923,24090.878798,24224.241437,24425.357195,24706.507355,24673.642125,24567.388182,24516.591324,24495.294352,24256.158278,23734.700174,23622.400055,23649.854103,23535.586249,23365.467603,23405.229568,23369.065838,23345.628052,23436.889934,23571.413357,23780.765244,23713.305511,23567.155249,23688.134149,23755.201743,23728.249461,23812.543775,23582.961215,23248.935465,23149.206497,22894.47523,22744.484774
LCMS_trees_shrubs_mix,NV,23446.912397,23556.832055,23836.303662,23938.508025,24086.227609,24253.321365,24397.793601,24477.822067,24631.268481,24837.327963,25134.971692,25110.525204,25012.949855,24971.754698,24951.222899,24710.631525,24167.85985,24055.477002,24094.38156,23987.242496,23829.450328,23875.431882,23843.490183,23831.823727,23937.158265,24084.21307,24314.739275,24260.456961,24136.012574,24289.667685,24375.625337,24372.287865,24460.212892,24222.681522,23875.377095,23764.354694,23506.024976,23356.074684
MODIS_1_IGBP,NV,,,,,,,,,,,,,,,,,25.75,22.0,16.75,15.5,17.75,24.0,35.0,42.961764,37.961764,31.961764,43.732352,51.732352,57.135294,66.135294,53.635294,45.364705,33.461764,26.25,23.75,24.0,28.75,
MODIS_2_UMD,NV,,,,,,,,,,,,,,,,,26.75,22.0,16.75,15.5,17.75,24.0,35.0,42.961764,37.961764,31.961764,43.732352,51.732352,57.135294,66.135294,53.635294,45.364705,33.461764,26.25,23.75,24.0,28.75,
MODIS_3_LAI,NV,,,,,,,,,,,,,,,,,26.75,22.0,16.75,15.5,17.75,24.0,35.0,42.961764,37.961764,31.961764,43.732352,51.732352,57.135294,66.135294,53.635294,45.364705,33.461764,26.25,23.75,24.0,28.75,
MODIS_4_BGC,NV,,,,,,,,,,,,,,,,,44208.792156,47909.246078,46949.208823,47168.82549,53461.160784,54263.448039,53014.274509,52391.857843,51111.006862,51096.122549,53990.50098,53849.883333,53196.267647,51032.691176,48891.481372,49509.32647,50490.57549,49056.399019,50732.392156,52531.441176,50388.566666,
MODIS_5_PFT,NV,,,,,,,,,,,,,,,,,9669.974509,12098.542156,10535.896078,9593.667647,10124.486274,10071.074509,10510.646078,10510.284313,9856.914705,9067.655882,9785.010784,9383.07549,10158.955882,9524.22745,8976.274509,8786.920588,9586.231372,8718.97745,9256.852941,9505.869607,8422.836274,
NLCD_canopy_10,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,30038.966756,,,,,30118.345782,,,,,,
NLCD_canopy_20,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,21590.528827,,,,,21539.415349,,,,,,
NLCD_canopy_60,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,27.907305,,,,,26.103705,,,,,,
NLCD_canopy_80,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,
NLCD_canopy_perc,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,2902.907511,,,,,2889.203279,,,,,,
NLCD_forest,NV,,,,,,,,,,,,,,,,,29364.492582,,,29328.263294,,29139.419636,,29034.30012,,,28992.378317,,28719.934016,,,28640.741992,,,28444.092536,,28444.347564,
NLCD_forest_woodywet,NV,,,,,,,,,,,,,,,,,30616.812907,,,30585.688563,,30373.857649,,30291.359191,,,30198.311237,,29978.965584,,,29889.343238,,,29712.361408,,29713.886336,
FIA_forest,NV,,,,,,,,,,,,,,,,,,,,,44774.1479093076,,,,,,,43080.9133264568,42804.8010825113,42797.2632676452,42770.2202556514,42588.6652987999,42877.7638554244,42926.8814501065,42765.9003130956,,,
FIA_forest_upper,NV,,,,,,,,,,,,,,,,,,,,,46141.3991067505,,,,,,,43700.23030460434,43390.23824535107,43381.205256489884,43352.92768289952,43170.11376123443,43460.64285700005,43506.80305257871,43345.35750315156,,,
FIA_forest_lower,NV,,,,,,,,,,,,,,,,,,,,,43406.8967118647,,,,,,,42461.596348309264,42219.36391967153,42213.32127880051,42187.51282840328,42007.21683636536,42294.884853848744,42346.95984763429,42186.44312303964,,,
FIA_timberland,NV,,,,,,,,,,,,,,,,,,,,,1200.0063658545,,,,,,,1034.37985022905,1022.02084279948,961.419864944718,1010.39994058734,1059.93583875287,1054.30257959421,1037.50769795194,1012.49831768781,,,
FIA_timberland_upper,NV,,,,,,,,,,,,,,,,,,,,,1569.57376265877,,,,,,,1189.3541621719648,1167.892905027506,1101.928816325937,1155.049868035602,1209.372070615369,1203.6171044039381,1184.1612513544549,1157.460012950824,,,
FIA_timberland_lower,NV,,,,,,,,,,,,,,,,,,,,,830.4389690502301,,,,,,,879.405538286135,876.1487805714539,820.910913563499,865.750013139078,910.4996068903711,904.9880547844821,890.854144549425,867.536622424796,,,
EPA_forested,NV,,,,,,22632.3,22759.0,22885.7,23012.5,23139.2,23266.0,23392.7,23519.5,23665.300000000003,23798.1,23930.8,24063.5,24196.300000000003,24329.0,24461.7,24594.5,24727.199999999997,24859.899999999998,24987.800000000003,25160.300000000003,25332.9,25505.4,25677.9,25850.5,26023.0,26195.5,26368.1,26524.2,26659.3,26794.4,,,
NRI_total,NV,,,1549.9797652772156,,,,,1554.0267098340753,,,,,1347.632537434237,,,,,1375.961149332254,,,,,1367.867260218535,,,,,1367.867260218535,,,,,1367.867260218535,,,,,
NRI_grazed,NV,,,1197.8955888304329,,,,,1201.9425333872925,,,,,1007.6891946580331,,,,,1023.8769728854714,,,,,845.8114123836503,,,,,712.2622420072845,,,,,655.6050182112505,,,,,
NRI_notgrazed,NV,,,352.08417644678264,,,,,352.08417644678264,,,,,339.94334277620396,,,,,352.08417644678264,,,,,522.0558478348846,,,,,655.6050182112505,,,,,712.2622420072845,,,,,
