dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93001.173282,91521.133804,94452.241813,91515.995496,87731.681754,91158.301343
DW_trees_gs_mode,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94304.29338,94851.440926,95669.597676,94933.881547,89628.269867,94055.275158
DW_trees_prob_10,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105797.843144,105808.059029,107691.873346,107232.090085,105722.286075,104652.809934
DW_trees_prob_25,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91392.929083,90541.09931,93754.024864,91808.071574,86769.657694,89937.612134
DW_trees_prob_50,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58759.042932,51103.096734,64038.165686,62096.315991,32136.136077,44905.618354
ESA_trees,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90412.170685,90010.569308,
ESRI_2020_trees,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80927.969991,,
ESRI_annual_trees,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82230.244822,82953.897398,80923.358533,80461.051047,81222.183902,81222.183902
Hansen_GFC,NY,,,,,,,,,,,,,,,,73114.99051,73057.683914,73013.920516,72982.991235,72913.320876,72836.402059,72777.550235,72713.331317,72654.549443,72608.549358,72550.209281,72512.429143,72436.251871,72391.672718,72328.748933,72259.942786,72168.867162,72052.479503,71921.792877,71819.672778,71726.942753,71641.157409,
LCMAP_trees,NY,69749.654957,69781.402358,69801.966014,69811.016964,69821.615643,69836.489428,69845.644189,69857.73691,69868.831718,69880.182052,69889.620702,69889.523788,69892.14775,69891.418002,69869.923224,69863.373077,69829.626592,69812.863948,69810.177497,69792.809364,69767.722912,69745.550675,69713.655183,69707.302619,69702.116911,69690.15084,69677.211162,69671.726777,69652.957358,69617.161874,69569.98339,69500.328014,69471.872004,69441.890191,69417.361164,69354.691027,69324.374763,
LCMAP_trees_woodywet,NY,74815.602638,74847.234434,74868.342589,74878.649724,74891.338203,74907.977354,74918.860997,74931.725918,74942.701927,74953.594507,74963.092556,74961.680459,74965.299271,74965.023063,74944.184929,74936.507082,74899.12332,74879.29351,74874.33456,74852.491136,74822.330403,74794.302102,74756.376645,74745.802291,74736.148083,74720.050111,74702.224958,74692.530698,74667.931676,74624.924142,74568.733058,74485.038257,74450.503648,74414.748702,74385.494378,74317.784975,74286.97123,
LCMS_all_trees_mixes,NY,89078.600721,89219.227348,89342.90977,89484.53058,89679.404103,89904.780691,90041.481864,90227.87101,90346.165542,90504.295369,90648.212085,90778.804178,90830.523328,90871.021027,90915.477356,90893.435276,90903.979916,91112.009407,90906.527555,90994.475054,91034.508748,91152.668474,91244.224884,91358.036922,91432.709721,91473.219409,91535.978096,91557.776064,91574.755552,91462.078355,91396.11919,91174.346318,91103.716351,90980.311171,91035.069737,91052.790254,91165.176702,91262.126188
