dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44921.850243,43313.734447,45653.566746,45639.736607,45123.161036,44138.085935
DW_trees_gs_mode,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48419.052236,48747.007032,48026.842928,48790.371905,51380.172311,46029.518547
DW_trees_prob_10,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60553.630653,60239.526096,60583.024576,64241.824431,61922.12036,57757.693701
DW_trees_prob_25,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44864.368234,43621.706327,45301.049237,45952.383704,44687.719938,43527.628839
DW_trees_prob_50,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30718.600594,27005.657296,32758.98555,31739.306997,24314.807701,24165.554295
ESA_trees,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45060.832096,45006.956081,
ESRI_2020_trees,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36994.888565,,
ESRI_annual_trees,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36320.182682,37395.266592,36901.366386,37009.572734,36902.283085,36902.283085
Hansen_GFC,OH,,,,,,,,,,,,,,,,29680.417923,29627.125999,29577.054462,29530.702237,29477.781097,29410.756522,29348.515871,29274.805761,29195.138343,29139.51836,29058.433648,29001.584898,28921.084638,28873.157471,28816.964564,28754.01218,28672.202053,28576.640119,28525.124371,28477.958439,28423.07188,28374.027379,
LCMAP_trees,OH,35130.922069,35163.679196,35175.314103,35185.025781,35208.306381,35219.262187,35208.169475,35205.23076,35192.722168,35177.378477,35173.865103,35165.595772,35151.549176,35126.438025,35079.845576,35063.594636,35037.385736,35005.215112,34990.50025,34970.073109,34921.388297,34900.099344,34861.381199,34829.739021,34804.251314,34772.734792,34738.341938,34727.102936,34697.297354,34647.085983,34616.966604,34581.231088,34562.565758,34540.360009,34520.760892,34478.066339,34446.424983,
