dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52472.069717,50663.051285,55764.292038,54314.752679,54789.350745,50316.256812
DW_trees_gs_mode,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55925.63642,52757.109726,58459.481468,55549.568599,58501.859865,50640.649749
DW_trees_prob_10,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85435.536101,78185.985041,87973.269558,83945.352905,83078.580694,71007.08957
DW_trees_prob_25,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52488.451912,50558.850089,55675.30594,54420.895159,54497.318174,50433.259696
DW_trees_prob_50,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26232.543706,26928.622006,34022.019784,34082.048658,30747.371802,29299.32904
ESA_trees,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50350.943988,52649.892977,
ESRI_2020_trees,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42543.746803,,
ESRI_annual_trees,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39157.924709,41357.757697,41626.055085,40474.877489,39436.986628,39436.986628
Hansen_GFC,OK,,,,,,,,,,,,,,,,23127.827712,22920.451235,22728.030393,22609.281527,22426.840705,22225.034163,22022.04895,21821.120353,21623.531925,21467.58435,21312.598522,21142.996547,20937.405429,20801.424841,20652.256174,20532.411885,20378.695405,20228.658627,20111.591023,19990.634115,19899.142856,19821.965691,
LCMAP_trees,OK,38699.381964,38904.560555,39156.497463,39400.634325,39636.940058,39827.750604,39981.80232,40110.833279,40188.548452,40249.256071,40302.121203,40296.552324,40309.477814,40237.174867,40209.267836,40050.64963,39987.634531,40027.836631,40054.155236,40101.414225,40055.509058,39697.139502,39882.774709,39810.77857,39682.189454,39698.449164,38806.035631,38124.574531,38334.157161,38706.129854,39080.599408,39302.391684,39526.481368,39595.436502,39924.296936,40054.346858,40270.037544,
LCMAP_trees_woodywet,OK,39177.819299,39385.393305,39638.901921,39885.385545,40124.324149,40318.535767,40473.63007,40603.235812,40681.765376,40743.320784,40796.580681,40792.216556,40805.451501,40733.337621,40705.646159,40548.372112,40485.882088,40526.572041,40553.478935,40600.409015,40553.007123,40190.825025,40376.572182,40303.686402,40174.196996,40190.288901,39292.69944,38607.545816,38816.840385,39190.007181,39560.326108,39781.313756,40005.422301,40074.200625,40402.834605,40532.173076,40746.683015,
LCMS_all_trees_mixes,OK,49857.851188,50700.4371,51630.548332,51912.891903,52427.763031,52866.532602,53358.717172,53837.405901,54268.367788,54691.249845,55089.261388,55209.170008,55495.386218,55364.610868,55582.338938,55565.554725,55651.341635,56128.808668,56320.650081,56679.994916,56843.78929,55567.388396,56096.40066,56249.168869,56212.892565,56541.822501,54591.266107,54606.264554,55273.798083,55795.687295,56497.472587,56676.85194,56731.807845,56531.953662,56922.792903,57031.382498,56990.51413,55786.263642
LCMS_forest,OK,52322.690057,53726.87748,54400.890247,54349.355625,54815.501901,54894.276282,55318.796816,55805.896171,56049.476615,56347.163862,56721.237684,56642.800302,56825.685829,56376.670397,56591.084343,56391.022369,56367.814764,56852.633177,57006.769027,57456.444596,57706.449102,56332.484943,56953.481827,57042.466867,57110.359147,57696.018388,56084.004882,56690.228943,57762.472743,58462.785091,59624.552925,59858.871303,59976.514743,59876.151045,60454.165856,60742.233017,61132.720076,61706.582784
LCMS_trees,OK,46315.980568,47017.434617,47851.272204,48199.806187,48717.721295,49161.363472,49612.704508,50057.062747,50445.006599,50798.166801,51116.507562,51171.335583,51365.757642,51106.27627,51107.55306,50959.847124,50868.830696,51134.837043,51274.382615,51542.161694,51654.940732,50724.141688,51094.030609,51160.78878,51065.867191,51286.531888,49355.184525,48890.407927,49169.630855,49594.771549,50221.365582,50452.327087,50722.556534,50693.720435,51030.058842,51234.087663,51373.809112,50597.388243
LCMS_trees_shrubs_mix,OK,46316.121868,47017.575917,47851.409904,48199.929487,48717.855395,49161.475549,49612.813884,50057.188323,50445.124499,50798.287401,51116.625462,51171.460683,51365.897142,51106.41217,51107.67366,50959.976724,50868.963896,51134.981043,51274.52221,51542.316494,51655.099132,50724.308188,51094.308709,51161.08488,51066.196591,51286.904488,49355.822625,48891.313348,49170.522635,49595.548189,50222.048632,50452.878621,50723.078534,50694.199235,51030.525942,51234.558275,51374.316808,50598.024529
MODIS_1_IGBP,OK,,,,,,,,,,,,,,,,,4234.662745,6466.513725,7813.766666,9456.792156,10204.962745,8139.289215,9052.197058,10123.770588,10823.793137,10938.823529,7184.955882,5438.522549,6665.382352,8095.72647,8122.087254,8713.12549,9385.457843,9609.952941,10696.555882,10435.717647,10272.645098,
MODIS_2_UMD,OK,,,,,,,,,,,,,,,,,4240.162745,6466.513725,7813.766666,9456.792156,10204.962745,8139.289215,9052.197058,10123.770588,10823.793137,10938.823529,7184.955882,5438.522549,6665.382352,8095.72647,8122.087254,8713.12549,9385.457843,9609.952941,10696.555882,10435.717647,10272.645098,
MODIS_3_LAI,OK,,,,,,,,,,,,,,,,,4240.162745,6466.513725,7813.766666,9456.792156,10204.962745,8139.289215,9052.197058,10123.770588,10823.793137,10938.823529,7184.955882,5438.522549,6665.382352,8095.72647,8122.087254,8713.12549,9385.457843,9609.952941,10696.555882,10435.717647,10272.645098,
MODIS_4_BGC,OK,,,,,,,,,,,,,,,,,42864.388235,43423.998039,42174.537254,44089.994117,41957.149019,36739.357843,41920.068627,43279.8,44165.872549,45032.90196,42499.880392,40574.310784,41000.173529,41138.324509,42683.478431,43512.216666,44801.474509,45117.299019,46925.318627,48080.922549,48247.233333,
MODIS_5_PFT,OK,,,,,,,,,,,,,,,,,42858.347058,43413.161764,42170.20098,44089.744117,41957.149019,36739.357843,41920.068627,43279.8,44165.872549,45032.90196,42499.880392,40574.310784,41000.173529,41138.074509,42683.478431,43512.216666,44801.474509,45117.299019,46925.318627,48080.922549,48247.233333,
NLCD_canopy_10,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,55863.56713,,,,,56490.839671,,,,,,
NLCD_canopy_20,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,47942.800637,,,,,48525.51055,,,,,,
NLCD_canopy_60,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,32835.1413,,,,,32491.956741,,,,,,
NLCD_canopy_80,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,22029.784019,,,,,21138.545897,,,,,,
NLCD_canopy_perc,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,26864.730517,,,,,26399.426818,,,,,,
NLCD_forest,OK,,,,,,,,,,,,,,,,,40887.49704,,,40215.313905,,39651.051236,,39445.960919,,,39068.216731,,39394.224158,,,39573.15703,,,40009.680974,,40042.526947,
NLCD_forest_woodywet,OK,,,,,,,,,,,,,,,,,42272.2242,,,41600.333495,,41038.044649,,40818.996158,,,40445.03341,,40779.270289,,,40958.850518,,,41394.241672,,41422.040721,
