dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108722.585232,105281.389419,103905.693491,105026.626779,100924.622103,103801.334517
DW_trees_gs_mode,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106456.507225,103761.177235,102244.011562,103415.356689,101128.87111,102558.815452
DW_trees_prob_10,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140668.538133,136167.581766,139413.78005,137844.019711,132926.75016,134394.188456
DW_trees_prob_25,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112518.792787,110353.862996,108784.184138,109315.140831,105063.746174,105617.54011
DW_trees_prob_50,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83213.598827,83486.878606,79487.117306,79056.584007,74794.325831,74662.029675
ESA_trees,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112915.978871,113673.753396,
ESRI_2020_trees,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95914.387656,,
ESRI_annual_trees,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95793.773683,94154.799447,95391.362576,92359.740525,93009.119322,93009.119322
Hansen_GFC,OR,,,,,,,,,,,,,,,,74137.814887,73595.634935,72163.882232,71396.557346,70409.179767,69791.526586,69050.560941,68428.593213,67709.08464,67178.108526,66572.750082,65995.849978,65328.85145,64723.06982,64051.335161,63400.106161,62533.972959,61452.784465,60293.815987,59452.258697,57898.43855,56363.443011,
LCMAP_trees,OR,98878.725352,98611.194787,98130.238898,97574.690594,97214.181356,96959.273932,96702.71731,96501.929576,96571.396612,96712.287367,96969.082323,97160.192594,97264.125917,97391.999848,97353.708197,97342.064894,97390.369221,97395.142807,96438.710283,96304.396958,96409.218169,96408.627194,96433.185525,96446.577165,96653.405396,96877.261736,97046.366565,97140.365823,96905.560291,96724.069951,96510.694291,96295.140225,96287.879664,95587.31275,95159.864396,95381.296662,93794.275083,
