dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84046.639457,83762.498274,85276.057577,82465.447415,83122.878423,82186.684003
DW_trees_gs_mode,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85215.086322,87999.76439,88183.93933,87463.189412,90134.033827,86454.839885
DW_trees_prob_10,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99851.016953,98258.963936,99264.58156,98603.84025,99711.393444,96048.159846
DW_trees_prob_25,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83990.181307,83227.526845,84624.513155,83747.929205,83824.515432,81626.902343
DW_trees_prob_50,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59738.904209,47024.267969,54505.309546,55405.250668,46784.833154,27381.18445
ESA_trees,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84156.101412,83064.878634,
ESRI_2020_trees,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74700.375204,,
ESRI_annual_trees,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76303.670122,76098.998905,75502.554998,74709.292219,74719.58046,74719.58046
Hansen_GFC,PA,,,,,,,,,,,,,,,,65791.979611,65717.036554,65622.811122,65573.414059,65464.787118,65354.21595,65218.309066,65053.798181,64931.065967,64822.916567,64702.337992,64588.73458,64467.173384,64386.418934,64290.762771,64189.961994,64086.702757,63921.02163,63798.46262,63678.246286,63571.193213,63430.728813,
LCMAP_trees,PA,72647.225809,72675.046563,72687.388662,72686.298847,72708.014654,72710.728429,72698.218983,72685.815772,72679.216263,72674.488263,72663.901111,72654.891314,72642.575219,72632.390541,72572.025871,72540.389167,72498.814672,72456.024427,72434.386909,72393.575537,72338.029627,72293.658508,72227.224972,72183.014558,72155.049169,72118.309485,72076.655625,72046.170875,72003.104272,71963.435932,71925.746096,71892.454097,71854.660284,71828.948544,71787.670238,71729.225925,71656.262392,
LCMAP_trees_woodywet,PA,73928.911888,73956.855448,73969.301124,73968.388609,73990.633616,73993.861291,73981.959345,73970.011535,73963.617225,73958.862261,73948.524409,73939.826011,73928.154317,73918.451297,73859.183816,73828.380511,73786.995391,73743.92881,73721.938492,73680.377015,73623.661189,73577.78527,73509.989541,73465.208527,73436.604137,73399.072454,73356.521569,73325.119439,73280.983676,73239.905936,73200.947099,73165.656582,73126.669729,73099.672979,73057.216574,72997.558161,72923.486728,
LCMS_all_trees_mixes,PA,82560.234494,82524.720614,82721.619504,82797.989265,83067.146364,83172.573215,83178.687007,83351.551514,83502.350234,83678.444555,83858.339449,83968.686787,83926.552189,83943.644999,83902.47241,84001.801683,83988.077911,84198.752195,84202.03627,84242.023934,84255.890332,84336.965749,84417.380103,84495.528007,84567.06265,84591.237148,84648.163951,84699.552624,84647.422803,84532.760156,84420.91344,84261.360568,84200.612604,84143.31474,84219.921098,84293.090364,84430.801545,84643.162203
LCMS_forest,PA,80097.609794,80113.516087,79813.661442,79642.157209,79621.125564,79513.022834,79383.409044,79454.705149,79518.228554,79588.172082,79712.656425,79794.819317,79759.17547,79766.293228,79746.783645,79813.037258,79763.404831,79863.867285,79813.4583,79798.933051,79804.735503,79889.281231,79996.693867,80095.787396,80193.860777,80282.374574,80422.019223,80573.532091,80658.624772,80700.998047,80780.550187,80841.41352,80938.118015,81055.572624,81260.606227,81442.378101,81679.304604,82417.669824
LCMS_trees,PA,80645.892285,80554.192898,80661.541701,80680.912203,80856.785361,80936.147474,80901.87577,81000.093098,81102.329449,81241.235142,81389.585657,81462.785163,81382.98468,81347.192481,81252.923262,81291.142341,81266.826914,81420.253552,81410.210294,81438.475704,81446.614168,81497.88739,81546.222497,81598.878769,81656.282594,81664.985594,81690.25717,81722.680711,81658.664904,81581.963308,81498.710936,81343.286269,81315.430083,81304.076714,81411.684335,81544.472343,81753.650985,82045.879662
LCMS_trees_shrubs_mix,PA,80674.695952,80556.879204,80661.825201,80681.152503,80857.001361,80936.336474,80902.06207,81000.258698,81102.472549,81241.358442,81389.683757,81462.881463,81383.07918,81347.284281,81253.024962,81291.256641,81266.925914,81420.339952,81410.306594,81438.564804,81446.702368,81497.97199,81546.295397,81598.953469,81656.351894,81665.055794,81690.31477,81722.743711,81658.741404,81582.024508,81498.769436,81343.340269,81315.480483,81304.116314,81411.723935,81544.507443,81753.689685,82045.978662
MODIS_1_IGBP,PA,,,,,,,,,,,,,,,,,58723.028431,58207.194117,56666.929411,56659.811764,55351.194117,57525.72549,57185.379411,56578.082352,57851.884313,55802.015686,55378.653921,56617.547058,57711.070588,56588.95,54803.206862,55830.015686,55678.519607,56582.285294,56589.269607,57076.092156,57874.965686,
MODIS_2_UMD,PA,,,,,,,,,,,,,,,,,58770.82647,58214.444117,56669.179411,56660.061764,55351.694117,57525.97549,57185.629411,56578.832352,57853.384313,55804.015686,55380.903921,56619.297058,57712.320588,56589.2,54803.956862,55831.015686,55679.519607,56583.035294,56589.519607,57076.092156,57874.965686,
MODIS_3_LAI,PA,,,,,,,,,,,,,,,,,58770.82647,58214.444117,56669.179411,56660.061764,55351.694117,57525.97549,57185.629411,56578.832352,57853.384313,55804.015686,55380.903921,56619.297058,57712.320588,56589.2,54803.956862,55831.015686,55679.519607,56583.035294,56589.519607,57076.092156,57874.965686,
MODIS_4_BGC,PA,,,,,,,,,,,,,,,,,101904.539215,101089.816666,99365.143137,100819.204901,101130.830392,102231.454901,102596.695098,101823.336274,101797.295098,101842.705882,102539.320588,103347.957843,101682.916666,101249.680392,101584.467647,102519.429411,102669.098039,102731.054901,102239.349019,102651.516666,102923.20196,
MODIS_5_PFT,PA,,,,,,,,,,,,,,,,,101904.539215,101089.816666,99365.143137,100819.204901,101130.830392,102231.454901,102596.695098,101823.336274,101797.295098,101842.705882,102539.320588,103347.957843,101682.916666,101249.680392,101584.467647,102519.429411,102669.098039,102731.054901,102239.349019,102651.516666,102923.20196,
NLCD_canopy_10,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,83220.657405,,,,,82829.755627,,,,,,
NLCD_canopy_20,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,79176.729391,,,,,78776.268236,,,,,,
NLCD_canopy_60,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,66856.685414,,,,,66002.150604,,,,,,
NLCD_canopy_80,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,41489.639241,,,,,40321.677691,,,,,,
NLCD_canopy_perc,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,46981.012897,,,,,46196.216189,,,,,,
NLCD_forest,PA,,,,,,,,,,,,,,,,,70965.142743,,,70748.100963,,70540.168341,,70357.343689,,,70009.315958,,70064.220621,,,69906.843571,,,70255.338031,,70411.628322,
NLCD_forest_woodywet,PA,,,,,,,,,,,,,,,,,72826.128776,,,72603.583757,,72394.846644,,72226.550749,,,71881.291072,,71954.886084,,,71807.161235,,,72154.901703,,72311.193794,
FIA_forest,PA,,,,,,,,,,,,,,,,,,,,67068.5220022982,67087.5539331283,67176.0948940104,67241.9850930806,67386.7436776913,67741.1879044423,67838.4461241451,67911.2886815703,67778.3662874135,68793.5803999976,68457.4448809113,68386.0847996539,68177.1974919539,67946.7453634584,67800.2173257713,67266.7778791388,,,
FIA_forest_upper,PA,,,,,,,,,,,,,,,,,,,,67514.23506851321,67534.67181363571,67631.79783280817,67706.02111150151,67853.27460037333,68202.69525628244,68306.17487901152,68380.60064614048,68254.75964567189,69196.15143790323,68862.19561563352,68786.95765024463,68579.0364490544,68345.49256361894,68194.56919527665,67687.30457703899,,,
FIA_forest_lower,PA,,,,,,,,,,,,,,,,,,,,66622.80893608318,66640.4360526209,66720.39195521263,66777.94907465969,66920.21275500926,67279.68055260215,67370.71736927869,67441.97671700011,67301.97292915512,68391.00936209198,68052.69414618907,67985.21194906316,67775.35853485341,67547.99816329785,67405.86545626595,66846.25118123861,,,
FIA_timberland,PA,,,,,,,,,,,,,,,,,,,,64480.9955523004,64502.8243018301,64748.4837346091,64672.0846706665,64792.0876049993,65113.5152799223,65161.0344336262,65218.9598883276,65214.6115840776,66179.9720770211,65851.020469413,65793.9943495574,65570.1539605541,65338.5558873414,65204.6726874802,64679.1631734861,,,
FIA_timberland_upper,PA,,,,,,,,,,,,,,,,,,,,64975.39849096621,64998.59886564995,65242.8657388598,65180.8314658216,65297.3966106523,65615.23409515104,65669.42686099987,65728.47401073345,65730.37190785953,66634.69224501667,66308.04080206838,66248.7429684325,66025.15506256095,65790.69502420483,65652.21374164795,65148.53105178522,,,
FIA_timberland_lower,PA,,,,,,,,,,,,,,,,,,,,63986.592613634595,64007.04973801025,64254.1017303584,64163.33787551141,64286.778599346304,64611.796464693565,64652.64200625252,64709.445765921744,64698.851260295654,65725.25190902552,65394.000136757604,65339.24573068229,65115.15285854726,64886.416750477954,64757.13163331244,64209.79529518698,,,
EPA_forested,PA,,,,,,70257.1,70148.4,70039.79999999999,69931.09999999999,69817.6,69704.2,69590.8,69477.4,69364.0,69250.5,69132.1,69013.7,68895.3,68776.9,68658.5,68540.0,68391.2,68242.4,68093.5,67944.7,67795.8,67664.2,67532.5,67400.8,67269.2,67137.5,67005.8,66882.0,66758.2,66634.4,,,
NRI_total,PA,,,63423.715095103194,,,,,62885.47146904087,,,,,63095.91258599757,,,,,63383.2456495346,,,,,63318.49453662484,,,,,63298.259813840545,,,,,63431.808984216914,,,,,
NRI_grazed,PA,,,1048.158640226629,,,,,1056.252529340348,,,,,906.5155807365438,,,,,590.8539053014973,,,,,530.1497369486037,,,,,518.0089032780251,,,,,509.91501416430594,,,,,
NRI_notgrazed,PA,,,62375.55645487657,,,,,61829.21893970052,,,,,62189.397005261024,,,,,62792.3917442331,,,,,62788.34479967624,,,,,62780.25091056252,,,,,62921.89397005261,,,,,
