dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.40206,1855.777518,1909.755432,1794.289511,1834.791519,1840.608872
DW_trees_gs_mode,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.004055,1956.53797,2010.340686,1947.274281,2042.994579,1959.738726
DW_trees_prob_10,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298.874309,2251.108966,2272.512696,2209.660778,2257.461273,2235.532742
DW_trees_prob_25,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998.310894,1902.676003,1957.625018,1867.012174,1911.095503,1913.651914
DW_trees_prob_50,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319.700341,1028.196124,1194.715173,980.513774,847.582007,1067.080039
ESA_trees,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.327045,2096.072701,
ESRI_2020_trees,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.373558,,
ESRI_annual_trees,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566.29891,1570.882172,1518.352917,1539.413598,1561.187837,1561.187837
Hansen_GFC,RI,,,,,,,,,,,,,,,,1577.369801,1574.995114,1572.972728,1571.069588,1568.934305,1566.476947,1563.346537,1561.067899,1557.599703,1555.793661,1553.886623,1553.313657,1551.099137,1550.16777,1548.986033,1547.205128,1517.082587,1503.719023,1500.807101,1497.944869,1493.889704,1491.142156,
LCMAP_trees,RI,1289.067374,1290.19362,1291.046336,1290.895231,1291.49376,1291.753436,1291.409964,1291.040823,1290.613044,1290.610669,1290.26803,1290.358012,1290.276236,1290.217754,1288.452218,1287.226514,1285.261528,1283.54005,1281.500901,1280.394155,1278.15348,1274.893344,1272.314128,1269.679214,1269.092456,1267.251052,1266.471649,1266.025355,1265.368623,1263.520231,1261.338052,1243.648796,1244.672611,1246.595862,1248.010718,1246.558051,1245.584502,
LCMAP_trees_woodywet,RI,1453.242882,1454.364628,1455.476611,1455.367807,1455.977135,1456.252111,1455.917639,1455.601598,1455.181019,1455.177744,1454.847705,1454.933198,1454.842422,1454.747939,1452.992304,1451.794499,1449.838514,1448.084414,1446.005664,1444.871018,1442.498336,1439.077139,1436.317535,1433.501721,1432.900563,1430.98315,1430.111047,1429.616152,1428.835111,1426.830896,1424.403674,1405.975009,1406.844924,1408.567475,1409.875499,1408.322932,1407.340775,
LCMS_all_trees_mixes,RI,2078.503422,2083.049152,2087.50225,2088.926128,2095.887014,2103.749516,2110.229456,2114.37858,2121.536657,2130.153416,2136.43585,2143.784848,2149.704158,2151.596082,2153.29206,2158.991103,2161.644942,2163.82849,2166.87055,2168.856776,2167.788303,2170.392892,2172.898256,2175.40584,2179.253763,2180.641814,2182.687658,2184.050925,2184.215572,2179.748643,2176.442678,2167.227374,2164.182808,2160.591458,2160.448132,2158.922248,2161.168492,2155.646082
LCMS_forest,RI,1906.625085,1959.227587,1944.345285,1935.618561,1933.093309,1931.610554,1929.996243,1926.600688,1925.0649,1925.163885,1924.434624,1924.973135,1924.842278,1923.281322,1919.169956,1917.89413,1914.552981,1911.329375,1907.484695,1904.387809,1900.378648,1898.974341,1897.914021,1895.989457,1895.240332,1893.237508,1892.430338,1891.773247,1890.494389,1888.429644,1887.320103,1885.296832,1883.59452,1881.876974,1881.179131,1880.152612,1881.084194,1882.134825
LCMS_trees,RI,2043.712972,2046.952672,2051.362888,2052.244418,2059.054274,2066.530454,2072.929429,2076.802164,2083.170825,2091.554791,2097.299509,2104.207284,2109.735183,2110.764261,2111.535896,2116.154894,2118.658757,2120.802437,2123.81994,2125.704458,2124.222278,2125.874925,2127.617438,2129.444908,2132.88865,2133.719371,2135.002969,2135.343649,2135.017492,2131.569201,2127.904475,2117.698048,2112.2334,2109.112941,2109.127778,2108.852604,2111.957611,2108.258481
LCMS_trees_shrubs_mix,RI,2043.712972,2046.952672,2051.362888,2052.244418,2059.054274,2066.530454,2072.929429,2076.802164,2083.170825,2091.554791,2097.299509,2104.207284,2109.735183,2110.764261,2111.535896,2116.154894,2118.659657,2120.803337,2123.82084,2125.705358,2124.222278,2125.874925,2127.617438,2129.444908,2132.88865,2133.720271,2135.003869,2135.343649,2135.017492,2131.569201,2127.905375,2117.698948,2112.2343,2109.114741,2109.128678,2108.854404,2111.957611,2108.259381
MODIS_1_IGBP,RI,,,,,,,,,,,,,,,,,1522.090196,1579.643137,1532.42745,1601.263725,1529.22549,1580.078431,1592.929411,1603.07549,1598.554901,1608.744117,1590.283333,1611.671568,1575.218627,1526.47549,1435.273529,1383.358823,1346.60196,1401.142156,1429.77647,1416.484313,1491.610784,
MODIS_2_UMD,RI,,,,,,,,,,,,,,,,,1554.6,1593.143137,1549.67745,1619.263725,1546.97549,1595.578431,1608.179411,1618.57549,1615.804901,1628.494117,1610.783333,1634.171568,1599.218627,1549.72549,1457.773529,1404.608823,1368.35196,1421.892156,1451.02647,1434.984313,1510.110784,
MODIS_3_LAI,RI,,,,,,,,,,,,,,,,,1554.6,1593.143137,1549.67745,1619.263725,1546.97549,1595.578431,1608.179411,1618.57549,1615.804901,1628.494117,1610.783333,1634.171568,1599.218627,1549.72549,1457.773529,1404.608823,1368.35196,1421.892156,1451.02647,1434.984313,1510.110784,
MODIS_4_BGC,RI,,,,,,,,,,,,,,,,,2288.440196,2284.514705,2281.564705,2274.867647,2274.52647,2277.235294,2273.008823,2266.470588,2271.579411,2276.499999,2284.999999,2277.153921,2270.499999,2266.999999,2268.999999,2263.447058,2261.499999,2255.471568,2256.007843,2257.204901,2260.616666,
MODIS_5_PFT,RI,,,,,,,,,,,,,,,,,2288.190196,2283.014705,2281.564705,2274.867647,2274.52647,2277.235294,2273.008823,2266.470588,2271.579411,2276.499999,2284.999999,2277.153921,2270.499999,2266.999999,2268.999999,2263.447058,2261.499999,2255.471568,2256.007843,2257.204901,2260.366666,
NLCD_canopy_10,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,2195.99515,,,,,2188.142908,,,,,,
