dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58797.167466,58761.590583,58534.131076,59091.536507,58127.471616,57203.333437
DW_trees_gs_mode,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60200.097475,59236.523936,58992.002841,60713.684636,61495.297821,59184.576441
DW_trees_prob_10,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67766.137235,67503.992805,66770.936165,68433.824848,67263.556033,66493.980476
DW_trees_prob_25,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59460.982858,59121.294258,59029.844981,59864.728445,59013.303007,58370.05492
DW_trees_prob_50,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48428.5363,48637.601143,50174.013458,50111.803227,48168.486902,46329.017292
ESA_trees,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58897.273469,57393.773406,
ESRI_2020_trees,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50436.77661,,
ESRI_annual_trees,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51074.338563,50660.524319,50506.637286,50429.205318,49785.484101,49785.484101
Hansen_GFC,SC,,,,,,,,,,,,,,,,43339.226396,42617.21666,41810.365345,41273.684087,40476.986292,39707.833965,38925.709634,38164.685298,37410.46235,36872.890195,36097.330298,35448.793134,34671.501767,34001.377492,33243.536401,32562.3756,31733.633699,30866.929342,30109.624406,29416.306003,28764.514111,28201.926598,
LCMAP_trees,SC,30131.544021,30112.225972,30242.376892,30395.075385,30690.746011,30638.219103,31033.730728,31328.136532,31538.343882,31879.805982,32220.23797,32260.239299,32286.774014,32120.132117,32023.29463,31904.805388,32003.777608,32147.444255,32406.132465,32375.113598,32368.529668,32379.583852,32345.53842,32436.407534,32738.483029,32847.496214,32893.553368,32942.094638,32809.367738,32378.270082,32041.528429,31720.846238,31430.078985,31306.777312,31245.379778,31425.773548,31535.268748,
LCMAP_trees_woodywet,SC,37611.395255,37679.771961,37877.405301,38069.807467,38388.223217,38352.130785,38794.414976,39158.834442,39408.479597,39812.162336,40236.272107,40307.809612,40364.882498,40218.322425,40178.410327,40192.857624,40373.337038,40681.363874,40989.813945,40941.571461,40885.543803,40846.695017,40761.06901,40792.299105,41032.945874,41069.045908,41025.450268,40998.117825,40788.82561,40289.994303,39889.622685,39501.429614,39131.809817,38921.565635,38769.242188,38855.868448,38848.616798,
LCMS_all_trees_mixes,SC,55690.523029,55938.151489,56313.415464,56738.235663,57221.056637,57497.144184,57883.862399,58004.924699,58128.026876,58477.992607,58736.01979,58838.926697,58929.76423,58816.082424,58682.626224,58593.087088,58769.041482,58977.629322,59453.324082,59529.958394,59628.286125,59638.025865,59602.968914,59733.002572,60083.271335,60240.1629,60356.754201,60515.775981,60482.419115,60219.171758,60004.739103,59848.418216,59690.76367,59642.087477,59620.730167,59794.818998,59820.756624,59435.609092
LCMS_forest,SC,56522.768138,57489.421189,57707.375827,58073.738805,58300.349625,58336.870863,58530.823387,58526.853162,58652.742102,58849.591383,58947.763411,59018.926196,59143.462955,59132.747481,59122.691385,59073.779078,59208.941534,59296.466721,59498.991656,59487.191816,59556.600818,59575.711157,59592.605361,59623.269868,59786.867851,59886.074212,59978.146464,60103.170529,60110.790465,60072.954892,60108.720825,60171.150557,60094.30146,60151.935458,60205.456807,60326.704552,60362.993848,60483.01159
LCMS_trees,SC,53895.150889,54007.583435,54227.728552,54553.845112,54934.900937,55164.449022,55556.899094,55716.007111,55834.044741,56080.664212,56264.664921,56294.91259,56314.174185,56135.194771,55936.06273,55784.581898,55895.240756,56088.494075,56526.426974,56642.509976,56780.509923,56798.613497,56758.671469,56838.632636,57196.894884,57389.800842,57529.641635,57688.826809,57615.053675,57382.935335,57152.522692,56974.859908,56779.160597,56788.297584,56817.580482,57089.185454,57270.288811,57070.921051
