dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10550.462781,11724.63087,13457.792202,10490.504907,10361.416027,10556.690658
DW_trees_gs_mode,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11935.774259,15524.021382,23357.269722,12769.78085,11757.977589,11681.575827
DW_trees_prob_10,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31381.640424,36578.19181,54551.017481,28720.118156,30242.062243,27640.360089
DW_trees_prob_25,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8882.341347,8655.344208,8901.689642,8392.161346,8790.578038,8999.600346
DW_trees_prob_50,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2952.169289,2035.82058,1511.357647,2727.020999,2560.781163,3142.220787
ESA_trees,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6762.424758,8032.305077,
ESRI_2020_trees,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5855.275816,,
ESRI_annual_trees,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.542036,5948.461248,5277.980731,5338.592265,5074.68514,5074.68514
Hansen_GFC,SD,,,,,,,,,,,,,,,,2316.303996,2284.400561,2275.796514,2255.391127,2235.324907,2204.671214,2180.541311,2156.365472,2129.418261,2111.891033,2088.013341,2073.327533,2064.351901,1985.862917,1838.444092,1802.136167,1790.059362,1773.197031,1654.825575,1572.445546,1566.187711,1564.316224,
LCMAP_trees,SD,6603.392763,6679.132676,6684.415041,6669.897896,6646.802082,6671.11489,6674.745377,6684.367355,6706.984775,6720.003956,6756.171169,6774.996878,6793.391029,6813.402476,6835.770914,6849.436327,6702.469761,6658.902557,6645.732038,6591.452417,6599.530507,6587.629147,6581.633996,6608.134027,6632.142525,6660.920565,6673.977924,6690.825063,6702.525575,6812.419976,6786.477038,6773.279421,6796.522348,6969.44587,7215.526807,6893.535684,7126.026165,
LCMAP_trees_woodywet,SD,6738.193574,6822.703602,6825.332908,6800.698514,6772.203088,6795.027483,6800.302104,6811.542727,6842.364967,6863.23362,6905.870089,6926.570939,6948.156765,6970.603581,6995.633954,7006.585129,6857.81851,6807.430637,6792.84894,6741.828194,6755.298137,6747.123621,6756.888021,6785.417936,6822.649284,6859.600623,6860.568554,6859.288207,6857.963989,6960.591578,6932.178652,6920.535822,6945.781351,7129.331311,7448.595938,7127.89632,7308.582974,
LCMS_all_trees_mixes,SD,9594.550881,9765.264014,9936.273935,9827.655931,9910.957108,10078.565163,10264.886347,10414.261605,10527.390592,10613.295289,10820.607056,10914.167774,11062.821335,11136.09306,11247.255088,11170.930182,10879.810394,10339.211244,10417.216567,10486.781791,10685.546255,10405.105185,10622.341955,10921.354884,10909.992568,10808.413192,10941.012762,10754.039276,10906.009263,11244.711667,11232.733648,11187.223312,11190.924091,11379.440029,11556.703461,11195.884376,11074.560938,13046.313388
LCMS_forest,SD,10495.490978,10449.67669,10394.916095,10130.948985,10270.352262,10564.58647,10837.227067,11077.012549,10967.104302,10866.024561,11010.062004,11022.655224,11200.791568,11203.057711,11321.418571,11098.539423,10865.990699,10393.134938,10544.200552,10619.586402,10945.30387,10679.738043,10917.037902,11150.563898,10993.905998,10780.393058,10926.456561,10704.398865,10922.142511,11233.752543,11172.807649,11162.689754,11351.727377,12125.971997,12786.51468,11849.416334,11961.61087,17165.24251
LCMS_trees,SD,8547.097168,8649.43027,8802.455707,8708.457864,8762.764221,8888.748741,9023.735251,9141.626428,9195.895348,9254.794747,9393.867222,9459.564607,9566.978883,9610.227487,9691.096005,9623.854305,9350.345029,8973.775891,8973.753667,8999.26357,9135.423748,8965.095977,9087.433521,9264.806534,9250.186408,9150.884107,9217.0809,9036.565581,9085.952488,9286.898583,9275.802741,9255.108628,9297.903532,9460.44097,9599.636869,9376.815642,9357.868274,10519.187445
LCMS_trees_shrubs_mix,SD,8641.571124,8759.579156,8920.924662,8831.188891,8891.700042,9025.005292,9166.895943,9291.565722,9367.323494,9430.097467,9575.285022,9640.19851,9750.657391,9793.989257,9875.731309,9811.779832,9538.900616,9134.646197,9150.119675,9183.06516,9331.581607,9153.705084,9288.929601,9492.368297,9488.688437,9397.933256,9467.940575,9286.331032,9350.506182,9560.924636,9542.474283,9511.689218,9545.94079,9708.360656,9838.940329,9586.861584,9546.115376,10685.178465
MODIS_1_IGBP,SD,,,,,,,,,,,,,,,,,1239.560784,1125.333333,954.806862,1003.061764,995.318627,850.330392,824.521568,728.855882,718.338235,757.040196,810.568627,794.243137,626.252941,472.506862,409.00196,311.749019,252.941176,195.824509,180.038235,188.520588,238.02745,
MODIS_2_UMD,SD,,,,,,,,,,,,,,,,,1240.560784,1125.333333,954.806862,1003.061764,995.318627,850.330392,824.521568,728.855882,718.338235,757.040196,810.568627,794.243137,626.252941,472.506862,409.00196,311.749019,252.941176,195.824509,180.038235,188.520588,238.02745,
MODIS_3_LAI,SD,,,,,,,,,,,,,,,,,1240.560784,1125.333333,954.806862,1003.061764,995.318627,850.330392,824.521568,728.855882,718.338235,757.040196,810.568627,794.243137,626.252941,472.506862,409.00196,311.749019,252.941176,195.824509,180.038235,188.520588,238.02745,
MODIS_4_BGC,SD,,,,,,,,,,,,,,,,,4277.373529,4113.042156,3903.689215,3818.420588,3772.8,3850.858823,3859.718627,3780.939215,3786.494117,3817.088235,3833.095098,3466.638235,3358.211764,3345.092156,3397.389215,3192.713725,3343.957843,3597.295098,3570.318627,3254.721568,3309.418627,
MODIS_5_PFT,SD,,,,,,,,,,,,,,,,,4277.373529,4113.042156,3903.689215,3818.420588,3772.8,3850.858823,3859.718627,3780.939215,3786.494117,3817.088235,3833.095098,3466.638235,3358.211764,3345.092156,3397.389215,3192.713725,3343.957843,3597.295098,3570.318627,3254.721568,3309.418627,
NLCD_canopy_10,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,6806.361236,,,,,6680.599062,,,,,,
NLCD_canopy_20,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,5461.713014,,,,,5162.908507,,,,,,
