dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68297.516109,71698.582742,73319.124376,72553.487482,68639.595351,70719.713584
DW_trees_gs_mode,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67952.01481,75257.069554,77476.803145,76698.213682,78172.613578,74971.539467
DW_trees_prob_10,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86802.939443,88425.919048,88071.012153,89198.732292,87589.98374,84967.865894
DW_trees_prob_25,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71426.418274,72403.819089,73490.712046,73794.94042,71777.783262,71402.743948
DW_trees_prob_50,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43388.615985,50762.470707,58141.007715,54598.578609,42154.039497,46660.405925
ESA_trees,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70912.39091,70741.168945,
ESRI_2020_trees,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63307.439415,,
ESRI_annual_trees,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64556.217372,64491.253925,63859.726831,63222.037421,62880.907745,62880.907745
Hansen_GFC,TN,,,,,,,,,,,,,,,,53365.877351,52991.673025,52700.098748,52461.473101,52107.751518,51747.766027,51377.473043,50983.801128,50630.980184,50418.628317,50116.449303,49882.945178,49615.336712,49411.730482,49208.493719,48973.662156,48698.612932,48360.697554,48147.439278,47937.435458,47738.404366,47555.777632,
LCMAP_trees,TN,58559.704337,58704.885688,58786.372044,58859.893037,59019.722347,59093.298779,59152.423637,59184.516907,59179.392882,59159.199547,59125.797395,59003.542111,58879.840937,58656.365901,58382.272235,57961.571915,57730.258143,57620.320175,57553.683832,57492.158375,57383.388592,57226.597087,57012.119675,56985.675391,57043.060097,57037.502382,56953.720111,57025.011321,57055.868128,56991.348045,56976.408239,56929.741334,56875.639122,56838.982683,56808.85615,56725.890307,56596.904459,
LCMAP_trees_woodywet,TN,60471.429991,60621.180772,60706.513514,60784.175392,60951.321395,61027.482518,61090.251967,61127.210678,61123.807535,61105.202791,61073.258371,60952.10017,60829.298911,60606.410618,60333.591419,59927.068397,59698.408912,59587.998702,59520.902728,59458.616061,59347.520336,59185.128095,58961.592215,58930.947102,58986.959177,58978.22767,58885.484096,58952.915675,58978.882694,58909.296197,58890.463023,58839.575354,58781.167171,58740.771748,58707.684716,58620.349577,58486.050292,
LCMS_all_trees_mixes,TN,71037.310895,71675.600057,72044.236079,72416.843495,72920.605062,73270.402888,73645.504062,73954.975718,74231.799201,74575.800137,74831.893538,74988.090487,75092.756908,75057.670072,74660.684099,74582.434355,74752.330002,74917.575656,75156.838019,75320.149507,75399.215258,75379.938151,75295.991262,75520.620839,75709.262618,75838.660609,75908.048071,76048.89486,76158.977385,76133.930357,76184.280783,76125.851382,76008.198575,75997.123284,76098.418157,76153.448181,76262.511405,76289.410732
LCMS_forest,TN,68336.929538,68914.61461,68954.67817,69017.12533,69349.845056,69447.393282,69700.669309,69861.502694,70021.903905,70303.933997,70484.833079,70577.328589,70664.503852,70632.792557,70417.914875,70382.077394,70478.107365,70490.716648,70666.624912,70733.692852,70770.400747,70760.10541,70819.446162,71019.761767,71114.297629,71293.358255,71355.562041,71493.913877,71591.769547,71563.274841,71735.239979,71823.489487,71904.761819,72111.369967,72402.091958,72622.905564,72989.902041,73664.247183
LCMS_trees,TN,66220.012012,66657.896283,66906.670817,67156.663489,67548.325348,67858.358643,68201.864844,68477.676998,68728.831577,68999.633068,69209.148282,69247.729634,69243.304545,69069.679337,68604.897021,68356.789298,68343.872879,68386.48525,68544.285578,68656.718459,68702.106836,68621.003572,68498.503252,68541.632703,68666.262296,68774.321237,68765.017552,68771.254983,68700.046665,68580.55602,68621.622681,68544.983537,68477.630159,68521.105701,68661.821276,68797.046227,69029.235497,69277.519976
LCMS_trees_shrubs_mix,TN,66220.055001,66657.939289,66906.704664,67156.693316,67548.354712,67858.393122,68201.886635,68477.704136,68728.857892,68999.658543,69209.178321,69247.75663,69243.335347,69069.703859,68604.930656,68356.820661,68343.902191,68386.521367,68544.313595,68656.750478,68702.137408,68621.03227,68498.539058,68541.667295,68666.297181,68774.356581,68765.05183,68771.294608,68700.080728,68580.589069,68621.653718,68545.024475,68477.696212,68521.18584,68661.927861,68797.14438,69029.289405,69277.709022
MODIS_1_IGBP,TN,,,,,,,,,,,,,,,,,43991.423529,43318.220588,43431.402941,46111.32549,46552.692156,45257.773529,41559.635294,41248.028431,44318.299019,44073.92549,43187.863725,40681.666666,43032.466666,43338.529411,42898.992156,42054.991176,42399.744117,42768.083333,42856.214705,42863.009803,43127.754901,
MODIS_2_UMD,TN,,,,,,,,,,,,,,,,,44061.617647,43326.220588,43435.652941,46114.07549,46555.942156,45260.773529,41562.135294,41252.028431,44321.299019,44077.67549,43191.863725,40686.416666,43036.466666,43341.029411,42900.022549,42056.491176,42402.994117,42771.083333,42858.464705,42864.759803,43129.754901,
MODIS_3_LAI,TN,,,,,,,,,,,,,,,,,44061.617647,43326.220588,43435.652941,46114.07549,46555.942156,45260.773529,41562.135294,41252.028431,44321.299019,44077.67549,43191.863725,40686.416666,43036.466666,43341.029411,42900.022549,42056.491176,42402.994117,42771.083333,42858.464705,42864.759803,43129.754901,
MODIS_4_BGC,TN,,,,,,,,,,,,,,,,,92492.869607,92276.318627,91805.338235,92137.114705,91055.543137,90626.070588,90503.163725,90513.607843,91607.47745,90443.753921,90782.509803,91355.808823,91930.858823,91529.829411,91298.082352,90761.804901,91649.434313,92785.572549,93053.373529,93947.716666,94206.995098,
MODIS_5_PFT,TN,,,,,,,,,,,,,,,,,92486.619607,92272.068627,91804.338235,92135.614705,91054.543137,90623.570588,90498.913725,90509.357843,91606.47745,90442.753921,90782.509803,91355.808823,91930.608823,91529.829411,91297.832352,90760.406862,91648.434313,92783.822549,93050.623529,93940.216666,94205.995098,
NLCD_canopy_10,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,70856.806489,,,,,70657.553029,,,,,,
NLCD_canopy_20,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,66997.733357,,,,,66798.506851,,,,,,
NLCD_canopy_60,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,56407.281479,,,,,55461.317777,,,,,,
NLCD_canopy_80,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,47027.287161,,,,,43358.815274,,,,,,
NLCD_canopy_perc,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,47300.582279,,,,,44281.560114,,,,,,
NLCD_forest,TN,,,,,,,,,,,,,,,,,55405.936552,,,54843.918921,,54115.610735,,54037.248416,,,54223.47529,,55067.393202,,,55116.888547,,,55376.116044,,55402.390312,
NLCD_forest_woodywet,TN,,,,,,,,,,,,,,,,,58863.370778,,,58236.731742,,57512.260097,,57435.921222,,,57622.354821,,58522.355996,,,58569.624268,,,58834.941818,,58859.527687,
FIA_forest,TN,,,,,,,,,,,,,,,,,,,55881.3335347275,55929.8075756661,56337.3549656973,56552.1217758317,56617.137855731,56571.5301409037,56672.6254682067,56480.9347510786,56418.6234330202,56334.3301903279,56523.0626502894,56171.8004224745,56249.3371569295,56330.3033784154,56176.6479329104,,,,,
FIA_forest_upper,TN,,,,,,,,,,,,,,,,,,,56289.226235302325,56337.31411841642,56746.61711014906,56961.058220570274,57032.87786978953,56991.652358663625,57090.24379282685,56901.12995560305,56837.39351879155,56756.6531854935,56949.16893350974,56563.13935121386,56642.38444905548,56724.984494368306,56572.34728409688,,,,,
FIA_forest_lower,TN,,,,,,,,,,,,,,,,,,,55473.44083415267,55522.30103291578,55928.09282124553,56143.185331093126,56201.39784167247,56151.40792314377,56255.007143586554,56060.739546554156,55999.85334724885,55912.007195162296,56096.95636706906,55780.46149373514,55856.28986480352,55935.6222624625,55780.94858172391,,,,,
FIA_timberland,TN,,,,,,,,,,,,,,,,,,,53716.1842751853,53783.1747515027,54094.7635499712,54379.8503959374,54455.8345716239,54374.4265355233,54450.5844635514,54202.4131426617,54101.3043478074,53987.5402002774,54173.1740782682,53827.9158665349,53910.026351033,53963.3702417889,53778.3955627527,,,,,
