dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163349.612769,147423.321658,174175.272138,164618.480706,175915.499231,145404.04023
DW_trees_gs_mode,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153420.207608,133564.108988,160978.926581,142280.539214,176547.480292,130477.253613
DW_trees_prob_10,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329670.537493,309906.996815,338098.879682,311859.760921,328557.615869,288415.154962
DW_trees_prob_25,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184255.738942,176586.542839,196092.599409,186429.269896,194092.547202,168503.580666
DW_trees_prob_50,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88904.561465,84758.621166,95208.165432,93646.142739,91899.62013,84950.84217
ESA_trees,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150727.018271,167927.332255,
ESRI_2020_trees,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113741.701103,,
ESRI_annual_trees,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95357.173032,100065.639473,101178.927145,102630.860777,98007.666865,98007.666865
Hansen_GFC,TX,,,,,,,,,,,,,,,,60315.699325,59376.829757,58659.083759,58006.26397,57013.108545,56017.809353,55130.865807,54119.870906,53229.042774,52465.615668,51550.592265,50449.732398,49362.968187,48664.012148,47912.351315,47320.498015,46604.638833,45934.542794,45363.571142,44832.419342,44278.345522,43821.348348,
LCMAP_trees,TX,73861.019346,75100.49055,76206.390215,76097.955016,76256.443884,77196.583912,78498.773837,79442.0831,79651.17938,79808.190476,80181.94957,79654.922219,79683.23907,78823.430618,78545.945141,76627.399619,76228.790992,76731.624101,76915.997318,77229.386713,77454.051648,74066.196472,74890.512818,73648.048584,72886.489675,74030.086877,67913.251178,65687.755259,66404.692852,67797.343414,71113.528612,72056.713806,73313.598673,73116.110286,75595.285951,75662.625176,77257.022226,
LCMAP_trees_woodywet,TX,88906.150397,90234.160446,91358.746273,91295.464845,91495.750188,92470.050948,93818.746107,94799.696855,95018.154239,95182.952858,95558.841405,95036.535348,95053.422726,94158.789613,93869.787119,91930.51646,91519.407849,92003.075702,92154.369515,92404.500306,92501.668605,88890.4382,89659.85946,88289.572979,87341.919225,88395.637418,81989.620478,79638.720924,80271.714962,81645.971515,84943.033281,85833.045147,87021.598093,86765.325952,89204.598334,89202.69193,90710.671372,
LCMS_all_trees_mixes,TX,144384.695251,157056.805806,160233.985922,160881.038957,162004.72844,163921.408785,166248.965438,168753.939253,170330.572795,172059.923632,173710.489178,173999.192406,175825.116889,175745.41748,176273.965372,175089.610216,178283.038474,182150.124638,184506.539043,187211.384159,189044.674898,185051.555622,187569.504765,185987.534205,185169.919933,188243.067903,178991.335097,181597.276855,184345.147552,188301.3977,195074.979367,197176.055932,198198.045391,195612.046121,197437.383274,197184.407529,197026.369344,184812.081811
LCMS_forest,TX,135565.173197,153173.720689,156105.093705,155889.824939,156290.1827,157162.846609,158995.605987,160307.808864,161003.275866,162388.800602,163761.56089,163031.012498,164673.61772,164152.040318,164842.582036,163411.641829,165875.849929,169225.636185,171031.98386,173249.544027,174609.070485,171529.366608,174369.712407,172373.318811,171499.837997,174668.621936,166040.843427,169180.141018,171590.639756,175466.304874,182348.729201,184308.583676,185662.361791,183049.299119,185661.566985,186611.007666,188677.882396,182483.608693
