dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25327.644309,20188.511292,23330.474547,21884.529601,23304.826265,19422.077276
DW_trees_gs_mode,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24163.438955,20764.506562,23535.942927,21116.33884,23972.217166,20757.850527
DW_trees_prob_10,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58132.649156,50230.182037,52521.857029,51839.701009,52371.866472,45751.180301
DW_trees_prob_25,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27809.084135,22945.948,24588.684701,24865.875933,25077.012507,19590.601155
DW_trees_prob_50,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6045.446058,4960.310722,4709.532376,5841.910408,4664.313654,3212.963762
ESA_trees,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42214.068486,45207.175802,
ESRI_2020_trees,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18257.888981,,
ESRI_annual_trees,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15556.18487,18150.546621,15686.619478,14376.231594,13223.091239,13223.091239
Hansen_GFC,UT,,,,,,,,,,,,,,,,11345.822203,11312.242755,11201.959764,11176.549924,11121.388003,11016.949093,10994.997197,10941.18733,10908.053673,10865.165404,10828.147962,10684.297553,10617.07861,10602.815647,10590.138065,10583.281317,10565.717411,10427.359962,10289.853088,10192.458897,10119.537958,10058.360046,
LCMAP_trees,UT,56675.886303,56694.551668,56685.800456,56664.306998,56624.028518,56598.292955,56626.555732,56670.371015,56732.195862,56755.641081,56895.015109,56893.483259,56765.172998,56796.360338,56791.254688,56705.952374,56635.815674,56366.771961,56271.614558,56194.843792,56199.540991,56106.266788,55955.105604,55708.407522,55709.583434,55620.10896,55621.523809,55553.118045,55363.678619,55286.299891,55262.838903,55223.021237,55089.604965,54865.263825,54576.748662,54488.679988,54422.005711,
