dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76012.247595,76444.075911,76653.484603,75907.772945,74732.51177,74209.425339
DW_trees_gs_mode,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73271.668169,80322.75532,79146.756125,80078.775536,80277.926914,80508.756637
DW_trees_prob_10,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89751.589776,90109.913661,88164.601306,91077.075809,90030.857661,88259.358437
DW_trees_prob_25,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77626.733695,77458.217176,77380.097348,78272.6727,77606.902217,76492.697414
DW_trees_prob_50,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55887.082748,55661.532429,62010.726778,52524.804607,54877.557694,46825.352525
ESA_trees,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76152.843373,75075.549684,
ESRI_2020_trees,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68187.425627,,
ESRI_annual_trees,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69206.626314,69443.040783,68553.820796,68094.549925,68133.735767,68133.735767
Hansen_GFC,VA,,,,,,,,,,,,,,,,59615.37871,59142.595432,58678.709582,58332.471446,57867.858707,57342.186304,56785.80191,56222.492667,55658.578646,55172.749166,54655.445417,54203.169685,53685.998664,53199.983696,52660.603533,52099.820475,51500.108545,50898.54738,50377.404103,49897.239058,49456.507259,49043.600099,
LCMAP_trees,VA,63932.100942,63968.998365,63938.44705,63932.066198,63971.910338,63988.585549,64060.337749,64152.533219,64145.418596,64173.53346,64168.056885,64037.963047,63834.488149,63593.037232,63146.976698,62914.790565,62800.513821,62695.381711,62685.585914,62584.139978,62520.870402,62391.988503,62238.454662,62069.837145,62003.46631,61896.134964,61868.96346,61860.294628,61795.582937,61602.344495,61359.852808,61217.914704,61007.506016,60897.364418,60788.956157,60654.091644,60511.875423,
LCMAP_trees_woodywet,VA,66775.2759,66807.636554,66773.686962,66763.832523,66801.739849,66818.255117,66883.301982,66968.475801,66958.372044,66975.161925,66956.212055,66817.919082,66609.823394,66347.304797,65879.044182,65636.742854,65510.325568,65376.59017,65355.291942,65237.754991,65168.41014,65018.965365,64847.430868,64653.455604,64564.802975,64444.832389,64407.446209,64390.575165,64313.27016,64106.350538,63840.871563,63688.122229,63462.621938,63337.439304,63221.880998,63072.087007,62921.421049,
LCMS_all_trees_mixes,VA,77735.358832,77919.442351,78173.077256,78527.111742,78843.339582,79032.113625,79184.099788,79375.379604,79443.463662,79563.611647,79707.409051,79758.641145,79595.895427,79534.066743,79402.960447,79503.013475,79477.260737,79515.369599,79732.039411,79819.739064,79845.452922,79849.646477,79839.731015,79983.264314,80164.36459,80317.848744,80617.657157,80802.286718,80891.650284,80789.683245,80696.612057,80643.738624,80537.410351,80561.017764,80622.822977,80789.527344,80943.877411,81035.181797
LCMS_forest,VA,75827.317277,76291.694092,76249.62222,76415.346642,76510.546478,76486.957408,76547.605948,76637.969188,76606.089049,76683.404152,76740.689036,76785.358994,76642.010117,76636.447627,76488.454944,76535.892201,76503.480352,76473.641336,76597.604456,76589.443715,76612.900316,76632.958764,76681.581123,76774.263024,76867.100897,76987.15183,77141.091031,77271.795871,77353.007597,77362.846288,77444.269842,77543.228971,77663.665881,77858.919681,78068.689136,78252.260622,78433.246065,78935.009481
LCMS_trees,VA,74298.588688,74366.331984,74534.755238,74861.964151,75191.333096,75408.91962,75581.774872,75735.565139,75748.873937,75793.904611,75871.127075,75842.11555,75568.348196,75390.045794,75085.192927,75049.339288,74942.33874,74913.401318,75030.87967,75036.568538,75024.53917,74932.45194,74821.875748,74833.407236,74966.773429,75089.301571,75259.80589,75369.083689,75361.689765,75264.684402,75187.471065,75122.982504,75043.6758,75069.183737,75152.795047,75383.641002,75651.820856,75914.733261
LCMS_trees_shrubs_mix,VA,74299.408771,74366.632058,74534.956838,74862.134625,75191.49457,75409.04652,75581.873872,75735.65064,75748.938737,75793.968511,75871.184675,75842.17045,75568.408496,75390.096194,75085.246027,75049.395988,74942.38734,74913.450818,75030.93997,75036.624338,75024.59407,74932.508639,74821.943248,74833.470236,74966.845429,75089.378071,75259.89139,75369.161989,75361.766265,75264.768102,75187.548465,75123.057204,75043.7667,75069.271037,75152.867947,75383.717502,75651.921656,75914.909661
MODIS_1_IGBP,VA,,,,,,,,,,,,,,,,,48125.260784,46015.711764,47164.453921,50136.547058,50083.00098,50223.672549,48369.495098,48471.27549,49935.858823,44888.893137,46528.329411,46458.837254,48821.77745,48317.730392,47123.710784,47867.636274,47214.744117,49217.137254,48029.838235,48390.861764,48612.364705,
MODIS_2_UMD,VA,,,,,,,,,,,,,,,,,48201.015686,46050.40098,47189.830392,50158.169607,50107.299019,50249.785294,48396.905882,48505.098039,49976.867647,44936.128431,46581.565686,46512.706862,48871.606862,48359.660784,47158.417647,47904.268627,47256.595098,49260.044117,48071.196078,48425.043137,48647.980392,
MODIS_3_LAI,VA,,,,,,,,,,,,,,,,,48201.015686,46050.40098,47189.830392,50158.169607,50107.299019,50249.785294,48396.905882,48505.098039,49976.867647,44936.128431,46581.565686,46512.706862,48871.606862,48359.660784,47158.417647,47904.268627,47256.595098,49260.044117,48071.196078,48425.043137,48647.980392,
MODIS_4_BGC,VA,,,,,,,,,,,,,,,,,92943.907843,93604.423529,93025.120588,94103.781372,94499.595098,95241.286274,95222.504901,95313.223529,95460.662745,95001.391176,95427.803921,95716.865686,95458.02549,95272.364705,95616.390196,95859.309803,95967.886274,96371.509803,96391.083333,96839.857843,96940.392156,
MODIS_5_PFT,VA,,,,,,,,,,,,,,,,,92939.907843,93599.173529,93022.370588,94102.281372,94497.595098,95235.036274,95217.254901,95307.473529,95458.662745,95001.391176,95427.303921,95716.365686,95457.27549,95269.114705,95613.390196,95855.809803,95964.386274,96366.009803,96385.333333,96831.607843,96933.392156,
NLCD_canopy_10,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,76925.490148,,,,,76347.754436,,,,,,
NLCD_canopy_20,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,74040.005608,,,,,73463.346296,,,,,,
NLCD_canopy_60,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,63546.689364,,,,,62300.60479,,,,,,
NLCD_canopy_80,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,54336.660755,,,,,52143.014971,,,,,,
NLCD_canopy_perc,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,52560.34349,,,,,50913.032423,,,,,,
NLCD_forest,VA,,,,,,,,,,,,,,,,,60490.092271,,,60150.255974,,59559.223355,,59330.68579,,,58987.624902,,59183.410612,,,58244.18395,,,58726.478611,,58486.69224,
NLCD_forest_woodywet,VA,,,,,,,,,,,,,,,,,65590.776052,,,65228.642618,,64577.522922,,64421.121974,,,64002.575294,,64299.614325,,,63347.013176,,,63819.825599,,63575.169554,
FIA_forest,VA,,,,,,,,,,,,,,,,,,,63996.6106595463,,63898.9008829996,63858.6569043275,64217.608451803,64315.3056968783,64177.3141377594,64215.2290370937,64373.5693949506,64277.239342972,64406.9160994587,64922.932621075,64991.1725234276,65029.4174775844,65017.7037046163,65023.4129192988,64854.4768622147,,,
FIA_forest_upper,VA,,,,,,,,,,,,,,,,,,,64407.67905862631,,64306.471041232835,64270.40234486412,64636.99463740598,64736.48974884676,64586.250636450815,64637.411342720436,64790.57410333333,64680.76352912375,64809.983783997755,65319.79947563033,65385.68285600212,65424.20126950013,65412.62805634423,65421.728110554075,65254.82556197298,,,
FIA_forest_lower,VA,,,,,,,,,,,,,,,,,,,63585.54226046629,,63491.33072476637,63446.911463790886,63798.22226620001,63894.121644909836,63768.377639067985,63793.04673146696,63956.56468656787,63873.71515682025,64003.848414919645,64526.06576651967,64596.66219085309,64634.63368566867,64622.77935288838,64625.09772804352,64454.12816245642,,,
FIA_timberland,VA,,,,,,,,,,,,,,,,,,,61970.7033476466,,61687.8575248132,61577.760072216,61758.628548889,61854.1318078246,61749.2689776385,61838.6643914704,61906.4259002893,61762.5932614709,61856.9479594859,62199.1710499925,62266.1318747483,62266.5754736461,62273.530776137,62315.8803814306,62186.0068308759,,,
FIA_timberland_upper,VA,,,,,,,,,,,,,,,,,,,62425.14029652927,,62141.05215084687,62033.57944449731,62226.107049904975,62323.38121664273,62205.29017407452,62305.2136819586,62370.84062078925,62218.22956965947,62313.39045893374,62646.56909927389,62710.29036262499,62712.11152925099,62718.701138356126,62763.32730656616,62634.531091857316,,,
FIA_timberland_lower,VA,,,,,,,,,,,,,,,,,,,61516.26639876393,,61234.66289877953,61121.94069993469,61291.15004787302,61384.88239900646,61293.24778120248,61372.11510098219,61442.011179789355,61306.95695328234,61400.50546003806,61751.77300071112,61821.973386871614,61821.03941804121,61828.36041391787,61868.43345629504,61737.482569894484,,,
