dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20558.17578,20930.558422,21062.154767,20609.665084,21058.737238,19772.538771
DW_trees_gs_mode,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20625.927766,21423.716399,21360.923211,21394.789254,21682.159769,21126.595764
DW_trees_prob_10,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22020.195562,22724.19095,22558.678055,22459.357846,22708.334929,22355.040709
DW_trees_prob_25,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20384.43483,20678.932683,20647.726549,20463.657553,20735.166597,19878.809446
DW_trees_prob_50,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16863.673064,12890.822717,9453.841871,11012.840987,10132.586479,7350.153636
ESA_trees,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20124.671438,20135.484402,
ESRI_2020_trees,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19062.681595,,
ESRI_annual_trees,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19846.704171,19949.156037,19589.015986,19772.729501,19544.142505,19544.142505
Hansen_GFC,VT,,,,,,,,,,,,,,,,17785.887888,17759.429648,17740.687678,17732.446443,17712.867359,17691.247395,17663.198623,17644.630469,17622.175228,17598.981769,17562.253635,17545.816734,17518.465034,17502.365113,17479.576663,17456.028509,17427.185143,17395.825819,17359.123201,17328.220231,17299.791821,17274.107644,
LCMAP_trees,VT,18162.241316,18169.733636,18178.492062,18181.14925,18180.275054,18178.676191,18177.130884,18174.623248,18171.767488,18170.737736,18168.468176,18165.041876,18160.343876,18155.964476,18147.813709,18142.630609,18132.933367,18124.027207,18117.84294,18110.658995,18099.073362,18086.775427,18076.098847,18067.856978,18058.837616,18041.7657,18032.402901,18026.791327,18016.840443,18002.343239,17983.251628,17952.502087,17941.704476,17928.638901,17919.869901,17899.712657,17886.614541,
LCMAP_trees_woodywet,VT,18754.421929,18762.07386,18770.636085,18772.961205,18771.996109,18770.442677,18768.94057,18766.836896,18764.256451,18763.183969,18760.918203,18757.629603,18752.962316,18748.546072,18740.320955,18734.898455,18724.735912,18715.267252,18708.673485,18700.954034,18688.184001,18674.569129,18662.730649,18653.405181,18643.472318,18624.898302,18614.685903,18608.028529,18596.931045,18580.873376,18560.314891,18527.644616,18516.000052,18501.964623,18492.3282,18471.184415,18457.563543,
LCMS_all_trees_mixes,VT,20647.038169,20676.015582,20715.449911,20712.379549,20733.706503,20755.099785,20769.452851,20773.740483,20766.4128,20784.588582,20797.298417,20810.181331,20819.533934,20824.094901,20819.44074,20822.883144,20825.167785,20828.081092,20827.194338,20824.908095,20829.813836,20837.69365,20841.97344,20850.567243,20856.866188,20858.072932,20856.110025,20849.623281,20846.272595,20832.770989,20821.70664,20804.256472,20784.668551,20761.033143,20767.458981,20768.247208,20781.37566,20778.680784
