dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90610.537649,89011.929545,86835.148929,88571.347199,86176.244354,89264.280445
DW_trees_gs_mode,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90376.176128,88972.441149,88527.65257,88955.760821,87130.348767,88826.822131
DW_trees_prob_10,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110216.291087,108756.002691,107197.976408,106823.734735,104245.169718,108460.696527
DW_trees_prob_25,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91240.295463,89434.647804,88278.973756,89391.856159,87568.19353,89882.733943
DW_trees_prob_50,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71220.17697,69936.776104,66943.168347,69329.052652,67715.557819,71676.071473
ESA_trees,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92273.588386,90824.405983,
ESRI_2020_trees,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79421.966516,,
ESRI_annual_trees,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79998.993426,79444.464939,79385.222174,77881.908156,78675.26123,78675.26123
Hansen_GFC,WA,,,,,,,,,,,,,,,,68582.258693,67959.567324,67403.164767,66768.467508,65945.489311,65288.894271,64253.94343,63536.4646,62800.477936,62335.345854,61845.932007,61386.342799,60724.832878,60193.872008,59560.487307,58713.274017,57618.841592,56752.921829,55962.126035,55339.059247,54816.631614,53995.196793,
LCMAP_trees,WA,78536.231054,78261.893523,77826.498031,77468.923291,77108.740037,76863.262856,76657.020187,76479.047174,76582.85364,76699.559534,76627.401137,76747.996567,76916.667836,76962.095844,76887.830308,76883.830185,76934.212267,76874.776277,76803.411201,76537.902056,76448.600869,76358.905916,75861.793256,75835.861115,75868.486845,75982.453429,76044.21673,76112.635496,75921.398085,75819.056661,75455.267152,74962.079908,74905.919417,74489.713154,74274.382372,74303.648954,74121.784524,
LCMAP_trees_woodywet,WA,79748.823621,79471.93279,79034.435798,78675.613658,78314.074104,78068.48532,77862.84835,77687.220737,77795.38218,77913.510074,77844.617777,77966.812507,78136.841054,78182.211462,78109.484025,78109.330503,78161.667296,78102.575107,78031.61143,77763.251085,77674.002021,77584.955968,77082.656608,77053.895805,77084.186936,77196.564797,77255.88042,77322.024885,77126.088797,77020.437172,76651.557264,76154.957805,76098.730715,75676.321651,75457.80487,75484.774662,75297.414832,
LCMS_all_trees_mixes,WA,97812.877464,98241.971703,98608.196498,98840.774802,99110.754229,99382.4808,99601.962794,99733.253611,100172.886028,100439.615068,100551.398435,100663.130689,100765.380642,100785.86832,100734.380544,100717.163131,100596.997097,100579.316428,100480.579754,100514.88031,100751.318269,100708.973191,100482.991595,100628.087788,100913.350965,101226.730764,101378.817229,101480.634868,101437.759983,101483.392037,101221.128603,100657.247481,100327.150683,99752.14093,99909.606684,100282.388841,100567.405937,101191.841735
