dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86208.55002,75318.900267,80791.962598,81885.756747,85163.737354,86986.480925
DW_trees_gs_mode,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93090.274944,90517.86316,90900.013994,91268.953753,90911.441423,89332.225241
DW_trees_prob_10,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109672.700289,101530.297717,103451.722461,104326.983536,104955.859872,104509.238905
DW_trees_prob_25,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85082.253483,79502.870171,81228.957145,80745.34373,82552.848403,84879.27962
DW_trees_prob_50,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39915.955448,16568.087503,19031.864599,28090.825012,33068.49707,52453.122719
ESA_trees,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80087.594929,79933.839071,
ESRI_2020_trees,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68910.42647,,
ESRI_annual_trees,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73661.704709,74295.192363,73167.553776,73103.990182,74812.770936,74812.770936
Hansen_GFC,WI,,,,,,,,,,,,,,,,58350.736972,58192.575912,58071.517981,58001.556384,57836.304686,57680.739821,57539.243474,57346.039157,57171.864073,56984.457861,56815.120288,56659.792473,56476.027071,56352.84888,56199.56676,56051.936488,55866.093506,55638.415965,55410.675963,55137.104175,54865.978591,54642.029415,
LCMAP_trees,WI,54961.456185,55031.298998,55043.531569,55037.317521,55038.284929,55060.759792,55095.610807,55106.651837,55131.003134,55132.663634,55158.878512,55175.474897,55174.363461,55184.173281,55188.555494,55200.628754,55210.463329,55227.348522,55241.924872,55250.893461,55261.445061,55249.572578,55230.797576,55229.476295,55226.474378,55256.384431,55258.485974,55276.330055,55268.007525,55252.288542,55243.60945,55245.171518,55250.771777,55235.25325,55204.760689,55115.711311,55053.968389,
LCMAP_trees_woodywet,WI,65029.382879,65102.445268,65103.117257,65091.607164,65085.640972,65103.74767,65141.448931,65156.457095,65182.649424,65185.570016,65213.276195,65229.97968,65230.474994,65242.887712,65247.95329,65263.704412,65264.422655,65274.078342,65277.392181,65275.922431,65273.268331,65243.051721,65203.465274,65190.596587,65173.948531,65184.053389,65163.035477,65168.674658,65143.104536,65112.042416,65078.833591,65059.221659,65038.784064,65002.015757,64949.522618,64830.480667,64749.074728,
LCMS_all_trees_mixes,WI,75865.30236,76203.865584,76245.990557,76293.384218,76674.390377,77022.439327,77369.195089,77679.448672,77972.425012,78145.568248,78358.360612,78508.436491,78603.642088,78725.816459,78861.202951,78906.519469,79083.170742,79315.442449,79458.191114,79553.942407,79644.290943,79730.299055,79819.876736,79858.633489,79886.793321,79996.305342,80092.34191,80153.429911,80111.204915,80035.584458,80131.512183,80169.477091,80227.886572,80209.549351,80246.196151,80227.848508,80348.481949,80647.871198
LCMS_forest,WI,78919.529724,79127.326425,78555.917484,78462.047774,78753.211394,78911.062591,79023.870331,79194.089855,79369.812808,79414.83882,79561.534048,79643.604515,79693.540118,79763.872157,79809.460821,79721.219371,79878.781376,80076.138038,80196.754951,80265.924204,80319.677449,80409.77725,80516.26933,80530.913611,80477.83056,80575.296744,80691.76945,80807.067427,80859.427348,80842.039531,80917.90782,81012.892111,81143.826388,81233.849202,81317.660283,81314.516452,81492.617156,82206.985196
LCMS_trees,WI,74370.897628,74624.341051,74620.772805,74608.305931,74913.722657,75224.092224,75543.496383,75838.770172,76122.206608,76282.972252,76461.593745,76576.116088,76651.937855,76748.548845,76861.039274,76896.308961,77047.488508,77265.938375,77398.963383,77477.57761,77558.860715,77641.450129,77730.128671,77771.477417,77823.911583,77952.912698,78066.78462,78143.683104,78106.482681,78054.325362,78198.799037,78276.153596,78376.990496,78395.639823,78461.744731,78495.088503,78670.731381,78965.831947
LCMS_trees_shrubs_mix,WI,74371.325128,74624.686651,74621.068905,74608.574131,74913.971957,75224.335224,75543.741183,75838.985272,76122.384808,76283.129752,76461.760245,76576.270888,76652.089055,76748.715345,76861.201274,76896.478161,77047.719808,77266.211975,77399.138883,77477.76481,77559.026315,77641.618429,77730.326671,77771.665517,77824.060983,77953.066598,78066.94572,78143.868504,78106.894881,78054.805062,78198.992537,78276.313796,78377.143496,78395.827023,78461.884231,78495.227103,78670.869081,78966.027247
MODIS_1_IGBP,WI,,,,,,,,,,,,,,,,,44322.573529,44155.863725,38717.690196,36597.565686,36014.953921,34604.167647,33545.767647,33909.245098,35317.320588,36728.314705,39197.137254,39283.888235,38117.908823,38698.248039,39772.338235,41315.054901,42391.441176,41400.528431,40398.62549,40050.171568,39910.489215,
MODIS_2_UMD,WI,,,,,,,,,,,,,,,,,44568.152941,44274.35196,38834.266666,36715.315686,36134.493137,34719.210784,33660.804901,34022.283333,35435.055882,36839.95196,39311.585294,39395.138235,38230.598039,38813.118627,39886.27745,41433.271568,42510.968627,41518.778431,40517.62549,40165.921568,40023.739215,
MODIS_3_LAI,WI,,,,,,,,,,,,,,,,,44568.152941,44274.35196,38834.266666,36715.315686,36134.493137,34719.210784,33660.804901,34022.283333,35435.055882,36839.95196,39311.585294,39395.138235,38230.598039,38813.118627,39886.27745,41433.271568,42510.968627,41518.778431,40517.62549,40165.921568,40023.739215,
MODIS_4_BGC,WI,,,,,,,,,,,,,,,,,113642.952941,108868.80196,98494.152941,98584.337254,102851.561764,102174.634313,103687.530392,103205.982352,103618.95,105101.05196,104396.956862,102227.999019,99636.230392,98633.964705,98533.823529,99445.728431,99990.965686,98648.096078,97145.684313,96223.553921,97045.248039,
MODIS_5_PFT,WI,,,,,,,,,,,,,,,,,113642.952941,108868.80196,98494.152941,98584.337254,102851.561764,102174.634313,103687.530392,103205.982352,103618.95,105101.05196,104396.956862,102227.999019,99636.230392,98633.964705,98533.823529,99445.728431,99990.965686,98648.096078,97145.684313,96223.553921,97045.248039,
NLCD_canopy_10,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,79252.160114,,,,,79584.602643,,,,,,
NLCD_canopy_20,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,74916.315398,,,,,75340.101829,,,,,,
