dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54061.198318,55248.634246,55709.205003,55114.572427,53538.341555,52767.202389
DW_trees_gs_mode,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52542.843491,55787.983611,56862.600175,57124.74825,56590.573757,57376.521085
DW_trees_prob_10,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59558.48962,59820.491816,59528.173807,60060.723941,59769.776337,59344.034177
DW_trees_prob_25,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55019.267873,55822.485935,55839.191804,56260.096608,55629.131176,55145.18318
DW_trees_prob_50,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38338.095079,37445.805489,45145.298189,39812.203349,35537.18566,23028.009126
ESA_trees,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54866.615812,54194.050421,
ESRI_2020_trees,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52716.374156,,
ESRI_annual_trees,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53362.943791,53459.581629,53142.150967,52711.519528,53015.257529,53015.257529
Hansen_GFC,WV,,,,,,,,,,,,,,,,46545.467453,46467.051954,46384.540819,46353.352831,46283.825923,46166.649815,46070.321732,45926.827087,45806.690198,45716.167654,45617.060448,45542.961277,45429.940761,45358.182888,45240.542387,45114.047169,44955.996447,44780.211031,44651.149922,44522.353043,44407.791088,44302.229447,
LCMAP_trees,WV,53219.024834,53272.942708,53272.321916,53271.237049,53286.194968,53270.866111,53260.313848,53249.459438,53237.497228,53225.276251,53216.057498,53204.465188,53192.462689,53170.593045,53128.531436,53102.560037,53072.636336,53048.96005,53034.372758,52998.513472,52948.085131,52902.514334,52834.86294,52784.091808,52753.896402,52707.545527,52672.617571,52648.531365,52612.17565,52560.851908,52519.857112,52478.11189,52439.914948,52408.31005,52343.513308,52260.683283,52195.479621,
LCMAP_trees_woodywet,WV,53271.522476,53325.53935,53325.046563,53323.977896,53339.09815,53323.812494,53313.32053,53302.482321,53290.464568,53278.230091,53268.988838,53257.411722,53245.424523,53223.56118,53181.427874,53155.432323,53125.507722,53101.827769,53087.677877,53051.973391,53001.528875,52955.967977,52888.318383,52837.522051,52807.260264,52760.880148,52725.899018,52701.775912,52665.349097,52613.963255,52572.93516,52531.149437,52492.898495,52461.27397,52396.406128,52313.493592,52248.21253,
LCMS_all_trees_mixes,WV,55873.999129,56048.95165,56086.14582,56163.196905,56277.768564,56303.88493,56339.817945,56387.347891,56411.995708,56456.70702,56501.611503,56537.791538,56529.314805,56487.354748,56404.832354,56422.046421,56415.243652,56416.771411,56450.592,56460.199016,56457.031471,56463.968142,56452.936012,56464.697777,56480.055596,56477.473574,56504.991042,56519.991921,56528.908983,56490.492455,56468.220667,56434.841008,56416.373975,56406.150631,56418.970722,56462.750724,56514.257918,56576.288329
LCMS_forest,WV,55163.067631,55794.985972,55759.464148,55793.85283,55838.779598,55765.398723,55773.644551,55790.053821,55794.975984,55827.712492,55870.582185,55898.50435,55888.019428,55846.380201,55780.539395,55794.774307,55782.031203,55777.926067,55806.194361,55813.813867,55825.237542,55847.525121,55864.087754,55899.726416,55940.320881,55976.383189,56029.97436,56086.353162,56132.3856,56157.222508,56200.199622,56230.716564,56274.934708,56324.113898,56385.377523,56452.866137,56521.3296,56652.824322
LCMS_trees,WV,54389.850667,54548.911316,54592.39123,54661.168118,54751.239783,54785.28541,54825.780388,54855.69954,54873.588635,54912.059375,54949.661982,54969.611322,54940.912199,54877.333454,54753.833523,54729.054575,54704.861022,54693.676302,54719.534985,54713.473499,54695.306375,54681.203089,54642.099571,54625.991502,54617.796395,54588.874461,54571.257878,54547.435679,54503.695807,54462.951112,54416.987297,54324.4683,54289.387831,54278.07894,54286.460615,54331.093799,54413.099407,54518.505091
LCMS_trees_shrubs_mix,WV,54390.839488,54549.703838,54593.114964,54661.845441,54751.832505,54785.78041,54826.212388,54856.06674,54873.936935,54912.358175,54949.915782,54969.848922,54941.138999,54877.539554,54754.029723,54729.234575,54705.027522,54693.853602,54719.668185,54713.597699,54695.434175,54681.334489,54642.226471,54626.130102,54617.943995,54589.022061,54571.424378,54547.610279,54503.876707,54463.177912,54417.200597,54324.6699,54289.615531,54278.29944,54286.684715,54331.3044,54413.314507,54518.862391
MODIS_1_IGBP,WV,,,,,,,,,,,,,,,,,54127.840196,53587.089215,52855.414705,52914.774509,52741.795098,53115.506862,52454.041176,52835.191176,53416.462745,52290.72549,52859.940196,52381.070588,52639.089215,51784.860784,50480.013725,50381.793137,50741.615686,52242.330392,52891.443137,53156.116666,53283.189215,
MODIS_2_UMD,WV,,,,,,,,,,,,,,,,,54128.840196,53587.089215,52855.414705,52914.774509,52741.795098,53115.506862,52454.041176,52835.191176,53416.462745,52290.72549,52859.940196,52381.070588,52639.089215,51784.860784,50480.013725,50381.793137,50741.615686,52242.330392,52891.443137,53156.116666,53283.189215,
MODIS_3_LAI,WV,,,,,,,,,,,,,,,,,54128.840196,53587.089215,52855.414705,52914.774509,52741.795098,53115.506862,52454.041176,52835.191176,53416.462745,52290.72549,52859.940196,52381.070588,52639.089215,51784.860784,50480.013725,50381.793137,50741.615686,52242.330392,52891.443137,53156.116666,53283.189215,
MODIS_4_BGC,WV,,,,,,,,,,,,,,,,,60903.213725,60844.738235,60523.941176,60695.057843,60831.160784,60951.413725,60969.407843,60841.595098,60811.135294,60640.779411,60812.779411,60943.692156,60864.10098,60811.472549,60905.00098,61026.181372,61145.141176,61220.92549,61137.839215,61248.005882,61264.023529,
MODIS_5_PFT,WV,,,,,,,,,,,,,,,,,60903.213725,60844.738235,60523.941176,60695.057843,60831.160784,60951.413725,60969.407843,60841.595098,60811.135294,60640.779411,60812.779411,60943.692156,60864.10098,60811.472549,60905.00098,61026.181372,61145.141176,61220.92549,61137.839215,61248.005882,61264.023529,
NLCD_canopy_10,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,55078.366937,,,,,54939.831412,,,,,,
NLCD_canopy_20,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,53834.026005,,,,,53702.532688,,,,,,
NLCD_canopy_60,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,49058.587976,,,,,48714.701449,,,,,,
NLCD_canopy_80,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,36991.319798,,,,,36562.834302,,,,,,
NLCD_canopy_perc,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,35287.587008,,,,,35039.823519,,,,,,
NLCD_forest,WV,,,,,,,,,,,,,,,,,50942.06899,,,50724.624854,,50394.97501,,50388.735487,,,50209.246228,,50259.507585,,,50048.947574,,,50200.767437,,50382.893505,
NLCD_forest_woodywet,WV,,,,,,,,,,,,,,,,,51042.472556,,,50820.162363,,50487.190909,,50484.683294,,,50303.257044,,50359.168884,,,50151.320819,,,50304.729183,,50486.804851,
FIA_forest,WV,,,,,,,,,,,,,,,,,,,,47464.2515744765,48555.9228494171,48565.3470819932,48580.8474653258,48458.5558062287,48891.3125296037,49109.9849987868,49187.422789499,49214.684371604,49313.8467772367,49043.4905802742,48875.9516379683,48747.9649355667,48857.2497940536,48495.8334314289,48634.4457932375,,,
FIA_forest_upper,WV,,,,,,,,,,,,,,,,,,,,48769.57355648227,49394.49387865981,49039.38230565381,48947.407444826495,48787.29209710463,49209.85599411675,49431.95200587171,49511.9549608715,49546.98481240572,49600.90334606139,49343.6655921276,49174.44228306021,49049.6113537966,49160.56740650573,48812.92073735922,48960.91422176658,,,
FIA_forest_lower,WV,,,,,,,,,,,,,,,,,,,,46158.929592470726,47717.35182017439,48091.311858332585,48214.28748582511,48129.81951535277,48572.76906509066,48788.01799170189,48862.890618126505,48882.38393080229,49026.790208412014,48743.315568420796,48577.46099287638,48446.3185173368,48553.93218160146,48178.74612549858,48307.97736470842,,,
FIA_timberland,WV,,,,,,,,,,,,,,,,,,,,46664.2197432771,47697.3690578726,47427.8331955078,47257.6622049029,47072.3705745937,47494.0079367093,47697.0667464108,47752.1943960822,47774.2535783545,47920.064039347,47634.0817600081,47467.9379693821,47350.2596723615,47441.9995502267,47192.8221160728,47383.9942290029,,,
FIA_timberland_upper,WV,,,,,,,,,,,,,,,,,,,,47991.0227346794,48562.192939827895,47944.4879829617,47667.65737515707,47432.01774635636,47845.238272081515,48053.71508401361,48106.2206067153,48135.64451862933,48238.067418222345,47965.428884240166,47795.664003348684,47679.777672245,47773.62533504892,47533.01488529018,47729.266827378204,,,
FIA_timberland_lower,WV,,,,,,,,,,,,,,,,,,,,45337.4167518748,46832.54517591731,46911.17840805391,46847.66703464874,46712.723402831034,47142.77760133708,47340.418408807986,47398.1681854491,47412.86263807968,47602.06066047166,47302.73463577603,47140.21193541552,47020.741672478,47110.373765404474,46852.62934685542,47038.721630627595,,,
EPA_forested,WV,,,,,,50287.399999999994,50239.3,50191.2,50143.100000000006,50095.0,50033.100000000006,49971.3,49909.399999999994,49847.5,49785.600000000006,49730.299999999996,49675.0,49619.700000000004,49564.399999999994,49509.2,49453.9,49394.6,49335.4,49276.2,49216.899999999994,49157.700000000004,49098.4,49023.7,48948.9,48874.1,48799.399999999994,48724.6,48665.5,48606.4,48547.399999999994,,,
NRI_total,WV,,,42691.218130311616,,,,,42638.60785107244,,,,,42533.38729259409,,,,,42306.758397409954,,,,,42339.13395386483,,,,,42448.401456900036,,,,,42630.51396195872,,,,,
NRI_grazed,WV,,,2917.8470254957506,,,,,2877.377579927155,,,,,2893.565358154593,,,,,2549.5750708215296,,,,,2399.8381222177254,,,,,2233.913395386483,,,,,2112.505058680696,,,,,
NRI_notgrazed,WV,,,39773.371104815866,,,,,39761.23027114529,,,,,39639.8219344395,,,,,39757.18332658843,,,,,39939.295831647105,,,,,40214.488061513555,,,,,40518.00890327802,,,,,
