dataset_id,state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DW_trees_annual_mode,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29610.230809,30454.776699,29322.702853,31661.556336,31269.658419,31810.92845
DW_trees_gs_mode,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35238.53066,32387.705158,33368.884172,31722.617384,32800.559579,32372.25273
DW_trees_prob_10,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58009.228148,56003.91265,55380.875248,52354.625233,52140.396287,53381.222393
DW_trees_prob_25,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29139.88126,29943.539262,28401.511072,31789.561874,30518.762969,31570.360878
DW_trees_prob_50,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7819.833902,10407.62531,8532.322078,13455.075438,11577.231485,13677.00459
ESA_trees,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32728.835298,35070.641147,
ESRI_2020_trees,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25868.017863,,
ESRI_annual_trees,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23446.166948,24334.361503,24719.22866,23077.363082,23484.368545,23484.368545
Hansen_GFC,WY,,,,,,,,,,,,,,,,17093.453161,16976.4175,16893.048102,16795.335237,16668.0508,16478.826683,16441.454999,16235.584793,16025.873678,15924.19611,15786.492646,15608.506395,15457.196362,15342.441353,15264.015672,15246.821647,15157.995358,15053.155567,14944.842726,14823.376221,14781.174815,14599.728241,
LCMAP_trees,WY,34578.653477,34537.967237,34461.957667,34240.039739,33016.550721,32854.014811,32808.806248,32749.728328,32730.52453,32675.919264,32680.573807,32647.671652,32630.249399,32624.798371,32623.992412,32603.484303,32497.995705,32439.234649,32410.193632,32356.445639,32376.912974,32363.094515,32270.111442,32271.338057,32271.215364,32328.327268,32371.242878,32332.149465,32099.894855,32208.784916,32353.535841,32380.66705,32304.170809,32401.09135,32456.463624,32434.609725,32354.664345,
LCMAP_trees_woodywet,WY,35154.433687,35107.482179,35029.144337,34797.233749,33566.468431,33400.467539,33354.308191,33294.205094,33275.555361,33221.278365,33226.544858,33194.427836,33177.944195,33173.469751,33172.815892,33151.948644,33046.986412,32988.742108,32959.763435,32906.271772,32927.137291,32913.733267,32820.808665,32822.89938,32825.032171,32883.532775,32928.396656,32890.512797,32659.021775,32771.244645,32920.100594,32948.060297,32873.280331,32971.094382,33026.366318,33005.288971,32932.532495,
LCMS_all_trees_mixes,WY,45717.81522,45976.614363,46292.010974,46239.255765,45144.816289,45531.511383,46024.861761,46308.321162,46126.290024,46177.539194,46536.827068,46568.252922,46644.461022,46695.839791,46719.615102,46294.012556,45934.373078,45754.688728,45840.557784,45840.11227,46001.932394,45968.344136,46048.339923,46166.316854,46311.830763,46487.37504,46666.609567,46476.632138,46577.033181,46932.818512,47142.719347,47109.224375,47141.379518,47208.915451,47315.743083,47104.745195,46993.421865,47560.544696
LCMS_forest,WY,42740.048583,44048.988684,44365.508463,44387.271882,44092.732259,44425.189316,44751.833117,44892.360942,44723.694974,44614.058142,44934.347689,44898.581276,44946.721369,44911.490756,44852.64156,44399.517232,44158.493167,44043.118002,44109.759289,44120.626076,44222.084481,44211.035311,44297.451847,44406.325358,44527.245067,44621.065185,44730.659202,44638.870267,44848.02415,45073.028696,45139.530638,45083.858001,45119.908648,45126.31411,45271.009411,45036.598422,45014.854454,45573.355503
